Ensembl Gene ID	carcass_1	digestiveSystem_1	heads_1	heads_2	heads_3	ovaries_1	ovaries_2	accessoryGlands_1	testes_1
FBgn0267795	2.91E+00	1.73E+00	3.35E+00	3.42E+00	4.42E+00	6.68E+00	7.77E+00	9.02E+00	1.59E+01
FBgn0267792	7.02E-01	4.59E-01	1.22E+00	8.61E-01	1.34E+00	7.78E+00	6.64E+00	3.42E-01	1.30E+00
FBgn0267791	3.33E+00	2.84E+00	6.21E+00	5.66E+00	9.22E+00	7.46E+00	7.12E+00	3.68E+00	5.58E+00
FBgn0267790	6.67E+00	7.21E+00	8.02E+00	7.78E+00	1.17E+01	3.18E+01	2.46E+01	7.24E+00	1.47E+01
FBgn0267698	9.19E+00	1.23E+01	1.49E+01	1.29E+01	2.30E+01	2.43E+01	2.90E+01	6.95E+00	6.75E+00
FBgn0267488	3.72E+00	1.84E+00	3.43E+00	4.63E+00	6.43E+00	2.69E+01	1.96E+01	6.61E+00	4.56E+00
FBgn0267487	5.20E-01	5.53E-01	5.71E-01	4.81E-01	8.29E-01	3.58E+00	3.35E+00	1.04E+00	5.59E+00
FBgn0267435	4.47E-01	1.30E-01	2.16E+02	1.97E+02	3.42E+02	4.43E-02	2.82E-01	1.13E+01	7.72E-01
FBgn0267433	1.84E+00	1.75E+00	1.94E+00	2.96E+00	3.80E+00	2.42E+00	2.23E+00	2.28E+00	1.31E+00
FBgn0267432	6.53E-02	1.34E+00	2.07E+00	1.79E+00	1.79E+00	1.96E+00	1.64E+00	7.00E-01	4.10E-01
FBgn0267398	1.07E+01	1.05E+01	1.14E+01	1.52E+01	1.01E+01	4.09E+01	2.63E+01	1.46E+01	6.39E+01
FBgn0267385	1.22E+02	5.59E+01	9.26E+01	9.30E+01	1.40E+02	1.17E+02	1.08E+02	4.00E+01	3.23E+01
FBgn0267376	1.32E+01	1.01E+01	2.22E+01	2.11E+01	3.49E+01	1.04E+01	9.70E+00	3.98E+00	4.52E+00
FBgn0267363	6.31E-03	2.12E-01	0.00E+00	0.00E+00	1.42E-01	3.09E-02	2.09E-02	2.83E+00	5.97E+00
FBgn0267351	5.04E+00	5.64E+00	6.66E+00	8.55E+00	1.08E+01	4.05E+01	4.11E+01	1.21E+01	3.81E+01
FBgn0267350	6.66E+00	6.25E+00	1.15E+01	1.17E+01	2.06E+01	1.56E+01	1.14E+01	6.56E+00	8.07E+00
FBgn0267348	1.44E+01	6.57E+00	7.08E+00	1.45E+01	1.56E+01	8.22E+00	6.67E+00	1.14E+01	2.05E+00
FBgn0267347	5.26E+00	3.84E+00	9.09E-01	2.90E-01	1.04E+00	7.44E+01	7.50E+01	9.28E+00	2.39E+01
FBgn0267339	3.35E-01	8.23E+00	6.12E-01	3.96E-01	4.05E-01	1.48E-01	2.82E-01	6.77E-01	1.02E+00
FBgn0267337	1.97E-01	1.38E-02	5.66E-01	5.10E-01	9.45E-01	3.14E-03	2.37E-04	1.83E-01	5.52E-01
FBgn0267336	9.51E-01	4.73E-01	5.44E-01	8.06E-01	1.15E+00	8.67E-02	1.26E-01	2.78E-01	3.38E-02
FBgn0267330	2.29E+01	3.10E+01	1.76E+01	1.86E+01	2.50E+01	4.18E+01	2.93E+01	1.22E+02	3.74E+01
FBgn0267326	4.16E-02	1.95E-01	7.18E-03	2.45E-02	5.21E-02	0.00E+00	2.74E-03	2.94E+00	2.30E+01
FBgn0267253	3.26E-01	1.47E-01	2.07E+00	2.06E+00	3.91E+00	2.25E-01	1.15E-01	1.30E+00	2.61E+00
FBgn0267252	3.33E+00	1.24E+00	1.15E+02	8.65E+01	1.47E+02	4.24E-02	1.26E-01	1.60E+00	1.49E-01
FBgn0267033	2.79E+00	1.50E+00	9.18E+00	5.83E+00	9.20E+00	3.73E-01	5.59E-01	2.11E+00	2.36E-01
FBgn0267002	3.61E+00	7.33E-01	2.15E+01	1.98E+01	3.50E+01	2.46E+00	1.91E+00	2.09E+00	4.39E-01
FBgn0267001	1.06E+00	6.55E-01	5.19E+00	3.37E+00	5.09E+00	1.40E-01	2.94E-01	1.16E+00	3.98E-01
FBgn0266918	7.45E+00	3.24E+00	2.02E+01	1.46E+01	2.24E+01	2.10E+00	2.30E+00	5.69E+00	4.94E+00
FBgn0266917	4.39E+00	5.80E+00	5.86E+00	5.91E+00	7.70E+00	2.93E+01	3.39E+01	7.16E+00	1.02E+01
FBgn0266916	3.78E+00	2.44E+00	1.31E+00	1.03E+00	1.36E+00	7.72E+01	7.46E+01	3.62E+00	3.31E+00
FBgn0266758	4.14E+00	1.31E+00	5.50E+00	4.61E+00	6.54E+00	2.01E-01	2.30E-01	5.46E+00	3.32E+00
FBgn0266757	3.47E-02	1.35E-02	4.80E-01	4.96E-01	4.10E-01	0.00E+00	1.29E-03	4.57E-01	2.33E+00
FBgn0266756	1.61E+00	1.86E+00	1.76E+00	1.89E+00	2.58E+00	1.20E+00	9.55E-01	1.25E+00	7.93E-01
FBgn0266720	1.96E+01	2.55E+01	2.34E+01	2.60E+01	3.92E+01	7.56E+01	7.24E+01	9.71E+00	1.13E+01
FBgn0266717	6.20E+00	5.51E+00	7.34E+00	8.58E+00	1.19E+01	1.43E+01	1.45E+01	7.83E+00	5.86E+00
FBgn0266674	2.74E+00	3.28E+00	2.37E+00	2.47E+00	3.98E+00	2.12E+01	1.72E+01	3.90E+00	2.79E+00
FBgn0266673	2.06E+00	2.25E+00	2.07E+00	2.60E+00	3.77E+00	1.02E+01	8.75E+00	2.38E+00	2.24E+00
FBgn0266672	5.04E+00	4.33E+00	4.90E+00	4.71E+00	7.20E+00	1.88E+01	1.45E+01	6.31E+00	2.28E+01
FBgn0266671	1.79E+00	2.47E+00	1.95E+00	2.17E+00	3.50E+00	1.16E+01	1.02E+01	4.01E+00	4.05E+00
FBgn0266670	2.61E+00	3.20E+00	4.04E+00	3.77E+00	4.51E+00	6.06E+00	4.55E+00	5.60E+00	9.19E+00
FBgn0266669	4.42E+00	7.04E+00	4.91E+00	4.73E+00	7.54E+00	2.20E+01	2.22E+01	5.42E+00	5.13E+00
FBgn0266668	4.16E+00	5.04E+00	6.13E+00	5.92E+00	8.98E+00	7.91E+00	6.72E+00	4.55E+00	2.63E+00
FBgn0266667	3.18E+00	2.92E+00	1.21E+00	7.61E-01	1.87E+00	5.99E+01	4.94E+01	2.25E+00	2.55E+00
FBgn0266599	8.52E+02	7.81E+02	6.30E+02	6.61E+02	6.71E+02	1.28E+03	1.46E+03	5.54E+02	6.11E+02
FBgn0266581	9.04E+00	8.15E+00	5.17E+00	8.34E+00	5.34E+00	4.15E+01	4.37E+01	9.47E+00	3.74E+00
