Ensembl.Gene.ID	brain_GSM752557	brain_GSM752558	cerebellum_GSM752559	cerebellum_GSM752560	heart_GSM752561	heart_GSM752562	kidney_GSM752563	kidney_GSM752564	liver_GSM752565	liver_GSM752566	testis_GSM752567	testis_GSM752568
ENSGALG00000000003	18.2217	18.46834	25.74167	24.31034	0.09837	0.20935	0.17745	0.12578	0.15004	0	7.37282	3.58905
ENSGALG00000000004	9.07779	14.19783	19.03221	26.36507	7.71319	8.53248	3.73499	5.82107	1.08288	1.1695	6.70874	21.19911
ENSGALG00000000011	10.80921	8.76661	10.51009	11.07063	8.56122	6.19816	3.64664	3.59047	1.65753	1.87334	15.36042	15.59343
ENSGALG00000000013	5.99337	6.00709	8.68477	11.27607	7.74348	3.07784	8.19938	6.07248	4.05188	3.8509	20.27895	18.07634
ENSGALG00000000014	0.46392	0.63773	0.43608	0.44689	0	0.13611	0.46158	0.16346	0	0.3975	6.76908	0.27641
ENSGALG00000000017	6.53651	4.09839	6.46715	8.61629	7.58582	16.15295	9.07073	13.82155	6.69839	24.87518	3.30225	0.40996
ENSGALG00000000019	93.05631	85.17174	105.50057	101.39228	7.94833	11.3266	9.6375	13.02933	5.59885	2.88857	7.66529	6.69591
ENSGALG00000000033	25.22106	25.72436	25.01137	21.7599	67.94427	60.36774	27.60309	32.4618	21.19265	15.48182	82.68937	98.86493
ENSGALG00000000038	0	0.23886	0	0.12554	8.33372	38.70355	0	0	0	0	0.9007	0.31058
ENSGALG00000000040	9.41553	2.76947	2.7678	8.62192	20.63315	74.90806	115.53851	30.64203	41.24199	62.14033	5.44493	4.15514
ENSGALG00000000041	65.59846	60.45824	50.49351	68.00104	21.42378	26.50405	45.59943	38.75192	32.35395	38.94688	188.98645	118.05137
ENSGALG00000000043	43.09776	31.13001	13.02622	39.31751	8.94404	44.63687	68.86051	32.5211	34.00427	75.92884	142.69599	32.82491
ENSGALG00000000044	0.12298	0	0	0.17775	0	0	0	0	0	0	0.28339	0.19546
ENSGALG00000000048	5.42957	4.92307	4.36921	7.54251	2.52051	3.95809	112.53555	113.84176	1.44254	5.48393	5.22261	2.22461
ENSGALG00000000049	50.774	36.99932	117.6162	157.26578	0.07443	0.15848	0.06717	0.38065	0.09736	0	25.40517	9.11768
ENSGALG00000000054	34.3903	34.18809	20.36887	21.24296	57.70798	35.16441	27.12342	48.27064	21.28371	22.65834	53.12824	67.86901
ENSGALG00000000055	46.38855	51.16946	44.76961	43.09836	60.2251	71.04095	55.47147	63.31459	30.13828	35.59617	36.82003	21.35152
ENSGALG00000000056	1.1574	2.69219	2.06404	3.60186	0.98151	0.52255	0.93004	1.3177	2.05443	1.18979	4.54619	3.74806
ENSGALG00000000059	463.98553	303.82821	164.28478	195.85756	0.98315	1.15147	4.25886	6.91407	1.6077	1.28349	4.93048	4.46276
ENSGALG00000000062	16.09813	19.64779	17.04409	17.17811	8.72111	8.30776	7.87033	7.23829	8.20627	4.01852	5.99438	11.13397
ENSGALG00000000065	34.0022	29.00959	26.63278	28.87142	20.76358	20.64411	45.13169	26.65185	34.40215	19.43656	44.17346	47.55783
ENSGALG00000000067	15.10086	12.01242	8.13367	13.37029	2.26706	2.18746	148.58349	143.57512	115.43061	216.89951	11.69457	5.00229
ENSGALG00000000071	1.44766	2.25527	0.5443	0.41837	0.31919	0.16998	1.94451	2.75503	0.67862	0.24804	5.55834	4.25486
ENSGALG00000000075	11.80232	9.70036	12.91867	13.46599	7.88259	9.41948	15.05535	11.16182	5.18667	4.15411	10.89844	9.44297
ENSGALG00000000076	36.39537	22.30837	46.87861	35.0591	7.26734	10.49047	19.51411	15.2206	15.7767	5.23822	3.07429	2.12007
ENSGALG00000000080	1.13504	0.74759	0.77782	1.91329	0.35194	0.52043	0.89985	0.87492	0.75456	0.65634	32.71071	6.6351
ENSGALG00000000081	0.06751	0	0.0846	0.19498	0.22316	0.07924	0.06717	0.09516	1.75175	2.08103	6.32135	3.53754
ENSGALG00000000085	45.33785	42.84114	34.85866	30.91343	9.14994	7.72109	69.88089	76.2235	12.94975	8.43264	10.26912	12.62359
ENSGALG00000000086	28.73649	31.35266	19.80201	23.70376	23.92422	25.91664	19.07489	17.04698	10.20948	8.49014	26.95238	31.56255
ENSGALG00000000091	10.38234	11.01056	16.44695	20.14273	7.17014	5.51151	22.71994	32.68349	9.37976	7.55533	17.19911	13.20473
ENSGALG00000000094	26.2722	21.62596	18.09345	16.91625	9.64228	13.40269	20.13121	13.0625	4.58	9.84733	81.0169	44.35743
ENSGALG00000000098	6.15361	4.89848	2.49278	3.89192	5.07119	1.02149	0.86584	0.52579	0.26897	0.38341	1.28875	1.23435
ENSGALG00000000099	0.62598	0.86039	0.70042	0.66761	0.12326	0.13123	0.40034	0.47266	0.01612	0.01532	4.53188	2.80567
ENSGALG00000000102	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000000104	6.54651	5.41093	2.81517	4.45143	1.34448	1.1301	6.25804	6.8761	1.89764	0.79178	1.42922	0.71377
ENSGALG00000000106	7.9239	9.6104	8.39695	8.92378	4.65715	2.49629	5.18827	6.89907	4.51673	2.59558	33.55531	39.75587
ENSGALG00000000107	0.1808	0.33135	0.45316	1.74139	0.59787	0.5658	1.43887	0.50973	0.26076	0	0.32395	0.19149
ENSGALG00000000109	5.83333	6.63116	8.51344	14.01236	5.373	9.01403	11.46083	13.01117	101.97029	129.80661	12.87114	6.5693
ENSGALG00000000112	648.49157	655.63315	701.77756	1176.19048	0.11927	0.38107	0.53828	0.61014	0	0.29664	206.65121	117.93009
ENSGALG00000000113	22.20607	19.54865	20.09024	15.74268	1.37536	1.61078	4.46841	5.45168	1.34948	1.83824	11.83095	14.51775
ENSGALG00000000114	0	0	0	0	0	0	0	0	0	0	0	0
