Ensembl.Gene.ID	brain_GSM1020747	brain_GSM1020756	colon_GSM1020748	colon_GSM1020757	colon_GSM1020766	heart_GSM1020749	heart_GSM1020758	heart_GSM1020767	kidney_GSM1020750	kidney_GSM1020759	kidney_GSM1020768	liver_GSM1020751	liver_GSM1020760	lung_GSM1020752	lung_GSM1020761	lung_GSM1020770	skeletal muscle tissue_GSM1020753	skeletal muscle tissue_GSM1020762	spleen_GSM1020754	spleen_GSM1020763	spleen_GSM1020772	testis_GSM1020755	testis_GSM1020764	testis_GSM1020773
ENSGALG00000000003	10.64997	11.60862	2.37296	3.23964	3.05021	0.06072	0.14052	0.13444	0.18214	0.14185	0.35696	0	0	0.68535	0.19636	0.66107	0.00779	0.03298	0.20169	0.18082	0.09342	4.0361	3.24652	4.90903
ENSGALG00000000004	12.39379	12.39085	13.66167	18.37466	23.69379	6.25533	8.06653	10.43273	5.71041	7.47251	5.85044	1.94415	2.69157	13.98094	9.46788	17.0341	16.50182	7.84647	15.60792	22.23065	22.7024	17.02636	24.73562	25.51897
ENSGALG00000000011	11.28764	13.27983	7.79501	12.12598	12.3375	10.18533	8.22276	11.85517	4.77277	5.93015	5.01612	1.47917	2.75948	6.30561	13.10531	9.51705	8.92678	6.91186	8.5655	11.81705	11.84443	19.87745	23.64401	26.70454
ENSGALG00000000013	6.37537	8.21794	13.43885	14.77604	15.80879	7.7791	6.64051	8.30041	8.78388	11.34205	9.69447	8.71087	6.91896	23.51379	31.47032	17.81772	4.3956	5.74626	17.10624	17.76213	19.42486	34.88087	30.37375	43.74117
ENSGALG00000000014	0.58082	1.97778	0.16292	0.31447	0	0.69497	0.396	0.05244	0.43736	0.34603	0.1921	0.2581	0.26289	0.19568	0.33518	0.40123	0	0.12862	0.12592	0.25654	0.06074	1.98385	0.25596	3.57611
ENSGALG00000000017	5.72193	8.22715	18.6043	8.95377	0.71176	24.87673	17.4831	14.54642	7.1146	7.08131	6.90914	6.27766	4.52223	6.48105	28.54783	10.45605	6.94632	15.70525	7.00325	7.13397	1.26142	0.88264	0	1.03633
ENSGALG00000000019	77.54463	58.64475	9.78021	10.20352	8.84162	4.83828	4.76746	4.1798	17.19525	12.74941	19.50388	5.40529	4.87657	22.74502	26.48163	20.64611	3.83909	2.37792	13.60713	17.27533	17.08044	8.05519	5.1799	6.93106
ENSGALG00000000033	28.22686	22.52935	39.32798	37.87437	38.29316	82.63792	58.54857	93.5746	35.18538	37.55331	42.04709	18.42356	22.31723	34.47102	25.75909	39.72257	35.71309	41.8716	37.65052	38.26239	56.17495	75.74396	108.87682	98.35769
ENSGALG00000000038	0.01554	0.0542	0.09153	0.07067	0	5.92767	4.75764	12.61238	0.03071	0	0.05397	0	0	0	0	0	0	0	0.17687	0.2162	0	0.13718	0	0.04619
ENSGALG00000000040	6.30587	10.53904	21.82434	8.19354	4.3286	185.99525	141.77339	125.63416	63.78883	104.79114	46.64149	95.55364	37.56703	3.30109	17.61197	5.11268	46.02635	133.97351	2.87108	1.34986	0.79153	3.34932	0.64125	2.51287
