Ensembl.Gene.ID	prefrontal cortex_GSM752653	prefrontal cortex_GSM752654	cerebellum_GSM752655	cerebellum_GSM752656	heart_GSM752657	heart_GSM752658	adult mammalian kidney_GSM752659	adult mammalian kidney_GSM752660	liver_GSM752661	liver_GSM752662	testis_GSM752663
ENSGGOG00000000002	0	0.10252	0	0.23128	0	0	0	0	0.05634	0	0.21297
ENSGGOG00000000003	0	0	0	0	0	0	0.06367	0	0.59997	0.38223	0
ENSGGOG00000000004	0.54537	0.55931	0.24976	0.87348	0	0	0.17403	0.06738	0.00786	0.01341	3.64955
ENSGGOG00000000005	19.73603	12.10369	29.03568	36.96848	5.88528	1.75691	7.51402	6.16093	2.07268	3.04972	2.73716
ENSGGOG00000000006	5.75075	4.12076	5.31109	1.83756	0.1314	0.12778	2.0579	1.0127	1.68533	1.65519	2.78708
ENSGGOG00000000007	0.95708	1.02513	0.92758	1.26634	0.10041	0.09764	0.45574	0.0573	0	0.09112	52.42645
ENSGGOG00000000008	0.94871	0.79834	0.55624	0.1621	0	0	0	0.0094	0.04389	0.03728	2.90236
ENSGGOG00000000009	2.68454	0.61057	0.4834	0.41325	0.0837	0	0.22798	0.14336	0.0671	0.05699	1.14152
ENSGGOG00000000010	2.33436	2.86187	1.72815	3.61086	1.76243	2.16663	0.13589	0.17083	0.4798	0.3849	7.45622
ENSGGOG00000000011	32.13648	20.98085	0.09603	0.20521	0.04158	0.04043	0.45297	0.07121	0.16664	0.28304	0.25196
ENSGGOG00000000013	1.96602	2.32041	2.61985	2.04819	0.47028	0.68603	1.77085	1.12536	0.08873	0.19779	0.60778
ENSGGOG00000000014	17.02279	18.41866	19.44336	11.60939	8.74823	4.81546	18.37669	12.43903	10.35367	7.58642	76.33464
ENSGGOG00000000015	60.2347	71.12866	46.52061	41.85743	33.1849	23.75488	62.39186	50.36351	36.05976	36.3415	47.62255
ENSGGOG00000000016	0.35318	0.39625	0.07845	0	0.06793	0	0	0	0	0	0
ENSGGOG00000000018	1.40937	1.87278	1.87808	1.54898	0.34234	0.16645	1.92329	2.19893	0.99487	0.75762	0.84286
ENSGGOG00000000019	1.26321	0.91814	2.14243	2.83404	0.72884	0.16104	1.2181	1.30499	1.00908	2.48123	9.68638
ENSGGOG00000000020	4.3838	5.26821	2.18482	3.695	2.44828	0.79687	2.47999	3.22285	2.40049	3.05164	2.40641
ENSGGOG00000000021	0	0	0	0.95595	0	0	0	0	0	0	20.24795
ENSGGOG00000000022	0	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000000023	0.16241	0.11957	0.18943	0.11564	0.21086	0.03418	0.01592	0.0301	0.03754	0.17552	0.24851
ENSGGOG00000000024	1.4144	1.38236	0.54718	0.60633	0	0.10237	0.07168	0.04508	0.16884	0.2151	0.71784
ENSGGOG00000000025	3.47533	8.74122	2.02937	0.74132	10.81385	4.11876	3.98857	2.58527	8.34343	3.58957	6.96288
ENSGGOG00000000027	26.77738	20.48756	19.4218	10.3997	0.17399	0.12404	0.23695	0.25823	0.30681	0.45802	14.76031
ENSGGOG00000000028	0.02359	0.01327	0.01051	0	0	0.01762	0.01239	0	0	0	52.03084
ENSGGOG00000000029	0	0.35643	0	0	0	0	0.99845	2.09279	0.5877	0.49921	0.37021
ENSGGOG00000000030	8.65305	12.09099	9.79026	3.90524	5.04882	2.45491	14.624	12.06747	7.39975	5.43886	7.1925
ENSGGOG00000000031	1.80898	1.5715	2.33285	3.9881	0.40399	0.32741	0.18343	0.11534	0.43182	0.77941	0.81612
ENSGGOG00000000032	0.95306	0.81607	1.09173	0.82521	0.44377	0.31895	0.99845	1.15653	0.77327	1.31366	2.16301
ENSGGOG00000000033	1.68552	1.67643	19.39816	10.37531	2.82898	2.57911	4.73564	4.97149	0.42521	1.60525	8.21481
ENSGGOG00000000035	49.92817	47.12909	18.67894	7.22287	1.887	2.92109	22.76139	16.19258	6.01972	6.13592	9.0433
ENSGGOG00000000036	44.33122	27.48061	39.2586	19.96915	35.35337	16.86501	33.65547	35.32452	16.93002	15.6666	58.79534
ENSGGOG00000000037	0.2289	0	0	0	0	0	0	0	0	0	0
ENSGGOG00000000038	5.08988	8.13351	4.46015	3.57175	17.13945	11.7116	27.23187	26.51752	43.23276	23.10726	3.46225
ENSGGOG00000000039	9.13668	10.93222	7.09739	7.06955	2.94798	1.16616	14.42573	6.50381	9.01187	7.3827	5.60173
ENSGGOG00000000040	32.57946	48.41637	47.42944	38.34273	16.18885	7.60733	29.14939	17.39922	16.98361	13.64938	22.46895
ENSGGOG00000000041	16.81654	10.64237	23.06643	10.47133	6.05418	3.77395	12.9664	9.79303	2.57172	2.50158	80.11969
ENSGGOG00000000042	0	0	0	0	0	0	0	0	0	0.27818	0
ENSGGOG00000000043	0.25086	0.48253	3.3907	5.78295	0.24812	0.48258	2.08365	0.60205	0.72925	2.39337	0.43855
ENSGGOG00000000044	0.13481	0.2269	0	0	0.20741	0.15127	1.55344	0.57719	1.28841	2.08287	0.23567
ENSGGOG00000000045	4.26231	6.30707	16.04541	16.28435	11.7832	16.12183	11.41434	10.61717	3.20326	4.66047	3.19781
ENSGGOG00000000046	0	0	0	0.17384	0	0	0	0	0	0	0.16009
ENSGGOG00000000047	0.72607	0.99984	0.35177	0.8771	30.84503	25.99604	68.97397	33.06709	54.45781	70.78634	0.3462
ENSGGOG00000000049	6.28599	3.10765	6.71772	6.93158	1.34055	1.83899	6.12895	10.35235	3.53081	6.09607	8.8491
ENSGGOG00000000050	6.63943	9.91567	9.59512	6.0359	2.69758	1.36412	90.07969	80.94589	138.39423	111.3829	2.28863
ENSGGOG00000000051	6.17415	9.70661	13.20016	15.9715	3.75785	3.5782	13.64724	10.45883	12.11219	12.68712	7.35377
ENSGGOG00000000052	0.69887	1.28327	2.79397	1.2062	0.80642	0.14258	1.79713	1.31843	1.52799	0.64898	0.11112
ENSGGOG00000000053	16.37811	22.59925	19.85864	14.07548	6.68252	3.4769	13.27429	10.27893	9.79238	10.72336	14.05781
ENSGGOG00000000054	0	0	0	0	0.24436	0	0	0	0	0	0
ENSGGOG00000000055	0.11156	0.5632	0.29723	0	0	0	0	0	0	0	0
