Ensembl.Gene.ID	brain_GSM752631	brain_GSM752632	prefrontal cortex_GSM752633	cerebellum_GSM752634	cerebellum_GSM752635	heart_GSM752636	heart_GSM752637	adult mammalian kidney_GSM752638	adult mammalian kidney_GSM752639	liver_GSM752640	liver_GSM752641	testis_GSM752642	testis_GSM752643
ENSMMUG00000000001	9.37812	6.34878	7.63474	9.47345	8.69769	1.12885	1.66161	1.26114	1.01262	0.72286	1.35846	12.71745	10.6537
ENSMMUG00000000002	0.57007	0.94144	1.00982	0.5486	0.75163	0.36823	0.41699	0	0	0.14737	0.15023	2.88347	3.98734
ENSMMUG00000000004	1.03447	0.5126	1.16051	0.19903	0.81843	0.10028	0.11356	0.31982	0.16358	0	0.20449	0	0.04097
ENSMMUG00000000005	2.03462	2.12808	3.00313	4.78618	3.80048	11.60934	8.55755	16.7803	14.11352	42.43027	68.89828	13.05411	14.63296
ENSMMUG00000000006	0	0	0	0	0.26525	0	0	4.14738	0	0.20803	1.06015	0.22612	0
ENSMMUG00000000007	3.26633	2.26553	2.3142	5.6581	8.07502	3.48142	4.659	9.59697	4.13011	7.59988	4.77726	6.05762	5.94834
ENSMMUG00000000009	0.89177	1.85137	0.45132	0.69479	1.21783	1.60472	1.86376	3.7432	2.6847	10.57217	1.22537	1.32457	0.82378
ENSMMUG00000000010	37.19838	35.36433	31.95403	40.47393	39.10405	43.51057	46.69739	48.97223	42.37252	33.65799	31.99111	73.732	108.25854
ENSMMUG00000000012	31.8418	16.06239	5.81078	26.74273	36.35367	34.21792	92.10656	63.11631	54.44339	50.28862	55.72439	21.96154	17.99188
ENSMMUG00000000013	5.62518	12.23133	6.73455	24.66081	11.89765	3.63351	6.17197	10.14835	1.97555	3.75679	1.2353	8.69335	3.15483
ENSMMUG00000000014	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMMUG00000000015	0	0.31518	0	0	0	0	0	0	0	0.2467	0.12574	109.91062	42.67878
ENSMMUG00000000016	15.04069	20.96234	12.11694	17.85631	13.76136	2.86011	9.87075	13.36838	12.21933	4.46985	2.0559	85.96825	78.57645
ENSMMUG00000000017	0	0	0	0	0	0	0	0	0	0	0	0	0.32429
ENSMMUG00000000018	0	0	0	0	0	0	0	8.68554	14.20316	0	0	0.18942	0.08896
ENSMMUG00000000019	3.81888	2.83791	2.87473	1.56184	3.68188	2.49765	4.50421	6.49593	5.13016	5.62727	3.32098	3.29961	2.7591
ENSMMUG00000000020	1.54962	1.8426	1.75666	0.35791	1.28731	2.58254	1.08825	0.57513	0.19584	0.0961	0.26954	0.62703	0.29447
ENSMMUG00000000021	0.35891	0.65202	0.1766	0.40293	0.53229	0.46362	0.5906	1.3874	1.418	0.3711	0.52022	36.05379	22.99436
ENSMMUG00000000022	0.37174	0	0.27429	0.26822	0.3676	0	0	0	0.14674	0	0.07347	1.48825	1.06677
ENSMMUG00000000023	0.14884	0	0	0	0	0.14421	0.32681	0.4606	1.17677	0.80846	2.06019	0	1.29696
ENSMMUG00000000024	0.49294	0.12206	0.07273	0.23728	0.18291	0.17922	0.20294	0.28603	0.29234	0.23899	0.09746	0.25977	0.07323
ENSMMUG00000000025	9.0781	7.1499	9.94073	10.15486	14.42458	1.27797	3.06477	8.51878	8.09378	1.98577	7.60622	2.48544	4.88399
ENSMMUG00000000026	0	0	0	0	0	0.32413	0	0	0	0	0	0	0
ENSMMUG00000000027	2.20278	2.18266	3.90162	0.35339	1.45217	0.71144	1.20855	0	1.1605	0	0.14516	0.30956	0.14538
