Ensembl.Gene.ID	brain_GSM752588	brain_GSM752590	cerebellum_GSM752592	cerebellum_GSM752594	heart_GSM752596	heart_GSM752598	adult mammalian kidney_GSM752601	adult mammalian kidney_GSM752603	liver_GSM752606	liver_GSM752608	testis_GSM752611	testis_GSM752613
ENSMODG00000000001	16.13843	12.79421	19.20605	12.81659	0	0	0	0	0	0	0	0
ENSMODG00000000002	17.46704	25.75279	9.29518	12.72138	7.04021	29.12708	34.01372	59.44003	36.35059	27.25402	9.79036	8.62314
ENSMODG00000000003	0	0	0	0	0	0	0	0	0	0	31.0268	21.81995
ENSMODG00000000005	1.3447	0.93074	0.53624	0.29836	0.02937	0.37783	3.40826	3.44127	0.1166	0.4925	1.75764	1.40623
ENSMODG00000000006	0.5703	0.37686	0.28732	0.24161	0	0	1.19251	1.79631	0.11127	0.39883	8.42568	5.88513
ENSMODG00000000008	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000011	24.34212	19.43353	21.50182	17.71023	0.0674	0.03244	0	0.05058	0	0	0	0
ENSMODG00000000012	132.40153	175.64358	267.56563	307.71607	13.06565	5.42222	44.21518	40.27716	2.43952	1.51703	4.48135	5.57223
ENSMODG00000000013	0.05927	0	0.15675	0.15063	0	0.05246	0	0	0	0.24864	0	0.47063
ENSMODG00000000014	0	0	0	0	0	0	0	0	0	0	38.53509	36.88394
ENSMODG00000000015	0.99078	0.82675	1.86166	0.53005	0.35902	0.29996	3.12243	2.15569	0.07123	0.10944	1.19838	0.99334
ENSMODG00000000016	0	0	0	0	0	0	0	0	0	0	5.92042	6.70728
ENSMODG00000000018	0	0	0	0	0	0	0	0	0	0	33.06961	16.52495
ENSMODG00000000019	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000020	0.18662	0.06171	0.05137	0.02964	0.10713	0.14111	0.27938	0.17674	0.05304	0	3.05303	3.16662
ENSMODG00000000021	50.89412	80.91678	38.08624	47.0809	8.08698	9.714	41.6756	56.35618	10.30754	9.97114	29.18619	46.16879
ENSMODG00000000022	14.58697	9.37151	20.52731	19.18702	4.88374	2.95116	11.63434	8.20631	2.13144	1.59052	24.04803	18.9258
ENSMODG00000000023	0.58506	0	0.19339	0	1.00704	1.48864	0.77845	0	1.59744	1.84077	0	0.11609
ENSMODG00000000026	0	0	0	0	0	0	0.03953	0	0.20252	0.06231	0.45459	1.1541
ENSMODG00000000029	0	0	0	0	0	0	0.15698	0	0.16106	0	0	0.09364
ENSMODG00000000031	24.19872	25.02285	30.25926	32.0854	24.63111	24.44311	22.75023	51.64981	8.61807	6.62033	27.2008	48.22877
ENSMODG00000000032	0.67542	1.24513	0.58156	2.71439	0.04327	0.05562	0.29255	0.06495	0.77201	0.39543	0.06017	0
ENSMODG00000000033	18.12594	27.41989	0.68481	0.37603	0	0.13096	2.95341	0.15292	0	0	0.56673	1.05705
ENSMODG00000000034	4.24733	2.7622	1.93065	1.4757	16.26772	12.10682	0.39734	0.54871	0.02262	0.10445	0.19055	0.27654
ENSMODG00000000035	19.59756	25.43235	30.23874	29.12106	43.79997	17.69813	23.91842	23.3245	50.91896	5.55046	16.15973	13.07876
ENSMODG00000000036	0.0796	0.07888	0.31577	0.30344	0	0.03523	0.05296	0.08227	0.05434	0	0.30488	0.18955
ENSMODG00000000038	0	0	0	0	0	0	27.80663	19.90664	0	0	0	0
ENSMODG00000000040	1.03915	1.02075	0.68103	1.23868	0.40531	0.74879	2.17812	2.54715	0.20083	0.65586	1.86686	2.23367
ENSMODG00000000041	0.0349	0	0	0	0	0	0	0	0	0	0.13366	0.33255
ENSMODG00000000042	65.75397	109.02604	107.34268	134.70177	3.28795	1.01428	5.33742	0.78961	0.52152	3.0047	20.66714	13.56942
ENSMODG00000000043	12.42112	17.92533	23.50891	26.04746	14.68989	11.26778	17.52861	20.02649	10.0343	9.96075	20.65674	16.366
ENSMODG00000000044	0.35773	1.49254	0.09959	0.1914	0.15551	0.19997	0.15027	0.54478	0.10282	0	0.07203	0.38855
ENSMODG00000000048	0.13221	0.11644	0	0	0	0.01302	0.01951	0	0	0	6.07724	5.53928
ENSMODG00000000049	0.15749	0.17022	0.15147	0.03642	0.78872	1.19121	14.02292	8.46452	4.2222	4.08436	1.53554	1.81844
ENSMODG00000000050	0.03309	0	0	0	0.09113	0	0	0	0	0	0.12673	0.05253
ENSMODG00000000052	4.16597	2.8977	5.04974	4.59794	2.06862	1.96464	2.74511	2.7048	1.75902	1.1202	5.05027	3.8791
ENSMODG00000000053	1.76746	1.12398	0.7499	0.33623	0	0	0	0	0.02587	0	0.18107	0.13506
ENSMODG00000000054	0.01623	0.03208	0	0.02057	0	0	0.04321	0	5.47348	3.8473	2.20712	2.5511
ENSMODG00000000056	3.09716	2.82032	1.38359	0.79768	0.28821	2.6485	2.11629	3.46036	1.59991	1.58014	9.29766	11.02958
ENSMODG00000000057	0.06699	0.44253	0	0.17023	0.18449	0.09881	0	0	0	0	0.17104	0.10634
ENSMODG00000000058	0.29451	0.19456	0	0	0	0	0	0	0	0	3.0078	0.85707
ENSMODG00000000060	0.92479	0.75051	0.88588	0.90681	0.04012	0.00645	0.717	0.4816	1.78944	2.10779	0.0558	0.03469
ENSMODG00000000063	0	0	0	0	0	0	0	0	0	0	0	0
ENSMODG00000000065	5.5579	2.90336	3.81711	2.51826	3.2039	3.64154	7.68228	11.66628	6.82303	9.94058	2.39275	4.48003
