Ensembl Gene ID,Gene Biotype
ENSMUSG00000095309,protein_coding
ENSMUSG00000000126,protein_coding
ENSMUSG00000095268,protein_coding
ENSMUSG00000020063,protein_coding
ENSMUSG00000029623,protein_coding
ENSMUSG00000073944,protein_coding
ENSMUSG00000001555,protein_coding
ENSMUSG00000094221,protein_coding
ENSMUSG00000032855,protein_coding
ENSMUSG00000044292,protein_coding
ENSMUSG00000095264,protein_coding
ENSMUSG00000073945,protein_coding
ENSMUSG00000094385,protein_coding
ENSMUSG00000030245,protein_coding
ENSMUSG00000096540,protein_coding
ENSMUSG00000047352,protein_coding
ENSMUSG00000078954,protein_coding
ENSMUSG00000094001,protein_coding
ENSMUSG00000073946,protein_coding
ENSMUSG00000094115,protein_coding
ENSMUSG00000015468,protein_coding
ENSMUSG00000078984,protein_coding
ENSMUSG00000021273,protein_coding
ENSMUSG00000017670,protein_coding
ENSMUSG00000094680,protein_coding
ENSMUSG00000047544,protein_coding
ENSMUSG00000094727,protein_coding
ENSMUSG00000025816,protein_coding
ENSMUSG00000002129,protein_coding
ENSMUSG00000043331,protein_coding
ENSMUSG00000047714,protein_coding
ENSMUSG00000093986,protein_coding
ENSMUSG00000073947,protein_coding
ENSMUSG00000056296,protein_coding
ENSMUSG00000094211,protein_coding
ENSMUSG00000074754,protein_coding
ENSMUSG00000094010,protein_coding
ENSMUSG00000094361,protein_coding
ENSMUSG00000061024,protein_coding
ENSMUSG00000078624,protein_coding
ENSMUSG00000051493,protein_coding
ENSMUSG00000071104,protein_coding
ENSMUSG00000094589,protein_coding
ENSMUSG00000094119,protein_coding
ENSMUSG00000095833,protein_coding
ENSMUSG00000067855,protein_coding
ENSMUSG00000001119,protein_coding
ENSMUSG00000095390,protein_coding
ENSMUSG00000096737,protein_coding
ENSMUSG00000009900,protein_coding
ENSMUSG00000056718,protein_coding
ENSMUSG00000049606,protein_coding
ENSMUSG00000096584,protein_coding
ENSMUSG00000041710,protein_coding
ENSMUSG00000020747,protein_coding
ENSMUSG00000051729,protein_coding
ENSMUSG00000095973,protein_coding
ENSMUSG00000025579,protein_coding
ENSMUSG00000094449,protein_coding
ENSMUSG00000045584,protein_coding
ENSMUSG00000032413,protein_coding
ENSMUSG00000021939,protein_coding
ENSMUSG00000041134,protein_coding
ENSMUSG00000046396,protein_coding
ENSMUSG00000091435,protein_coding
ENSMUSG00000028738,protein_coding
ENSMUSG00000043461,protein_coding
ENSMUSG00000039982,protein_coding
ENSMUSG00000093934,protein_coding
ENSMUSG00000031636,protein_coding
ENSMUSG00000031864,protein_coding
ENSMUSG00000073948,protein_coding
ENSMUSG00000094085,protein_coding
ENSMUSG00000027364,protein_coding
ENSMUSG00000034832,protein_coding
ENSMUSG00000042402,protein_coding
ENSMUSG00000095774,protein_coding
ENSMUSG00000091638,protein_coding
ENSMUSG00000094601,protein_coding
ENSMUSG00000046805,protein_coding
ENSMUSG00000073949,protein_coding
ENSMUSG00000094309,protein_coding
ENSMUSG00000024151,protein_coding
ENSMUSG00000025909,protein_coding
ENSMUSG00000048285,protein_coding
ENSMUSG00000058079,protein_coding
ENSMUSG00000006931,protein_coding
ENSMUSG00000094254,protein_coding
ENSMUSG00000040065,protein_coding
ENSMUSG00000094284,protein_coding
ENSMUSG00000051427,protein_coding
ENSMUSG00000058976,protein_coding
ENSMUSG00000024027,protein_coding
ENSMUSG00000072066,protein_coding
ENSMUSG00000095190,protein_coding
ENSMUSG00000058762,protein_coding
ENSMUSG00000095903,protein_coding
ENSMUSG00000050815,protein_coding
ENSMUSG00000028329,protein_coding
ENSMUSG00000083780,protein_coding
ENSMUSG00000074865,protein_coding
ENSMUSG00000028737,protein_coding
ENSMUSG00000095768,protein_coding
ENSMUSG00000046650,protein_coding
ENSMUSG00000040963,protein_coding
ENSMUSG00000021342,protein_coding
ENSMUSG00000055820,protein_coding
ENSMUSG00000095275,protein_coding
ENSMUSG00000096436,protein_coding
ENSMUSG00000059874,protein_coding
ENSMUSG00000037816,protein_coding
ENSMUSG00000055228,protein_coding
ENSMUSG00000045160,protein_coding
ENSMUSG00000061200,protein_coding
ENSMUSG00000067513,protein_coding
ENSMUSG00000094353,protein_coding
ENSMUSG00000094942,protein_coding
ENSMUSG00000079657,protein_coding
ENSMUSG00000025453,protein_coding
ENSMUSG00000045540,protein_coding
ENSMUSG00000095640,protein_coding
ENSMUSG00000095837,protein_coding
ENSMUSG00000054763,protein_coding
ENSMUSG00000045835,protein_coding
ENSMUSG00000074656,protein_coding
ENSMUSG00000073950,protein_coding
ENSMUSG00000034416,protein_coding
ENSMUSG00000074867,protein_coding
ENSMUSG00000036106,protein_coding
ENSMUSG00000096761,protein_coding
ENSMUSG00000095839,protein_coding
ENSMUSG00000036661,protein_coding
ENSMUSG00000073951,protein_coding
ENSMUSG00000048076,protein_coding
ENSMUSG00000025817,protein_coding
ENSMUSG00000096903,protein_coding
ENSMUSG00000099269,protein_coding
ENSMUSG00000019861,protein_coding
ENSMUSG00000073952,protein_coding
ENSMUSG00000074870,protein_coding
ENSMUSG00000075571,protein_coding
ENSMUSG00000062121,protein_coding
ENSMUSG00000098049,protein_coding
ENSMUSG00000045394,protein_coding
ENSMUSG00000096663,protein_coding
ENSMUSG00000096194,protein_coding
ENSMUSG00000043131,protein_coding
ENSMUSG00000060049,protein_coding
ENSMUSG00000073953,protein_coding
