Ensembl.Gene.ID	brain_GSM752569	brain_GSM752570	cerebellum_GSM752571	cerebellum_GSM752572	heart_GSM752573	heart_GSM752575	adult mammalian kidney_GSM752576	adult mammalian kidney_GSM752578	liver_GSM752580	liver_GSM752581	testis_GSM752583	testis_GSM752585
ENSOANG00000000110	32.80878	30.40943	35.96648	35.7601	36.7343	33.7183	32.37001	29.45213	19.15135	17.98513	65.5247	62.87079
ENSOANG00000000111	0.17228	0.64277	0.80324	1.7314	6.81726	3.73305	0	0.58243	0.22804	0	2.17235	1.1555
ENSOANG00000000112	11.4869	5.56342	18.69012	11.06108	14.17665	10.07297	10.05874	7.87764	6.66882	6.43679	10.79976	11.08337
ENSOANG00000000113	4.66165	0.39082	3.87226	7.24795	23.58185	23.05973	5.57232	10.75754	0.17328	0.30821	2.64201	2.4825
ENSOANG00000000114	0	0	0	0	0.34145	0	0	0	0	0	0	0.05787
ENSOANG00000000118	0	0	0	0	0	0	0	0	0	0	3.38678	1.04085
ENSOANG00000000123	0	0	0	0	0	0	0	0	0	0	0	0
ENSOANG00000000124	1.29581	1.53553	1.06611	1.76775	1.80967	1.80166	2.5548	3.15671	1.71521	4.7411	1.28158	3.44225
ENSOANG00000000125	6.71703	2.14248	4.68991	3.51461	0.84166	0.50508	7.07393	79.9424	0.52038	0.89074	20.83339	15.66654
ENSOANG00000000126	24.2588	33.97265	37.28509	27.40872	10.8299	7.71912	9.24598	17.66446	1.48197	2.82329	7.84338	18.18941
ENSOANG00000000127	184.51714	254.38486	376.56184	255.26643	88.27427	91.72073	137.09499	215.05204	43.87511	44.04749	191.07047	133.10676
ENSOANG00000000128	0	0	0	0	0	0	0	0	0	0	0.38771	1.64999
ENSOANG00000000129	1.09814	1.96645	1.46277	3.39568	11.97367	1.29787	0.64013	2.22753	0.29071	0.36921	5.53881	1.57124
ENSOANG00000000130	31.51158	26.12409	33.47263	32.5838	10.10552	10.46073	9.76553	15.23517	14.41352	8.33615	15.63202	18.50178
ENSOANG00000000131	31.46923	11.92644	21.62459	20.07983	9.66322	13.7752	28.38978	37.99654	17.85198	20.57321	29.39366	10.49738
ENSOANG00000000132	28.0693	16.246	32.60337	23.2897	13.66434	25.40728	17.27521	26.91661	34.91846	23.33535	44.53328	31.48655
ENSOANG00000000133	0	0	0	0	0	0	0	0	0	0	0	0.16725
ENSOANG00000000134	4.09493	4.05783	5.32674	4.58347	3.33825	2.26865	8.39191	6.38127	0.52222	0.48407	5.3787	4.55834
ENSOANG00000000135	1.81215	1.30547	2.74679	5.89323	3.07705	2.21556	6.19216	3.16875	1.32333	2.20591	75.64134	51.80039
ENSOANG00000000137	8.53966	7.37302	4.92921	3.77235	10.2627	4.76612	2.07416	2.40589	0.4037	0.1709	0.25652	1.21821
ENSOANG00000000138	0.43	0.64167	0.28644	0.33247	0.37818	0	0	1.09036	0	0	9.0375	9.03713
ENSOANG00000000139	0.73015	0.43581	0	0.22583	0.51361	0	0.42572	0.2469	0.38657	0.7365	0	1.04466
ENSOANG00000000140	1.79331	0.97308	0.54288	0.81922	3.72724	5.21826	1.78191	2.48011	1.29471	0.61669	29.8072	22.05032
ENSOANG00000000141	3.08576	7.28354	9.95739	9.87608	5.84161	1.71645	9.89137	3.79855	1.71706	3.21605	6.00296	5.48381
ENSOANG00000000142	0.83493	0.86025	0.74137	0.92206	0.6293	0.35242	1.33255	1.44486	1.36822	0.86884	1.92168	2.22206
ENSOANG00000000143	30.74579	27.76451	17.54544	15.31372	21.7739	19.57809	11.52739	8.48763	10.01489	4.45177	10.55253	8.79589
ENSOANG00000000144	2.49127	1.9244	1.56163	1.85793	2.9896	5.25376	1.28146	1.68456	0.77596	1.08395	2.58691	4.21989
ENSOANG00000000145	0.52322	0.68323	0.26134	0.15174	0.63261	0.19332	0	0.49755	0	0	0.68727	0.81888
ENSOANG00000000146	0.5963	0.88983	0.1986	0.23052	1.70421	0.14684	2.17253	1.76405	0	0	0.31334	0.66658
