Ensembl.Gene.ID	prefrontal cortex_GSM752664	prefrontal cortex_GSM752665	prefrontal cortex_GSM752666	prefrontal cortex_GSM752667	prefrontal cortex_GSM752668	prefrontal cortex_GSM752669	cerebellum_GSM752670	cerebellum_GSM752671	heart_GSM752672	heart_GSM752673	adult mammalian kidney_GSM752674	adult mammalian kidney_GSM752675	liver_GSM752676	liver_GSM752677	testis_GSM752678
ENSPTRG00000000001	34.42093	36.52651	28.50907	23.12696	19.66599	28.69891	32.85568	39.94835	16.11637	10.23581	41.41923	28.74653	20.57799	18.34145	38.89301
ENSPTRG00000000008	0	0	0.33628	0.29426	0	0	1.13921	2.00006	0.56075	0.28507	0.31959	0.35017	0.04439	0	30.88219
ENSPTRG00000000009	0.65231	0.47816	0.54692	0	0.25547	0.31035	0.46309	0.36585	0.11394	0.05796	0.7145	0.42708	1.02926	0.2812	0.1961
ENSPTRG00000000012	20.58523	20.77544	15.72355	16.98772	13.69904	15.55907	10.95437	10.65093	7.63731	2.50488	15.81015	7.48774	15.22292	9.12043	4.28264
ENSPTRG00000000017	0.52572	3.17917	0.88156	0.43376	1.2357	2.00036	2.23927	0.78635	0	0	0.78523	0.22943	0	0	2.37132
ENSPTRG00000000021	0.25286	4.86628	0.53005	1.04334	2.47675	4.20996	3.71911	4.01912	1.10464	0.22461	3.77745	1.65568	3.88542	0.27261	0.57033
ENSPTRG00000000023	5.33052	26.19893	12.4435	10.33067	8.78044	13.82966	10.81306	8.15483	7.9381	11.94504	21.71584	16.56891	5.33261	11.23239	26.96049
ENSPTRG00000000024	0.18378	0.54733	0.43341	0.18958	0.27001	0.32782	0.83891	0.8163	0.34127	0.67349	0.50339	0.48472	0.03816	0	0.20726
ENSPTRG00000000025	74.55778	145.25379	74.7208	55.72632	49.50622	73.05388	59.52105	74.7949	16.948	17.12985	40.17731	31.05968	34.14979	25.88756	14.34778
ENSPTRG00000000027	63.30098	100.96742	86.03495	90.53728	53.65018	71.33153	44.43076	49.44035	40.33999	48.58729	124.66123	107.03027	78.66249	79.98774	206.15362
ENSPTRG00000000028	45.80134	61.80793	51.55009	52.10775	39.02831	46.66047	102.31083	128.14426	14.00819	12.34964	89.16725	56.37791	77.03307	42.59538	25.53395
ENSPTRG00000000029	49.61234	61.37388	79.94855	87.8543	41.3033	63.42079	49.37706	40.00563	39.28103	36.08237	67.93377	66.09412	63.09387	50.8129	43.82824
ENSPTRG00000000031	12.60313	4.53404	3.81598	2.69648	2.46879	7.77099	15.95512	12.56843	2.73235	2.03171	9.94772	5.90869	13.37472	4.32788	6.66795
ENSPTRG00000000033	4.17249	1.39039	2.91543	1.04334	1.36228	1.50343	4.23205	3.42811	0.8285	0.33692	2.83309	1.65568	3.04534	1.22691	1.80616
ENSPTRG00000000034	124.4711	86.67145	116.11729	100.70371	80.76493	100.19808	111.33428	95.72156	51.33184	52.61758	126.40459	86.31605	63.00249	75.18427	39.25583
ENSPTRG00000000035	0.40336	4.98915	2.53624	1.10933	1.58009	1.43876	0.51135	1.31964	4.22816	1.7912	1.60649	2.64059	0.50243	0.43486	0.45483
ENSPTRG00000000037	14.30516	15.48771	7.29126	7.74875	9.26076	8.50542	17.98761	12.00008	0.94162	0.80509	9.73295	8.87432	3.96706	3.74997	1.7312
ENSPTRG00000000038	22.77361	17.72945	17.90188	18.31565	14.4134	19.16321	20.79862	15.20158	7.56659	2.61441	39.08773	19.21757	68.36282	54.46245	17.66625
ENSPTRG00000000040	0.14175	0.64972	2.22961	0.9752	0.13883	1.0117	1.72609	1.32578	0	0	0.07058	0.25791	0	0	0.74634
ENSPTRG00000000041	0.97878	0.59788	1.19687	0.67321	0.3196	1.55174	1.90275	1.98267	0.07127	0	0.97471	1.54279	1.76129	1.05522	4.17008
ENSPTRG00000000044	32.44072	68.85536	62.47469	40.54435	37.29331	53.78362	36.09157	36.7464	4.98675	4.1717	35.6877	24.4149	11.79119	18.22721	11.51611
ENSPTRG00000000047	13.46953	20.44736	5.3578	7.70061	10.01369	10.61393	44.27741	68.95719	6.77004	3.67598	8.40371	8.20513	3.94234	7.34831	2.31821
ENSPTRG00000000048	5.63433	4.07607	2.38292	1.35952	2.80768	1.64578	13.23422	13.40008	0.69087	0.0878	10.77894	10.89449	0.65675	1.38545	37.53064
ENSPTRG00000000049	18.32934	31.83379	26.30288	30.62704	26.11265	29.90202	21.33097	27.19158	10.30085	11.70669	46.5885	43.67643	26.18925	46.05437	34.28102
ENSPTRG00000000050	12.14117	12.40922	10.44125	12.20305	6.70809	8.88453	8.88067	4.36568	3.3998	2.48885	11.23821	8.86084	4.20147	5.37012	6.61214
ENSPTRG00000000051	9.23844	17.4346	7.24524	4.57617	8.32079	10.14079	23.31124	44.33346	0.02819	0.02867	1.17415	6.8384	0.33532	0.4876	0.09717
ENSPTRG00000000052	14.85839	28.15299	15.63526	13.59697	20.35081	19.99167	17.59221	30.16223	4.65463	10.17494	10.25743	11.08919	7.74332	7.33938	21.05157
ENSPTRG00000000053	8.62098	12.35408	8.74742	6.05477	4.76079	10.25155	3.25579	1.45771	6.20977	1.91448	18.17511	8.74033	26.88788	23.13703	0.55165
ENSPTRG00000000054	46.04402	30.41763	27.76232	20.30862	18.87786	28.14696	17.06278	14.70028	3.74202	2.42798	7.74501	6.88785	9.22076	4.92145	5.25411
ENSPTRG00000000055	0.13487	0.12359	0.14136	0.55628	0.1321	0.16019	0.23935	0.12609	0.38285	0.0599	0.63785	0.12262	0.02797	0	65.79418
ENSPTRG00000000057	0	0	0	0.30716	0	0	0	0	0.19504	0	0	0.04059	0	0	133.69466
ENSPTRG00000000059	4.57398	4.30778	0.799	0.99025	0.66369	1.20869	0.494	0.07919	3.03409	1.29791	6.3897	3.88215	0.6683	0.13698	0.35026
ENSPTRG00000000060	1.46387	1.27754	0.73054	0.47933	0.4096	0.4973	0.42417	0.52131	0.12179	0.18574	24.67732	14.57898	17.65698	7.81552	0.89098
ENSPTRG00000000062	0.22754	0.20851	0	0.15648	0	0	3.34559	6.16762	0	0.05053	0.1133	0.04138	0.09449	0	1.19718
ENSPTRG00000000063	125.53771	81.79819	55.81241	61.56442	63.24186	72.80562	85.45174	64.93647	31.91447	25.82177	44.19126	62.50657	44.33266	72.38621	14.69921
ENSPTRG00000000064	9.11169	20.32549	26.91367	13.29153	13.79211	17.07328	15.96297	15.31628	1.88965	1.83951	9.02802	8.60385	4.81565	3.67129	8.85727
ENSPTRG00000000067	0	0	0	0	0	0	0	0.07525	0	0	0	0.02928	0	0	27.96685
ENSPTRG00000000068	39.63003	35.01784	34.30469	29.76789	28.3604	28.1912	41.063	41.02032	18.88312	13.7511	26.16343	20.61455	20.88935	17.16644	11.79399
ENSPTRG00000000069	9.80682	11.99492	8.20525	11.86731	9.97619	10.61058	10.62991	15.81874	6.19611	8.03835	13.58044	17.22355	6.7116	9.66531	55.34668
ENSPTRG00000000070	2.33747	2.14193	1.92494	1.37779	3.10707	1.98549	3.30231	3.4341	0.36469	0.14833	1.49646	1.15391	0.69335	0.53999	0.87876
ENSPTRG00000000072	8.00461	7.335	3.71623	3.5468	7.6822	5.62159	3.54182	2.61181	0.37547	0.07156	6.12568	5.62787	0.15614	0.05796	1.57528
ENSPTRG00000000075	64.3326	50.25823	30.6566	28.60676	38.79366	36.82409	16.6998	23.4974	0.04765	0.01208	0.16287	0.27763	0.02265	0.02932	86.65223
ENSPTRG00000000076	127.94642	66.41729	100.79226	108.55475	93.45436	95.0132	221.15346	215.06143	102.35246	136.95651	136.18566	183.67761	158.21066	139.79811	116.70795
ENSPTRG00000000078	1.97224	6.00004	6.44935	4.28578	3.32244	4.7842	4.92094	8.11304	3.85965	7.60329	5.61716	7.50383	3.06299	2.16874	0.23723
ENSPTRG00000000079	13.85117	15.95456	13.60172	14.28802	19.39859	15.77836	23.79779	36.73107	8.45393	7.50305	21.10951	31.05372	4.75737	6.80359	16.30211
ENSPTRG00000000081	0.33178	0	0	0	0	0	0.16826	0	0	0	0	0	0	0	0
ENSPTRG00000000082	4.79386	13.4244	8.52154	5.85488	6.72355	7.38779	0.36957	0.35855	0.46907	0.35767	1.94779	1.21365	0.43	1.4884	1.47047
ENSPTRG00000000084	69.07142	147.97934	162.98835	123.12885	111.68108	147.2934	58.41379	70.97918	1.51705	1.28541	7.49328	9.50934	11.53718	10.60833	15.66622
ENSPTRG00000000085	0	0	0	0	0	0	0	0.06429	0.03004	0	1.19796	1.85026	0.51379	0	5.99505
ENSPTRG00000000088	43.8455	39.45521	30.76357	16.18125	18.17544	21.05726	88.08149	75.97343	4.45051	6.67978	3.92546	3.37497	1.38509	1.1115	3.19157
ENSPTRG00000000089	4.4116	4.90151	5.43299	4.55059	5.50913	6.55746	5.90076	9.79547	1.90303	2.54715	3.13019	3.91136	2.72501	3.32926	3.8143
ENSPTRG00000000090	0.16784	0.25634	0.05864	0.4617	0.0548	0.13306	0.25536	0	0.02444	0	0.11143	0.0814	0.04647	0	8.41372
ENSPTRG00000000091	14.86354	30.06148	10.79374	9.05346	13.3101	15.40223	10.82218	13.99532	8.76537	13.48596	15.27758	23.90443	11.63906	7.09659	3.19286
ENSPTRG00000000092	8.96339	5.46259	7.50666	6.54743	9.66102	5.40565	7.22084	9.74316	2.22935	1.99999	6.00055	4.97631	4.79066	3.2366	28.92281
