Ensembl.Gene.ID	brain_GSM1064856	brain_GSM1064857	heart_GSM1064858	heart_GSM1064859	mesonephros_GSM1064860	mesonephros_GSM1064861	liver_GSM1064862	liver_GSM1064863	testis_GSM1064864	testis_GSM1196057	female gonad_GSM1064865	female gonad_GSM1196056
ENSXETG00000000002	1.6714	1.2164	2.30496	2.52963	5.19615	7.00002	2.88383	3.92084	3.54678	5.08446	13.08574	26.48743
ENSXETG00000000003	0.58216	0.23427	0.20294	0.62353	0.42132	1.29413	0.61813	0.38151	0.21018	0.14461	0.71858	0.62782
ENSXETG00000000004	0	0	0	0	0	0	0	0	0	0.02701	0	0
ENSXETG00000000007	2.36491	1.2634	1.59602	1.00716	2.31969	1.71846	1.17205	0.76205	5.33672	14.40727	1.25594	3.8293
ENSXETG00000000009	0	0	10.23105	3.44176	0.02255	0	0	0.02269	0	0	0	0
ENSXETG00000000011	0.09582	0.5011	0.17362	0.25011	17.7546	15.43479	0.24794	0.18134	0.44956	2.37156	5.63593	17.45766
ENSXETG00000000013	7.28587	10.84907	23.37349	20.48676	56.71903	56.36091	20.68927	13.91229	34.26617	25.52659	29.71118	13.26777
ENSXETG00000000014	29.96374	15.54982	0	0.05154	0.11143	0.20744	0	0	3.16808	1.52979	2.16432	0.2372
ENSXETG00000000016	0	0	0	0	0	0	0	0	0	0.0667	0	0
ENSXETG00000000020	1.43726	0.62343	0.12706	0.24407	11.04868	6.78416	1.02824	0.63046	9.37715	18.26309	0.78124	2.49224
ENSXETG00000000021	3.61977	2.6217	0.25232	0.46261	1.19079	2.01715	0.78614	0.64694	10.14484	17.27468	72.14017	145.64395
ENSXETG00000000022	49.31371	47.89808	43.49646	38.55927	38.46526	41.10765	19.81699	17.00581	43.7634	20.86979	80.82866	38.93436
ENSXETG00000000026	0.03773	0.67072	0	0.03283	0.03549	0.56142	0	0	296.75942	191.11391	121.09143	131.4517
ENSXETG00000000029	3.25306	2.57104	7.41518	9.23456	6.8162	5.68495	1.62991	0.7799	2.57331	3.27227	5.86314	1.66429
ENSXETG00000000035	17.21663	14.00403	16.41113	14.05453	16.23902	11.01672	9.80171	7.19032	11.3585	24.97509	17.65649	39.2527
ENSXETG00000000036	10.13733	8.85795	26.09902	20.50098	37.82515	28.44744	10.78275	7.57839	20.27298	57.28768	22.02724	63.67433
ENSXETG00000000037	125.68485	108.93238	36.33374	26.3875	65.36031	54.98808	35.31854	26.38961	81.65034	112.501	34.89838	49.83295
ENSXETG00000000038	12.1445	13.12884	13.29872	14.97227	31.32629	26.67581	23.57334	21.07519	124.24569	271.2537	67.84347	106.00202
ENSXETG00000000039	0.11022	0.17299	0	0.1439	1.55568	0.48264	1.14117	1.04345	0.10345	0.35598	0	0
ENSXETG00000000040	61.427	56.96911	32.25563	26.87733	251.42634	161.42632	71.29574	72.92411	69.06548	48.2876	129.77089	98.71696
ENSXETG00000000041	0.01935	0.08101	0	0.01684	0.0182	0.0848	0	0	3.10816	3.89805	0.17265	0.05817
ENSXETG00000000042	11.707	12.7395	15.8501	13.70664	14.06655	15.35705	9.49118	11.03694	42.09888	26.11408	16.84863	9.08633
ENSXETG00000000043	18.51207	18.88604	8.89943	9.2369	19.18607	14.89356	11.13959	11.66872	16.78692	54.24721	16.5769	80.00626
