Species_A	Species_B	Early	Mid	Late
1	2	0.129054667	0.018285677	0.502489222
1	3	0.076481986	0.087351405	0.363660703
1	4	0.15500254	-0.115087642	0.376311386
1	5	0.058871151	0.05195344	0.501257659
1	6	-0.00853465	0.102751777	-0.061848072
1	7	0.092859609	0.375836473	0.407266049
1	8	-0.020415436	0.062366032	-0.085539385
1	9	0.069772595	-0.066213097	0.377994992
1	10	0.10066901	-0.365911105	0.28227476
2	1	0.129054667	0.018285677	0.502489222
2	3	0.339814248	0.064395702	0.43521795
2	4	0.153848279	0.003386168	0.334204105
2	5	0.19929806	-0.071681054	0.588376047
2	6	0.144822748	0.054946204	0.248513469
2	7	0.212850406	0.24627203	0.579396682
2	8	0.092535943	0.105802951	0.237897825
2	9	0.216278291	0.161469261	0.322650773
2	10	0.15164473	-0.154586004	0.262058747
3	1	0.076481986	0.087351405	0.363660703
3	2	0.339814248	0.064395702	0.43521795
3	4	0.20103046	0.153772347	0.244670922
3	5	0.253967927	0.31984306	0.686180618
3	6	0.124601183	-0.06671346	0.249691243
3	7	0.164550134	0.058470506	0.427871167
3	8	0.080145032	0.036502128	0.116021389
3	9	0.174030662	0.034302506	0.311989233
3	10	0.104613567	0.051936282	0.11851176
4	1	0.15500254	-0.115087642	0.376311386
4	2	0.153848279	0.003386168	0.334204105
4	3	0.20103046	0.153772347	0.244670922
4	5	0.124680505	0.140468139	0.412204651
4	6	0.070462181	0.283220473	-0.001628348
4	7	0.17811743	0.020705902	0.371156381
4	8	-0.018322139	-0.054610068	-0.018613936
4	9	0.168995658	0.00956879	0.249535577
4	10	0.176048183	-0.296976495	0.245652535
5	1	0.058871151	0.05195344	0.501257659
5	2	0.19929806	-0.071681054	0.588376047
5	3	0.253967927	0.31984306	0.686180618
5	4	0.124680505	0.140468139	0.412204651
5	6	0.065837022	0.024317831	0.233005198
5	7	0.12856501	0.277032925	0.640936308
5	8	0.025357692	0.128720503	0.105286114
5	9	0.099379793	0.193583992	0.370560938
5	10	0.060444163	-0.179198381	0.206867861
6	1	-0.00853465	0.102751777	-0.061848072
6	2	0.144822748	0.054946204	0.248513469
6	3	0.124601183	-0.06671346	0.249691243
6	4	0.070462181	0.283220473	-0.001628348
6	5	0.065837022	0.024317831	0.233005198
6	7	0.079973868	0.272973837	0.099517962
6	8	0.036376979	-0.102378319	0.099007023
6	9	0.061347364	-0.013834099	0.104426878
6	10	0.008475209	0.221423108	-0.051209207
7	1	0.092859609	0.375836473	0.407266049
7	2	0.212850406	0.24627203	0.579396682
7	3	0.164550134	0.058470506	0.427871167
7	4	0.17811743	0.020705902	0.371156381
7	5	0.12856501	0.277032925	0.640936308
7	6	0.079973868	0.272973837	0.099517962
7	8	0.027186266	0.162751608	0.093876992
7	9	0.122490104	0.216293598	0.354166886
7	10	0.074431717	0.014218651	0.231343312
8	1	-0.020415436	0.062366032	-0.085539385
8	2	0.092535943	0.105802951	0.237897825
8	3	0.080145032	0.036502128	0.116021389
8	4	-0.018322139	-0.054610068	-0.018613936
8	5	0.025357692	0.128720503	0.105286114
8	6	0.036376979	-0.102378319	0.099007023
8	7	0.027186266	0.162751608	0.093876992
8	9	0.056002062	0.057577276	0.082635717
8	10	-0.023795341	-0.266368073	-0.030996149
9	1	0.069772595	-0.066213097	0.377994992
9	2	0.216278291	0.161469261	0.322650773
9	3	0.174030662	0.034302506	0.311989233
9	4	0.168995658	0.00956879	0.249535577
9	5	0.099379793	0.193583992	0.370560938
9	6	0.061347364	-0.013834099	0.104426878
9	7	0.122490104	0.216293598	0.354166886
9	8	0.056002062	0.057577276	0.082635717
9	10	0.095760272	0.046039046	0.241904751
10	1	0.10066901	-0.365911105	0.28227476
10	2	0.15164473	-0.154586004	0.262058747
10	3	0.104613567	0.051936282	0.11851176
10	4	0.176048183	-0.296976495	0.245652535
10	5	0.060444163	-0.179198381	0.206867861
10	6	0.008475209	0.221423108	-0.051209207
10	7	0.074431717	0.014218651	0.231343312
10	8	-0.023795341	-0.266368073	-0.030996149
10	9	0.095760272	0.046039046	0.241904751
