Ensembl Gene ID,Gene Biotype
ENSG00000261657,protein_coding
ENSG00000261530,protein_coding
ENSG00000260334,protein_coding
ENSG00000261125,protein_coding
ENSG00000261577,protein_coding
ENSG00000261163,protein_coding
ENSG00000261258,protein_coding
ENSG00000260753,protein_coding
ENSG00000215405,protein_coding
ENSG00000268343,protein_coding
ENSG00000261631,protein_coding
ENSG00000230031,protein_coding
ENSG00000259896,protein_coding
ENSG00000138593,protein_coding
ENSG00000268531,protein_coding
ENSG00000233917,protein_coding
ENSG00000166157,protein_coding
ENSG00000260245,protein_coding
ENSG00000260703,protein_coding
ENSG00000256715,protein_coding
ENSG00000166351,protein_coding
ENSG00000260283,protein_coding
ENSG00000269011,protein_coding
ENSG00000168675,protein_coding
ENSG00000262684,protein_coding
ENSG00000188992,protein_coding
ENSG00000185272,protein_coding
ENSG00000182974,protein_coding
ENSG00000260770,protein_coding
ENSG00000183706,protein_coding
ENSG00000269182,protein_coding
ENSG00000155304,protein_coding
ENSG00000260320,protein_coding
ENSG00000197414,protein_coding
ENSG00000260178,protein_coding
ENSG00000166200,protein_coding
ENSG00000155307,protein_coding
ENSG00000259958,protein_coding
ENSG00000243440,protein_coding
ENSG00000260325,protein_coding
ENSG00000261378,protein_coding
ENSG00000153575,protein_coding
ENSG00000180530,protein_coding
ENSG00000137824,protein_coding
ENSG00000261371,protein_coding
ENSG00000259458,protein_coding
ENSG00000263304,protein_coding
ENSG00000137880,protein_coding
ENSG00000262917,protein_coding
ENSG00000104129,protein_coding
ENSG00000177150,protein_coding
ENSG00000155313,protein_coding
ENSG00000263077,protein_coding
ENSG00000101638,protein_coding
ENSG00000232560,protein_coding
ENSG00000263046,protein_coding
ENSG00000154639,protein_coding
ENSG00000101654,protein_coding
ENSG00000261074,protein_coding
ENSG00000078043,protein_coding
ENSG00000156958,protein_coding
ENSG00000260220,protein_coding
ENSG00000154640,protein_coding
ENSG00000188277,protein_coding
ENSG00000249139,protein_coding
ENSG00000260587,protein_coding
ENSG00000259880,protein_coding
ENSG00000158901,protein_coding
ENSG00000140416,protein_coding
ENSG00000259956,protein_coding
ENSG00000180205,protein_coding
ENSG00000154642,protein_coding
ENSG00000260383,protein_coding
ENSG00000140577,protein_coding
ENSG00000261236,protein_coding
ENSG00000166140,protein_coding
ENSG00000101138,protein_coding
ENSG00000154645,protein_coding
ENSG00000260623,protein_coding
ENSG00000260428,protein_coding
ENSG00000180305,protein_coding
ENSG00000068793,protein_coding
ENSG00000180083,protein_coding
ENSG00000182931,protein_coding
ENSG00000154646,protein_coding
ENSG00000168634,protein_coding
ENSG00000149651,protein_coding
ENSG00000261132,protein_coding
ENSG00000261443,protein_coding
ENSG00000101365,protein_coding
ENSG00000167216,protein_coding
ENSG00000124116,protein_coding
ENSG00000087589,protein_coding
ENSG00000154654,protein_coding
ENSG00000166143,protein_coding
ENSG00000261698,protein_coding
ENSG00000166262,protein_coding
ENSG00000176136,protein_coding
ENSG00000185231,protein_coding
ENSG00000103642,protein_coding
ENSG00000197299,protein_coding
ENSG00000154719,protein_coding
ENSG00000261678,protein_coding
ENSG00000175322,protein_coding
ENSG00000101160,protein_coding
ENSG00000261587,protein_coding
ENSG00000022277,protein_coding
ENSG00000166145,protein_coding
ENSG00000088881,protein_coding
ENSG00000101162,protein_coding
ENSG00000140285,protein_coding
ENSG00000183206,protein_coding
ENSG00000101457,protein_coding
ENSG00000266996,protein_coding
ENSG00000154721,protein_coding
