Ensembl Gene ID,Gene Biotype
ENSXETG00000025632,protein_coding
ENSXETG00000026421,protein_coding
ENSXETG00000008383,protein_coding
ENSXETG00000015940,protein_coding
ENSXETG00000019740,protein_coding
ENSXETG00000034059,protein_coding
ENSXETG00000016254,protein_coding
ENSXETG00000020722,protein_coding
ENSXETG00000001197,protein_coding
ENSXETG00000034332,protein_coding
ENSXETG00000031920,protein_coding
ENSXETG00000031832,protein_coding
ENSXETG00000031667,protein_coding
ENSXETG00000032519,protein_coding
ENSXETG00000000318,protein_coding
ENSXETG00000018044,protein_coding
ENSXETG00000020724,protein_coding
ENSXETG00000010762,protein_coding
ENSXETG00000013164,protein_coding
ENSXETG00000027136,protein_coding
ENSXETG00000010760,protein_coding
ENSXETG00000032715,protein_coding
ENSXETG00000017468,protein_coding
ENSXETG00000032436,protein_coding
ENSXETG00000005683,protein_coding
ENSXETG00000000187,protein_coding
ENSXETG00000034116,protein_coding
ENSXETG00000031399,protein_coding
ENSXETG00000032311,protein_coding
ENSXETG00000030000,protein_coding
ENSXETG00000020726,protein_coding
ENSXETG00000005684,protein_coding
ENSXETG00000034033,protein_coding
ENSXETG00000032584,protein_coding
ENSXETG00000032987,protein_coding
ENSXETG00000001596,protein_coding
ENSXETG00000010758,protein_coding
ENSXETG00000030327,protein_coding
ENSXETG00000031658,protein_coding
ENSXETG00000008765,protein_coding
ENSXETG00000032617,protein_coding
ENSXETG00000000185,protein_coding
ENSXETG00000031416,protein_coding
ENSXETG00000033813,protein_coding
ENSXETG00000032733,protein_coding
ENSXETG00000030664,protein_coding
ENSXETG00000014990,protein_coding
ENSXETG00000011434,protein_coding
ENSXETG00000033781,protein_coding
ENSXETG00000011436,protein_coding
ENSXETG00000032957,protein_coding
ENSXETG00000033692,protein_coding
ENSXETG00000023557,protein_coding
ENSXETG00000031272,protein_coding
ENSXETG00000033616,protein_coding
ENSXETG00000030432,protein_coding
ENSXETG00000020729,protein_coding
ENSXETG00000030302,protein_coding
ENSXETG00000031681,protein_coding
ENSXETG00000033982,protein_coding
ENSXETG00000031002,protein_coding
ENSXETG00000010491,protein_coding
ENSXETG00000031878,protein_coding
ENSXETG00000022246,protein_coding
ENSXETG00000032583,protein_coding
ENSXETG00000034137,protein_coding
ENSXETG00000030123,protein_coding
ENSXETG00000014229,protein_coding
ENSXETG00000030592,protein_coding
ENSXETG00000004799,protein_coding
ENSXETG00000018214,protein_coding
ENSXETG00000000183,protein_coding
ENSXETG00000011938,protein_coding
ENSXETG00000030356,protein_coding
ENSXETG00000000170,protein_coding
ENSXETG00000033450,protein_coding
ENSXETG00000033553,protein_coding
ENSXETG00000014231,protein_coding
ENSXETG00000030478,protein_coding
ENSXETG00000032897,protein_coding
ENSXETG00000031382,protein_coding
ENSXETG00000032789,protein_coding
ENSXETG00000008755,protein_coding
ENSXETG00000025702,protein_coding
ENSXETG00000018546,protein_coding
ENSXETG00000025648,protein_coding
ENSXETG00000018329,protein_coding
ENSXETG00000034245,protein_coding
ENSXETG00000020728,protein_coding
ENSXETG00000006135,protein_coding
ENSXETG00000011438,protein_coding
ENSXETG00000010494,protein_coding
ENSXETG00000030819,protein_coding
ENSXETG00000020732,protein_coding
ENSXETG00000024766,protein_coding
ENSXETG00000032985,protein_coding
ENSXETG00000033742,protein_coding
ENSXETG00000032361,protein_coding
ENSXETG00000031810,protein_coding
ENSXETG00000029974,protein_coding
ENSXETG00000034347,protein_coding
ENSXETG00000032977,protein_coding
ENSXETG00000025464,protein_coding
ENSXETG00000032821,protein_coding
ENSXETG00000008678,protein_coding
ENSXETG00000024765,protein_coding
ENSXETG00000013180,protein_coding
ENSXETG00000010495,protein_coding
ENSXETG00000033825,protein_coding
ENSXETG00000020595,protein_coding
ENSXETG00000011941,protein_coding
ENSXETG00000014234,protein_coding
ENSXETG00000000172,protein_coding
ENSXETG00000020733,protein_coding
ENSXETG00000008674,protein_coding
ENSXETG00000010239,protein_coding
ENSXETG00000030390,protein_coding
ENSXETG00000011942,protein_coding
ENSXETG00000031874,protein_coding
ENSXETG00000008672,protein_coding
ENSXETG00000017737,protein_coding
ENSXETG00000025463,protein_coding
ENSXETG00000020734,protein_coding
ENSXETG00000020598,protein_coding
ENSXETG00000030059,protein_coding
ENSXETG00000030206,protein_coding
ENSXETG00000006285,protein_coding
ENSXETG00000024263,protein_coding
ENSXETG00000026435,protein_coding
ENSXETG00000014235,protein_coding
ENSXETG00000032639,protein_coding
ENSXETG00000019268,protein_coding
ENSXETG00000031834,protein_coding
ENSXETG00000020735,protein_coding
ENSXETG00000011705,protein_coding
ENSXETG00000033404,protein_coding
ENSXETG00000020751,protein_coding
ENSXETG00000005239,protein_coding
ENSXETG00000019269,protein_coding
ENSXETG00000034184,protein_coding
