Ensembl Gene ID,Gene Biotype
ENSMMUG00000032626,protein_coding
ENSMMUG00000032625,protein_coding
ENSMMUG00000013401,protein_coding
ENSMMUG00000008349,protein_coding
ENSMMUG00000012640,protein_coding
ENSMMUG00000032624,protein_coding
ENSMMUG00000015398,protein_coding
ENSMMUG00000032623,protein_coding
ENSMMUG00000016916,protein_coding
ENSMMUG00000032622,protein_coding
ENSMMUG00000032621,protein_coding
ENSMMUG00000023212,protein_coding
ENSMMUG00000032620,protein_coding
ENSMMUG00000003389,protein_coding
ENSMMUG00000011352,protein_coding
ENSMMUG00000011351,protein_coding
ENSMMUG00000011350,protein_coding
ENSMMUG00000011349,protein_coding
ENSMMUG00000022298,protein_coding
ENSMMUG00000032619,protein_coding
ENSMMUG00000009185,protein_coding
ENSMMUG00000032617,protein_coding
ENSMMUG00000032616,protein_coding
ENSMMUG00000032615,protein_coding
ENSMMUG00000032614,protein_coding
ENSMMUG00000032613,protein_coding
ENSMMUG00000017901,protein_coding
ENSMMUG00000016925,protein_coding
ENSMMUG00000015141,protein_coding
ENSMMUG00000032612,protein_coding
ENSMMUG00000005406,protein_coding
ENSMMUG00000018453,protein_coding
ENSMMUG00000012628,protein_coding
ENSMMUG00000012630,protein_coding
ENSMMUG00000032611,protein_coding
ENSMMUG00000020159,protein_coding
ENSMMUG00000014605,protein_coding
ENSMMUG00000023660,protein_coding
ENSMMUG00000000420,protein_coding
ENSMMUG00000032610,protein_coding
ENSMMUG00000000749,protein_coding
ENSMMUG00000020620,protein_coding
ENSMMUG00000005206,protein_coding
ENSMMUG00000020932,protein_coding
ENSMMUG00000032609,protein_coding
ENSMMUG00000001552,protein_coding
ENSMMUG00000032608,protein_coding
ENSMMUG00000021193,protein_coding
ENSMMUG00000020015,protein_coding
ENSMMUG00000032607,protein_coding
ENSMMUG00000032606,protein_coding
ENSMMUG00000000594,protein_coding
ENSMMUG00000016712,protein_coding
ENSMMUG00000004310,protein_coding
ENSMMUG00000032605,protein_coding
ENSMMUG00000017500,protein_coding
ENSMMUG00000032603,protein_coding
ENSMMUG00000032601,protein_coding
ENSMMUG00000020961,protein_coding
ENSMMUG00000006149,protein_coding
ENSMMUG00000011167,protein_coding
ENSMMUG00000032600,protein_coding
ENSMMUG00000003886,protein_coding
ENSMMUG00000032599,protein_coding
ENSMMUG00000018873,protein_coding
ENSMMUG00000001696,protein_coding
ENSMMUG00000032598,protein_coding
ENSMMUG00000016593,protein_coding
ENSMMUG00000011792,protein_coding
ENSMMUG00000032597,protein_coding
ENSMMUG00000032596,protein_coding
ENSMMUG00000000509,protein_coding
ENSMMUG00000017044,protein_coding
ENSMMUG00000007264,protein_coding
ENSMMUG00000009104,protein_coding
ENSMMUG00000009103,protein_coding
ENSMMUG00000032594,protein_coding
ENSMMUG00000032593,protein_coding
ENSMMUG00000007323,protein_coding
ENSMMUG00000003153,protein_coding
ENSMMUG00000032592,protein_coding
ENSMMUG00000000547,protein_coding
ENSMMUG00000011869,protein_coding
ENSMMUG00000011972,protein_coding
ENSMMUG00000032591,protein_coding
ENSMMUG00000032590,protein_coding
ENSMMUG00000000120,protein_coding
ENSMMUG00000015119,protein_coding
ENSMMUG00000032589,protein_coding
ENSMMUG00000014712,protein_coding
ENSMMUG00000018593,protein_coding
ENSMMUG00000003804,protein_coding
ENSMMUG00000005947,protein_coding
ENSMMUG00000032586,protein_coding
ENSMMUG00000032585,protein_coding
ENSMMUG00000016871,protein_coding
ENSMMUG00000016873,protein_coding
ENSMMUG00000020967,protein_coding
ENSMMUG00000032584,protein_coding
ENSMMUG00000016502,protein_coding
ENSMMUG00000021882,protein_coding
ENSMMUG00000014772,protein_coding
ENSMMUG00000032583,protein_coding
ENSMMUG00000032582,protein_coding
ENSMMUG00000002343,protein_coding
ENSMMUG00000002081,protein_coding
ENSMMUG00000032581,protein_coding
ENSMMUG00000011960,protein_coding
ENSMMUG00000023348,protein_coding
ENSMMUG00000032580,protein_coding
ENSMMUG00000003765,protein_coding
ENSMMUG00000021319,protein_coding
ENSMMUG00000032579,protein_coding
ENSMMUG00000014322,protein_coding
ENSMMUG00000002734,protein_coding
ENSMMUG00000018056,protein_coding
ENSMMUG00000004069,protein_coding
ENSMMUG00000017058,protein_coding
ENSMMUG00000032577,protein_coding
ENSMMUG00000000271,protein_coding
ENSMMUG00000002502,protein_coding
ENSMMUG00000019677,protein_coding
ENSMMUG00000006678,protein_coding
ENSMMUG00000032576,protein_coding
ENSMMUG00000017270,protein_coding
ENSMMUG00000012980,protein_coding
ENSMMUG00000021683,protein_coding
ENSMMUG00000019685,protein_coding
ENSMMUG00000008227,protein_coding
