Ensembl.Gene.ID	Human.Paralog.Ensembl.Gene.ID	Paralogs.Number	Ancestor
ENSG00000230031	ENSG00000170160	3	Amniota
ENSG00000230031	ENSG00000266302	3	Amniota
ENSG00000230031	ENSG00000106013	3	Amniota
ENSG00000233917	ENSG00000170160	3	Amniota
ENSG00000233917	ENSG00000266302	3	Amniota
ENSG00000233917	ENSG00000106013	3	Amniota
ENSG00000166351	ENSG00000170160	3	Amniota
ENSG00000166351	ENSG00000266302	3	Amniota
ENSG00000166351	ENSG00000106013	3	Amniota
ENSG00000188992	ENSG00000163898	1	Amniota
ENSG00000182974	ENSG00000183706	7	Amniota
ENSG00000182974	ENSG00000184394	7	Amniota
ENSG00000182974	ENSG00000176294	7	Amniota
ENSG00000182974	ENSG00000171014	7	Amniota
ENSG00000182974	ENSG00000182652	7	Amniota
ENSG00000182974	ENSG00000221977	7	Amniota
ENSG00000182974	ENSG00000196383	7	Amniota
ENSG00000183706	ENSG00000182974	6	Amniota
ENSG00000183706	ENSG00000176299	6	Amniota
ENSG00000183706	ENSG00000171014	6	Amniota
ENSG00000183706	ENSG00000182652	6	Amniota
ENSG00000183706	ENSG00000221977	6	Amniota
ENSG00000183706	ENSG00000196383	6	Amniota
ENSG00000154646	ENSG00000187054	5	Amniota
ENSG00000154646	ENSG00000185873	5	Amniota
ENSG00000154646	ENSG00000153802	5	Amniota
ENSG00000154646	ENSG00000198092	5	Amniota
ENSG00000154646	ENSG00000087128	5	Amniota
ENSG00000183206	ENSG00000170160	3	Amniota
ENSG00000183206	ENSG00000266302	3	Amniota
ENSG00000183206	ENSG00000106013	3	Amniota
ENSG00000180777	ENSG00000170160	3	Amniota
ENSG00000180777	ENSG00000266302	3	Amniota
ENSG00000180777	ENSG00000106013	3	Amniota
ENSG00000128218	ENSG00000211672	10	Amniota
ENSG00000128218	ENSG00000211639	10	Amniota
ENSG00000128218	ENSG00000223350	10	Amniota
ENSG00000128218	ENSG00000211637	10	Amniota
ENSG00000128218	ENSG00000211647	10	Amniota
ENSG00000128218	ENSG00000211654	10	Amniota
ENSG00000128218	ENSG00000169575	10	Amniota
ENSG00000128218	ENSG00000211641	10	Amniota
ENSG00000128218	ENSG00000211650	10	Amniota
ENSG00000128218	ENSG00000211643	10	Amniota
ENSG00000165474	ENSG00000121742	1	Amniota
ENSG00000121742	ENSG00000165474	1	Amniota
ENSG00000215472	ENSG00000265681	1	Amniota
ENSG00000265681	ENSG00000215472	1	Amniota
ENSG00000237375	ENSG00000170160	3	Amniota
ENSG00000237375	ENSG00000266302	3	Amniota
ENSG00000237375	ENSG00000106013	3	Amniota
ENSG00000156282	ENSG00000156284	1	Amniota
ENSG00000156284	ENSG00000156282	1	Amniota
ENSG00000198062	ENSG00000170160	3	Amniota
ENSG00000198062	ENSG00000266302	3	Amniota
ENSG00000198062	ENSG00000106013	3	Amniota
ENSG00000179468	ENSG00000169214	1	Amniota
ENSG00000225781	ENSG00000169214	1	Amniota
ENSG00000236398	ENSG00000127364	7	Amniota
ENSG00000236398	ENSG00000169777	7	Amniota
ENSG00000236398	ENSG00000257138	7	Amniota
ENSG00000236398	ENSG00000221855	7	Amniota
ENSG00000236398	ENSG00000185899	7	Amniota
ENSG00000236398	ENSG00000127366	7	Amniota
ENSG00000236398	ENSG00000128519	7	Amniota
ENSG00000136697	ENSG00000136689	5	Amniota
ENSG00000136697	ENSG00000136688	5	Amniota
