Ensembl.Gene.ID	Paralog.Ensembl.Gene.ID	Ancestor
ENSG00000008128	ENSG00000248333	Homo sapiens
ENSG00000010404	ENSG00000241489	Homo sapiens
ENSG00000011052	ENSG00000243678	Homo sapiens
ENSG00000026036	ENSG00000258366	Homo sapiens
ENSG00000054219	ENSG00000248672	Homo sapiens
ENSG00000072444	ENSG00000188611	Homo sapiens
ENSG00000076053	ENSG00000255663	Homo sapiens
ENSG00000079974	ENSG00000144134	Homo sapiens
ENSG00000082196	ENSG00000273294	Homo sapiens
ENSG00000083454	ENSG00000257950	Homo sapiens
ENSG00000083842	ENSG00000273439	Homo sapiens
ENSG00000089505	ENSG00000254788	Homo sapiens
ENSG00000090097	ENSG00000272762	Homo sapiens
ENSG00000092098	ENSG00000259529	Homo sapiens
ENSG00000099984	ENSG00000133433	Homo sapiens
ENSG00000100288	ENSG00000254413	Homo sapiens
ENSG00000100890	ENSG00000258790	Homo sapiens
ENSG00000101307	ENSG00000260861	Homo sapiens
ENSG00000101448	ENSG00000249139	Homo sapiens
ENSG00000103150	ENSG00000260300	Homo sapiens
ENSG00000103426	ENSG00000262246	Homo sapiens
ENSG00000104205	ENSG00000270024	Homo sapiens
ENSG00000104880	ENSG00000268861	Homo sapiens
ENSG00000105085	ENSG00000141979	Homo sapiens
ENSG00000105136	ENSG00000268107	Homo sapiens
ENSG00000105388	ENSG00000267881	Homo sapiens
ENSG00000105501	ENSG00000268500	Homo sapiens
ENSG00000105647	ENSG00000268173	Homo sapiens
ENSG00000105723	ENSG00000268643	Homo sapiens
ENSG00000105808	ENSG00000170667	Homo sapiens
ENSG00000106246	ENSG00000248919	Homo sapiens
ENSG00000108433	ENSG00000262633	Homo sapiens
ENSG00000109321	ENSG00000205595	Homo sapiens
ENSG00000110801	ENSG00000256950	Homo sapiens
ENSG00000111850	ENSG00000226524	Homo sapiens
ENSG00000115239	ENSG00000270898	Homo sapiens
ENSG00000115561	ENSG00000249884	Homo sapiens
ENSG00000116783	ENSG00000259030	Homo sapiens
ENSG00000120586	ENSG00000183748	Homo sapiens
ENSG00000120669	ENSG00000250709	Homo sapiens
ENSG00000121335	ENSG00000251655	Homo sapiens
ENSG00000122136	ENSG00000171102	Homo sapiens
ENSG00000122390	ENSG00000262621	Homo sapiens
ENSG00000122674	ENSG00000146574	Homo sapiens
ENSG00000123584	ENSG00000166008	Homo sapiens
ENSG00000124208	ENSG00000240849	Homo sapiens
ENSG00000124529	ENSG00000198327	Homo sapiens
ENSG00000124802	ENSG00000265818	Homo sapiens
ENSG00000125551	ENSG00000183281	Homo sapiens
ENSG00000126251	ENSG00000185897	Homo sapiens
ENSG00000126860	ENSG00000265118	Homo sapiens
ENSG00000127540	ENSG00000267059	Homo sapiens
ENSG00000128253	ENSG00000128276	Homo sapiens
