Ensembl Gene ID,Opossum Ensembl Gene ID,Homology Type
ENSMUSG00000095309,,
ENSMUSG00000000126,ENSMODG00000013820,ortholog_one2one
ENSMUSG00000095268,,
ENSMUSG00000020063,ENSMODG00000017248,ortholog_one2one
ENSMUSG00000029623,ENSMODG00000001324,ortholog_one2one
ENSMUSG00000073944,,
ENSMUSG00000001555,ENSMODG00000014716,ortholog_one2one
ENSMUSG00000094221,,
ENSMUSG00000032855,ENSMODG00000016034,ortholog_one2one
ENSMUSG00000044292,ENSMODG00000024560,ortholog_many2many
ENSMUSG00000044292,ENSMODG00000012841,ortholog_many2many
ENSMUSG00000044292,ENSMODG00000012844,ortholog_many2many
ENSMUSG00000044292,ENSMODG00000012851,ortholog_many2many
ENSMUSG00000044292,ENSMODG00000012847,ortholog_many2many
ENSMUSG00000044292,ENSMODG00000024561,ortholog_many2many
ENSMUSG00000044292,ENSMODG00000024564,ortholog_many2many
ENSMUSG00000095264,ENSMODG00000013395,ortholog_one2many
ENSMUSG00000073945,ENSMODG00000011493,ortholog_many2many
ENSMUSG00000094385,,
ENSMUSG00000030245,ENSMODG00000017801,ortholog_one2one
ENSMUSG00000096540,,
ENSMUSG00000047352,ENSMODG00000012834,ortholog_many2many
ENSMUSG00000047352,ENSMODG00000012825,ortholog_many2many
ENSMUSG00000078954,ENSMODG00000010814,ortholog_one2one
ENSMUSG00000094001,,
ENSMUSG00000073946,,
ENSMUSG00000094115,ENSMODG00000013395,ortholog_one2many
ENSMUSG00000015468,ENSMODG00000014864,ortholog_one2one
ENSMUSG00000078984,,
ENSMUSG00000021273,ENSMODG00000012022,ortholog_one2one
ENSMUSG00000017670,ENSMODG00000013914,ortholog_one2one
ENSMUSG00000094680,,
ENSMUSG00000047544,ENSMODG00000011157,ortholog_one2many
ENSMUSG00000047544,ENSMODG00000011155,ortholog_one2many
ENSMUSG00000047544,ENSMODG00000011164,ortholog_one2many
ENSMUSG00000094727,,
ENSMUSG00000025816,ENSMODG00000016820,ortholog_one2one
ENSMUSG00000002129,ENSMODG00000009270,ortholog_one2one
ENSMUSG00000043331,ENSMODG00000012834,ortholog_many2many
ENSMUSG00000043331,ENSMODG00000012825,ortholog_many2many
ENSMUSG00000047714,ENSMODG00000019805,ortholog_one2many
ENSMUSG00000047714,ENSMODG00000004683,ortholog_one2many
ENSMUSG00000093986,,
ENSMUSG00000073947,ENSMODG00000011159,ortholog_one2one
ENSMUSG00000056296,ENSMODG00000002954,ortholog_one2one
ENSMUSG00000094211,ENSMODG00000020608,ortholog_many2many
ENSMUSG00000094211,ENSMODG00000023134,ortholog_many2many
ENSMUSG00000094211,ENSMODG00000016021,ortholog_many2many
ENSMUSG00000074754,,
ENSMUSG00000094010,,
ENSMUSG00000094361,,
ENSMUSG00000061024,ENSMODG00000024952,ortholog_one2one
ENSMUSG00000078624,ENSMODG00000011167,ortholog_one2one
ENSMUSG00000051493,ENSMODG00000029174,ortholog_one2many
ENSMUSG00000051493,ENSMODG00000024576,ortholog_one2many
ENSMUSG00000051493,ENSMODG00000024582,ortholog_one2many
ENSMUSG00000051493,ENSMODG00000024580,ortholog_one2many
ENSMUSG00000051493,ENSMODG00000003313,ortholog_one2many
ENSMUSG00000051493,ENSMODG00000024581,ortholog_one2many
ENSMUSG00000051493,ENSMODG00000024579,ortholog_one2many
ENSMUSG00000071104,ENSMODG00000004762,ortholog_one2one
ENSMUSG00000094589,,
ENSMUSG00000094119,ENSMODG00000011169,ortholog_many2many
ENSMUSG00000094119,ENSMODG00000022923,ortholog_many2many
ENSMUSG00000094119,ENSMODG00000011173,ortholog_many2many
ENSMUSG00000095833,,
ENSMUSG00000067855,,
ENSMUSG00000001119,ENSMODG00000016532,ortholog_one2one
ENSMUSG00000095390,ENSMODG00000024267,ortholog_one2many
ENSMUSG00000096737,,
ENSMUSG00000009900,ENSMODG00000013810,ortholog_one2one
ENSMUSG00000056718,,
ENSMUSG00000049606,ENSMODG00000012054,ortholog_one2one
ENSMUSG00000096584,ENSMODG00000011169,ortholog_many2many
ENSMUSG00000096584,ENSMODG00000022923,ortholog_many2many
