Ensembl Gene ID,Cow Ensembl Gene ID,Homology Type
ENSMUSG00000095309,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000095309,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000095309,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000095309,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000095309,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000095309,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000000126,ENSBTAG00000020267,ortholog_one2one
ENSMUSG00000095268,ENSBTAG00000016186,ortholog_one2many
ENSMUSG00000020063,ENSBTAG00000014023,ortholog_one2one
ENSMUSG00000029623,ENSBTAG00000044040,ortholog_one2one
ENSMUSG00000073944,ENSBTAG00000040339,ortholog_one2many
ENSMUSG00000001555,ENSBTAG00000011454,ortholog_one2one
ENSMUSG00000094221,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094221,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094221,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094221,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094221,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094221,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000032855,ENSBTAG00000020619,ortholog_one2one
ENSMUSG00000044292,ENSBTAG00000047090,ortholog_many2many
ENSMUSG00000044292,ENSBTAG00000047267,ortholog_many2many
ENSMUSG00000044292,ENSBTAG00000046459,ortholog_many2many
ENSMUSG00000044292,ENSBTAG00000048222,ortholog_many2many
ENSMUSG00000044292,ENSBTAG00000046745,ortholog_many2many
ENSMUSG00000044292,ENSBTAG00000048240,ortholog_many2many
ENSMUSG00000095264,ENSBTAG00000013260,ortholog_one2many
ENSMUSG00000073945,ENSBTAG00000040339,ortholog_one2many
ENSMUSG00000094385,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094385,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094385,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094385,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094385,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094385,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000030245,ENSBTAG00000000379,ortholog_one2one
ENSMUSG00000096540,ENSBTAG00000016186,ortholog_one2many
ENSMUSG00000047352,ENSBTAG00000047934,ortholog_many2many
ENSMUSG00000078954,ENSBTAG00000008858,ortholog_one2one
ENSMUSG00000094001,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094001,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094001,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094001,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094001,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094001,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000073946,ENSBTAG00000040339,ortholog_one2many
ENSMUSG00000094115,ENSBTAG00000013260,ortholog_one2many
ENSMUSG00000015468,ENSBTAG00000025424,ortholog_one2one
ENSMUSG00000078984,,
ENSMUSG00000021273,ENSBTAG00000012432,ortholog_one2one
ENSMUSG00000017670,ENSBTAG00000003639,ortholog_one2one
ENSMUSG00000094680,ENSBTAG00000038890,ortholog_many2many
ENSMUSG00000094680,ENSBTAG00000038416,ortholog_many2many
ENSMUSG00000094680,ENSBTAG00000040294,ortholog_many2many
ENSMUSG00000094680,ENSBTAG00000023349,ortholog_many2many
ENSMUSG00000094680,ENSBTAG00000030360,ortholog_many2many
ENSMUSG00000094680,ENSBTAG00000036215,ortholog_many2many
ENSMUSG00000047544,,
ENSMUSG00000094727,ENSBTAG00000016186,ortholog_one2many
ENSMUSG00000025816,ENSBTAG00000019508,ortholog_one2one
ENSMUSG00000002129,ENSBTAG00000003390,ortholog_one2one
