Ensembl Gene ID,Gene Biotype
ENSGGOG00000026262,protein_coding
ENSGGOG00000027893,protein_coding
ENSGGOG00000009486,protein_coding
ENSGGOG00000023986,protein_coding
ENSGGOG00000025775,protein_coding
ENSGGOG00000022293,protein_coding
ENSGGOG00000027653,protein_coding
ENSGGOG00000027804,protein_coding
ENSGGOG00000023282,protein_coding
ENSGGOG00000013094,protein_coding
ENSGGOG00000012194,protein_coding
ENSGGOG00000028583,protein_coding
ENSGGOG00000027005,protein_coding
ENSGGOG00000023779,protein_coding
ENSGGOG00000028121,protein_coding
ENSGGOG00000023233,protein_coding
ENSGGOG00000026005,protein_coding
ENSGGOG00000001305,protein_coding
ENSGGOG00000023866,protein_coding
ENSGGOG00000026410,protein_coding
ENSGGOG00000022055,protein_coding
ENSGGOG00000000052,protein_coding
ENSGGOG00000026663,protein_coding
ENSGGOG00000025745,protein_coding
ENSGGOG00000005680,protein_coding
ENSGGOG00000022327,protein_coding
ENSGGOG00000009969,protein_coding
ENSGGOG00000002291,protein_coding
ENSGGOG00000022771,protein_coding
ENSGGOG00000023040,protein_coding
ENSGGOG00000023889,protein_coding
ENSGGOG00000023628,protein_coding
ENSGGOG00000010021,protein_coding
ENSGGOG00000024019,protein_coding
ENSGGOG00000010600,protein_coding
ENSGGOG00000006560,protein_coding
ENSGGOG00000013541,protein_coding
ENSGGOG00000004227,protein_coding
ENSGGOG00000001922,protein_coding
ENSGGOG00000027910,protein_coding
ENSGGOG00000024350,protein_coding
ENSGGOG00000012977,protein_coding
ENSGGOG00000010748,protein_coding
ENSGGOG00000023122,protein_coding
ENSGGOG00000008684,protein_coding
ENSGGOG00000003214,protein_coding
ENSGGOG00000002017,protein_coding
ENSGGOG00000027094,protein_coding
ENSGGOG00000003839,protein_coding
ENSGGOG00000000247,protein_coding
ENSGGOG00000013412,protein_coding
ENSGGOG00000024115,protein_coding
ENSGGOG00000009907,protein_coding
ENSGGOG00000025049,protein_coding
ENSGGOG00000023747,protein_coding
ENSGGOG00000007560,protein_coding
ENSGGOG00000003752,protein_coding
ENSGGOG00000027719,protein_coding
ENSGGOG00000028529,protein_coding
ENSGGOG00000026041,protein_coding
ENSGGOG00000010369,protein_coding
ENSGGOG00000006464,protein_coding
ENSGGOG00000006566,protein_coding
ENSGGOG00000027049,protein_coding
ENSGGOG00000005030,protein_coding
ENSGGOG00000025614,protein_coding
ENSGGOG00000010080,protein_coding
ENSGGOG00000004029,protein_coding
ENSGGOG00000000720,protein_coding
ENSGGOG00000015011,protein_coding
ENSGGOG00000004849,protein_coding
ENSGGOG00000022513,protein_coding
ENSGGOG00000023229,protein_coding
ENSGGOG00000027052,protein_coding
ENSGGOG00000024200,protein_coding
ENSGGOG00000027513,protein_coding
ENSGGOG00000023163,protein_coding
ENSGGOG00000027224,protein_coding
ENSGGOG00000023802,protein_coding
ENSGGOG00000024978,protein_coding
ENSGGOG00000023191,protein_coding
ENSGGOG00000028309,protein_coding
ENSGGOG00000025976,protein_coding
ENSGGOG00000008985,protein_coding
ENSGGOG00000008066,protein_coding
ENSGGOG00000003934,protein_coding
ENSGGOG00000027008,protein_coding
ENSGGOG00000023130,protein_coding
ENSGGOG00000026823,protein_coding
ENSGGOG00000002363,protein_coding
ENSGGOG00000008587,protein_coding
ENSGGOG00000007706,protein_coding
ENSGGOG00000026808,protein_coding
ENSGGOG00000026720,protein_coding
ENSGGOG00000023195,protein_coding
ENSGGOG00000023483,protein_coding
ENSGGOG00000006159,protein_coding
ENSGGOG00000028272,protein_coding
ENSGGOG00000025805,protein_coding
ENSGGOG00000028260,protein_coding
ENSGGOG00000027536,protein_coding
ENSGGOG00000024660,protein_coding
ENSGGOG00000026261,protein_coding
ENSGGOG00000023583,protein_coding
ENSGGOG00000024057,protein_coding
ENSGGOG00000026794,protein_coding
ENSGGOG00000002340,protein_coding
ENSGGOG00000027730,protein_coding
ENSGGOG00000006116,protein_coding
ENSGGOG00000014428,protein_coding
ENSGGOG00000025651,protein_coding
ENSGGOG00000027010,protein_coding
ENSGGOG00000024315,protein_coding
ENSGGOG00000016094,protein_coding
ENSGGOG00000022407,protein_coding
ENSGGOG00000025778,protein_coding
ENSGGOG00000023141,protein_coding
ENSGGOG00000005185,protein_coding
ENSGGOG00000028018,protein_coding
ENSGGOG00000027785,protein_coding
ENSGGOG00000022572,protein_coding
ENSGGOG00000016327,protein_coding
ENSGGOG00000023005,protein_coding
ENSGGOG00000011794,protein_coding
ENSGGOG00000023773,protein_coding
ENSGGOG00000014762,protein_coding
ENSGGOG00000002702,protein_coding
ENSGGOG00000022868,protein_coding
ENSGGOG00000026391,protein_coding
ENSGGOG00000014359,protein_coding
ENSGGOG00000028166,protein_coding
ENSGGOG00000025700,protein_coding
ENSGGOG00000027649,protein_coding
ENSGGOG00000023415,protein_coding
ENSGGOG00000025253,protein_coding
ENSGGOG00000012044,protein_coding
ENSGGOG00000024194,protein_coding
ENSGGOG00000002506,protein_coding
ENSGGOG00000024783,protein_coding
ENSGGOG00000025602,protein_coding
ENSGGOG00000025806,protein_coding
ENSGGOG00000006645,protein_coding
ENSGGOG00000000849,protein_coding
ENSGGOG00000013031,protein_coding
ENSGGOG00000010451,protein_coding
ENSGGOG00000028288,protein_coding
ENSGGOG00000006710,protein_coding
ENSGGOG00000006703,protein_coding
ENSGGOG00000023290,protein_coding
ENSGGOG00000004805,protein_coding
ENSGGOG00000007966,protein_coding
ENSGGOG00000028585,protein_coding
ENSGGOG00000027984,protein_coding
ENSGGOG00000027378,protein_coding
ENSGGOG00000025613,protein_coding
ENSGGOG00000026726,protein_coding
ENSGGOG00000022623,protein_coding
ENSGGOG00000025668,protein_coding
ENSGGOG00000028563,protein_coding
ENSGGOG00000022555,protein_coding
ENSGGOG00000024743,protein_coding
ENSGGOG00000022427,protein_coding
ENSGGOG00000028282,protein_coding
ENSGGOG00000023952,protein_coding
ENSGGOG00000023837,protein_coding
ENSGGOG00000027931,protein_coding
ENSGGOG00000028522,protein_coding
ENSGGOG00000022346,protein_coding
ENSGGOG00000026675,protein_coding
ENSGGOG00000022938,protein_coding
ENSGGOG00000000641,protein_coding
ENSGGOG00000025199,protein_coding
ENSGGOG00000024293,protein_coding
ENSGGOG00000007454,protein_coding
ENSGGOG00000027906,protein_coding
ENSGGOG00000022911,protein_coding
ENSGGOG00000016003,protein_coding
ENSGGOG00000011132,protein_coding
ENSGGOG00000022252,protein_coding
ENSGGOG00000022170,protein_coding
ENSGGOG00000009331,protein_coding
ENSGGOG00000026025,protein_coding
ENSGGOG00000023296,protein_coding
ENSGGOG00000022578,protein_coding
ENSGGOG00000022441,protein_coding
ENSGGOG00000002214,protein_coding
ENSGGOG00000024719,protein_coding
ENSGGOG00000027476,protein_coding
ENSGGOG00000025722,protein_coding
ENSGGOG00000013318,protein_coding
ENSGGOG00000010829,protein_coding
ENSGGOG00000028215,protein_coding
ENSGGOG00000028594,protein_coding
ENSGGOG00000023453,protein_coding
ENSGGOG00000023012,protein_coding
ENSGGOG00000007127,protein_coding
ENSGGOG00000026046,protein_coding
ENSGGOG00000012913,protein_coding
ENSGGOG00000027363,protein_coding
ENSGGOG00000025022,protein_coding
ENSGGOG00000009153,protein_coding
ENSGGOG00000025340,protein_coding
ENSGGOG00000005874,protein_coding
ENSGGOG00000016192,protein_coding
ENSGGOG00000015834,protein_coding
ENSGGOG00000024071,protein_coding
ENSGGOG00000012526,protein_coding
ENSGGOG00000025858,protein_coding
ENSGGOG00000010526,protein_coding
ENSGGOG00000024882,protein_coding
ENSGGOG00000025093,protein_coding
ENSGGOG00000014070,protein_coding
ENSGGOG00000005282,protein_coding
