Ensembl Gene ID,Gene Biotype
ENSOANG00000031802,protein_coding
ENSOANG00000014228,protein_coding
ENSOANG00000009938,protein_coding
ENSOANG00000004576,protein_coding
ENSOANG00000011572,protein_coding
ENSOANG00000011571,protein_coding
ENSOANG00000011570,protein_coding
ENSOANG00000011569,protein_coding
ENSOANG00000011568,protein_coding
ENSOANG00000011567,protein_coding
ENSOANG00000011566,protein_coding
ENSOANG00000020393,protein_coding
ENSOANG00000011041,protein_coding
ENSOANG00000011565,protein_coding
ENSOANG00000011564,protein_coding
ENSOANG00000029060,protein_coding
ENSOANG00000011563,protein_coding
ENSOANG00000014381,protein_coding
ENSOANG00000014382,protein_coding
ENSOANG00000011115,protein_coding
ENSOANG00000014383,protein_coding
ENSOANG00000001695,protein_coding
ENSOANG00000011116,protein_coding
ENSOANG00000014384,protein_coding
ENSOANG00000014385,protein_coding
ENSOANG00000030544,protein_coding
ENSOANG00000003406,protein_coding
ENSOANG00000014845,protein_coding
ENSOANG00000010216,protein_coding
ENSOANG00000029583,protein_coding
ENSOANG00000008762,protein_coding
ENSOANG00000028314,protein_coding
ENSOANG00000022623,protein_coding
ENSOANG00000015203,protein_coding
ENSOANG00000000738,protein_coding
ENSOANG00000030670,protein_coding
ENSOANG00000008903,protein_coding
ENSOANG00000008904,protein_coding
ENSOANG00000020250,protein_coding
ENSOANG00000001994,protein_coding
ENSOANG00000001995,protein_coding
ENSOANG00000001996,protein_coding
ENSOANG00000001997,protein_coding
ENSOANG00000020984,protein_coding
ENSOANG00000001998,protein_coding
ENSOANG00000002000,protein_coding
ENSOANG00000012886,protein_coding
ENSOANG00000006844,protein_coding
ENSOANG00000021431,protein_coding
ENSOANG00000031471,protein_coding
ENSOANG00000007865,protein_coding
ENSOANG00000031768,protein_coding
ENSOANG00000007864,protein_coding
ENSOANG00000031037,protein_coding
ENSOANG00000007863,protein_coding
ENSOANG00000007875,protein_coding
ENSOANG00000029476,protein_coding
ENSOANG00000031605,protein_coding
ENSOANG00000020982,protein_coding
ENSOANG00000031068,protein_coding
ENSOANG00000007777,protein_coding
ENSOANG00000007778,protein_coding
ENSOANG00000008852,protein_coding
ENSOANG00000021294,protein_coding
ENSOANG00000013258,protein_coding
ENSOANG00000030007,protein_coding
ENSOANG00000028359,protein_coding
ENSOANG00000013863,protein_coding
ENSOANG00000013862,protein_coding
ENSOANG00000007779,protein_coding
ENSOANG00000007780,protein_coding
ENSOANG00000007781,protein_coding
ENSOANG00000007782,protein_coding
ENSOANG00000022065,protein_coding
ENSOANG00000020000,protein_coding
ENSOANG00000006539,protein_coding
ENSOANG00000006540,protein_coding
ENSOANG00000005598,protein_coding
ENSOANG00000021620,protein_coding
ENSOANG00000002566,protein_coding
ENSOANG00000007236,protein_coding
ENSOANG00000007233,protein_coding
ENSOANG00000012545,protein_coding
ENSOANG00000010725,protein_coding
ENSOANG00000030873,protein_coding
ENSOANG00000021898,protein_coding
ENSOANG00000030632,protein_coding
ENSOANG00000031300,protein_coding
ENSOANG00000005306,protein_coding
ENSOANG00000011051,protein_coding
ENSOANG00000032200,protein_coding
ENSOANG00000022717,protein_coding
ENSOANG00000012721,protein_coding
ENSOANG00000031892,protein_coding
ENSOANG00000021796,protein_coding
ENSOANG00000014889,protein_coding
ENSOANG00000012972,protein_coding
ENSOANG00000007306,protein_coding
ENSOANG00000005309,protein_coding
ENSOANG00000003797,protein_coding
ENSOANG00000011077,protein_coding
ENSOANG00000029933,protein_coding
ENSOANG00000028287,protein_coding
ENSOANG00000032305,protein_coding
ENSOANG00000002993,protein_coding
ENSOANG00000028962,protein_coding
ENSOANG00000011218,protein_coding
ENSOANG00000030233,protein_coding
ENSOANG00000022146,protein_coding
ENSOANG00000020554,protein_coding
ENSOANG00000003040,protein_coding
ENSOANG00000011892,protein_coding
ENSOANG00000030174,protein_coding
ENSOANG00000011994,protein_coding
ENSOANG00000013890,protein_coding
ENSOANG00000012541,protein_coding
ENSOANG00000021600,protein_coding
ENSOANG00000006251,protein_coding
ENSOANG00000019806,protein_coding
ENSOANG00000006252,protein_coding
ENSOANG00000006253,protein_coding
ENSOANG00000010304,protein_coding
ENSOANG00000008670,protein_coding
ENSOANG00000028773,protein_coding
ENSOANG00000011883,protein_coding
ENSOANG00000006347,protein_coding
ENSOANG00000013077,protein_coding
ENSOANG00000028376,protein_coding
ENSOANG00000028520,protein_coding
ENSOANG00000021031,protein_coding
ENSOANG00000001880,protein_coding
ENSOANG00000030413,protein_coding
ENSOANG00000007055,protein_coding
ENSOANG00000009436,protein_coding
ENSOANG00000028316,protein_coding
ENSOANG00000009437,protein_coding
ENSOANG00000004429,protein_coding
ENSOANG00000020974,protein_coding
ENSOANG00000008980,protein_coding
ENSOANG00000004430,protein_coding
ENSOANG00000009234,protein_coding
ENSOANG00000006551,protein_coding
ENSOANG00000032124,protein_coding
ENSOANG00000004168,protein_coding
ENSOANG00000008849,protein_coding
ENSOANG00000014816,protein_coding
ENSOANG00000029076,protein_coding
ENSOANG00000009988,protein_coding
ENSOANG00000006320,protein_coding
ENSOANG00000014817,protein_coding
ENSOANG00000019814,protein_coding
ENSOANG00000006322,protein_coding
ENSOANG00000005638,protein_coding
ENSOANG00000002820,protein_coding
ENSOANG00000007123,protein_coding
ENSOANG00000002679,protein_coding
ENSOANG00000009785,protein_coding
ENSOANG00000000973,protein_coding
ENSOANG00000029122,protein_coding
ENSOANG00000008255,protein_coding
ENSOANG00000028703,protein_coding
ENSOANG00000003979,protein_coding
ENSOANG00000003397,protein_coding
ENSOANG00000006983,protein_coding
ENSOANG00000032075,protein_coding
ENSOANG00000014661,protein_coding
ENSOANG00000006705,protein_coding
ENSOANG00000020696,protein_coding
ENSOANG00000009701,protein_coding
ENSOANG00000006623,protein_coding
ENSOANG00000015367,protein_coding
ENSOANG00000015376,protein_coding
ENSOANG00000015377,protein_coding
ENSOANG00000012858,protein_coding
ENSOANG00000012859,protein_coding
ENSOANG00000031098,protein_coding
ENSOANG00000012684,protein_coding
ENSOANG00000029912,protein_coding
ENSOANG00000022537,protein_coding
ENSOANG00000028816,protein_coding
ENSOANG00000001520,protein_coding
ENSOANG00000021048,protein_coding
ENSOANG00000019992,protein_coding
ENSOANG00000021578,protein_coding
ENSOANG00000004847,protein_coding
ENSOANG00000002140,protein_coding
ENSOANG00000008950,protein_coding
ENSOANG00000021140,protein_coding
ENSOANG00000011390,protein_coding
ENSOANG00000030399,protein_coding
ENSOANG00000011391,protein_coding
ENSOANG00000003634,protein_coding
ENSOANG00000028791,protein_coding
ENSOANG00000004820,protein_coding
ENSOANG00000004842,protein_coding
ENSOANG00000028420,protein_coding
ENSOANG00000000619,protein_coding
ENSOANG00000005720,protein_coding
ENSOANG00000010664,protein_coding
ENSOANG00000012203,protein_coding
ENSOANG00000020777,protein_coding
ENSOANG00000029596,protein_coding
ENSOANG00000010774,protein_coding
ENSOANG00000022068,protein_coding
ENSOANG00000014811,protein_coding
ENSOANG00000013958,protein_coding
ENSOANG00000013957,protein_coding
ENSOANG00000010280,protein_coding
ENSOANG00000029908,protein_coding
ENSOANG00000029210,protein_coding
ENSOANG00000008152,protein_coding
ENSOANG00000006693,protein_coding
ENSOANG00000021237,protein_coding
ENSOANG00000007150,protein_coding
ENSOANG00000031350,protein_coding
ENSOANG00000032191,protein_coding
ENSOANG00000014603,protein_coding
ENSOANG00000012014,protein_coding
ENSOANG00000032049,protein_coding
ENSOANG00000009741,protein_coding
ENSOANG00000009742,protein_coding
ENSOANG00000010393,protein_coding
ENSOANG00000012528,protein_coding
ENSOANG00000010666,protein_coding
ENSOANG00000028633,protein_coding
ENSOANG00000010668,protein_coding
ENSOANG00000007052,protein_coding
ENSOANG00000029613,protein_coding
ENSOANG00000020405,protein_coding
ENSOANG00000022026,protein_coding
ENSOANG00000006583,protein_coding
ENSOANG00000009453,protein_coding
ENSOANG00000021566,protein_coding
