Ensembl Gene ID,Chromosome Name
ENSMMUG00000032574,18
ENSMMUG00000016681,18
ENSMMUG00000016679,18
ENSMMUG00000003485,18
ENSMMUG00000011961,18
ENSMMUG00000004032,18
ENSMMUG00000002512,18
ENSMMUG00000006800,18
ENSMMUG00000021992,18
ENSMMUG00000021855,18
ENSMMUG00000021853,18
ENSMMUG00000023284,18
ENSMMUG00000023281,18
ENSMMUG00000021125,18
ENSMMUG00000032572,18
ENSMMUG00000021126,18
ENSMMUG00000014935,18
ENSMMUG00000023726,18
ENSMMUG00000004221,18
ENSMMUG00000019059,18
ENSMMUG00000019061,18
ENSMMUG00000019062,18
ENSMMUG00000032571,18
ENSMMUG00000011466,18
ENSMMUG00000011467,18
ENSMMUG00000023179,18
ENSMMUG00000010471,18
ENSMMUG00000000682,18
ENSMMUG00000011772,18
ENSMMUG00000015014,18
ENSMMUG00000015013,18
ENSMMUG00000005692,18
ENSMMUG00000000551,18
ENSMMUG00000019525,18
ENSMMUG00000019521,18
ENSMMUG00000010726,18
ENSMMUG00000022097,18
ENSMMUG00000022095,18
ENSMMUG00000022130,18
ENSMMUG00000015761,18
ENSMMUG00000032568,18
ENSMMUG00000003993,18
ENSMMUG00000000768,18
ENSMMUG00000000890,18
ENSMMUG00000011408,18
ENSMMUG00000011404,18
ENSMMUG00000014506,18
ENSMMUG00000000212,18
ENSMMUG00000016302,18
ENSMMUG00000032565,18
ENSMMUG00000021463,18
ENSMMUG00000019418,18
ENSMMUG00000022005,18
ENSMMUG00000001471,18
ENSMMUG00000005086,18
ENSMMUG00000013752,18
ENSMMUG00000019893,18
ENSMMUG00000019892,18
ENSMMUG00000017548,18
ENSMMUG00000017546,18
ENSMMUG00000005461,18
ENSMMUG00000005175,18
ENSMMUG00000018952,18
ENSMMUG00000018950,18
ENSMMUG00000013904,18
ENSMMUG00000021265,18
ENSMMUG00000016216,18
ENSMMUG00000004054,18
ENSMMUG00000004051,18
ENSMMUG00000004046,18
ENSMMUG00000004045,18
ENSMMUG00000012130,18
ENSMMUG00000004663,18
ENSMMUG00000004662,18
ENSMMUG00000004660,18
ENSMMUG00000004656,18
ENSMMUG00000004658,18
ENSMMUG00000003974,18
ENSMMUG00000009164,18
ENSMMUG00000008305,18
ENSMMUG00000012987,18
ENSMMUG00000003992,18
ENSMMUG00000004382,18
ENSMMUG00000007695,18
ENSMMUG00000010227,18
ENSMMUG00000032561,18
ENSMMUG00000010944,18
ENSMMUG00000001477,18
ENSMMUG00000009669,18
ENSMMUG00000012715,18
ENSMMUG00000005125,18
ENSMMUG00000032559,18
ENSMMUG00000032558,18
ENSMMUG00000021478,18
ENSMMUG00000021480,18
ENSMMUG00000021484,18
ENSMMUG00000020328,18
ENSMMUG00000004321,18
ENSMMUG00000004343,18
ENSMMUG00000004346,18
ENSMMUG00000004350,18
ENSMMUG00000032557,18
ENSMMUG00000004664,18
ENSMMUG00000015065,18
ENSMMUG00000032556,18
ENSMMUG00000000207,18
ENSMMUG00000008600,18
ENSMMUG00000018059,18
ENSMMUG00000018066,18
ENSMMUG00000016190,18
ENSMMUG00000004595,18
ENSMMUG00000014934,18
ENSMMUG00000011801,18
ENSMMUG00000032555,18
ENSMMUG00000008614,18
ENSMMUG00000015178,18
ENSMMUG00000032554,18
ENSMMUG00000032553,18
ENSMMUG00000007668,18
ENSMMUG00000011687,18
ENSMMUG00000011690,18
ENSMMUG00000022703,18
ENSMMUG00000022704,18
ENSMMUG00000021094,18
ENSMMUG00000021095,18
ENSMMUG00000016673,18
ENSMMUG00000016674,18
ENSMMUG00000006733,18
ENSMMUG00000018006,18
ENSMMUG00000032550,18
ENSMMUG00000016707,18
ENSMMUG00000012849,18
ENSMMUG00000023019,18
ENSMMUG00000023020,18
ENSMMUG00000008190,18
ENSMMUG00000004328,18
ENSMMUG00000014451,18
ENSMMUG00000017276,18
ENSMMUG00000003302,18
ENSMMUG00000017662,18
ENSMMUG00000032547,18
ENSMMUG00000020530,18
ENSMMUG00000020529,18
ENSMMUG00000009320,18
ENSMMUG00000009322,18
ENSMMUG00000020108,18
ENSMMUG00000000457,18
ENSMMUG00000018782,18
ENSMMUG00000018777,18
ENSMMUG00000018784,18
ENSMMUG00000018785,18
ENSMMUG00000018791,18
ENSMMUG00000006862,18
ENSMMUG00000006863,18
ENSMMUG00000006864,18
ENSMMUG00000006866,18
ENSMMUG00000032541,18
ENSMMUG00000023561,18
ENSMMUG00000032540,18
ENSMMUG00000014553,18
ENSMMUG00000012475,18
ENSMMUG00000017016,18
ENSMMUG00000032539,18
ENSMMUG00000008503,18
ENSMMUG00000004997,18
ENSMMUG00000004010,18
ENSMMUG00000011037,18
ENSMMUG00000003561,18
ENSMMUG00000003562,18
ENSMMUG00000003566,18
ENSMMUG00000032537,18
ENSMMUG00000003570,18
ENSMMUG00000003124,18
ENSMMUG00000011473,18
ENSMMUG00000017243,18
ENSMMUG00000017246,18
ENSMMUG00000002742,18
ENSMMUG00000004498,18
ENSMMUG00000015952,18
ENSMMUG00000015951,18
ENSMMUG00000010999,18
ENSMMUG00000018480,18
ENSMMUG00000007816,18
ENSMMUG00000032529,18
ENSMMUG00000032528,18
ENSMMUG00000015704,18
ENSMMUG00000020898,18
ENSMMUG00000012770,18
ENSMMUG00000001760,18
ENSMMUG00000018837,18
ENSMMUG00000018839,18
ENSMMUG00000019054,18
ENSMMUG00000003040,18
ENSMMUG00000003041,18
