Ensembl Gene ID,Macaca Ensembl Gene ID,Homology Type
ENSMUSG00000095309,,
ENSMUSG00000000126,ENSMMUG00000008338,ortholog_one2one
ENSMUSG00000095268,,
ENSMUSG00000020063,ENSMMUG00000030531,ortholog_one2one
ENSMUSG00000029623,ENSMMUG00000001460,ortholog_one2one
ENSMUSG00000073944,,
ENSMUSG00000001555,ENSMMUG00000013054,ortholog_one2one
ENSMUSG00000094221,,
ENSMUSG00000032855,ENSMMUG00000029264,ortholog_one2many
ENSMUSG00000032855,ENSMMUG00000030658,ortholog_one2many
ENSMUSG00000032855,ENSMMUG00000002835,ortholog_one2many
ENSMUSG00000032855,ENSMMUG00000029263,ortholog_one2many
ENSMUSG00000044292,ENSMMUG00000014179,ortholog_many2many
ENSMUSG00000044292,ENSMMUG00000014180,ortholog_many2many
ENSMUSG00000044292,ENSMMUG00000014178,ortholog_many2many
ENSMUSG00000095264,ENSMMUG00000016045,ortholog_one2many
ENSMUSG00000073945,ENSMMUG00000013488,ortholog_one2many
ENSMUSG00000094385,,
ENSMUSG00000030245,ENSMMUG00000010859,ortholog_one2one
ENSMUSG00000096540,,
ENSMUSG00000047352,,
ENSMUSG00000078954,ENSMMUG00000031000,ortholog_one2one
ENSMUSG00000094001,,
ENSMUSG00000073946,,
ENSMUSG00000094115,ENSMMUG00000016045,ortholog_one2many
ENSMUSG00000015468,ENSMMUG00000018461,ortholog_one2one
ENSMUSG00000078984,,
ENSMUSG00000021273,ENSMMUG00000019211,ortholog_one2one
ENSMUSG00000017670,ENSMMUG00000015064,ortholog_one2one
ENSMUSG00000094680,,
ENSMUSG00000047544,,
ENSMUSG00000094727,,
ENSMUSG00000025816,ENSMMUG00000017139,ortholog_one2one
ENSMUSG00000002129,ENSMMUG00000005547,ortholog_one2one
ENSMUSG00000043331,,
ENSMUSG00000047714,ENSMMUG00000001804,ortholog_one2many
ENSMUSG00000047714,ENSMMUG00000011306,ortholog_one2many
ENSMUSG00000047714,ENSMMUG00000019396,ortholog_one2many
ENSMUSG00000093986,,
ENSMUSG00000073947,,
ENSMUSG00000056296,ENSMMUG00000023718,ortholog_one2one
ENSMUSG00000094211,,
ENSMUSG00000074754,ENSMMUG00000031145,ortholog_one2one
ENSMUSG00000094010,,
ENSMUSG00000094361,,
ENSMUSG00000061024,ENSMMUG00000000886,ortholog_one2one
ENSMUSG00000078624,,
ENSMUSG00000051493,,
ENSMUSG00000071104,ENSMMUG00000000359,ortholog_one2one
ENSMUSG00000094589,,
ENSMUSG00000094119,,
ENSMUSG00000095833,,
ENSMUSG00000067855,,
ENSMUSG00000001119,ENSMMUG00000000544,ortholog_one2one
ENSMUSG00000095390,,
ENSMUSG00000096737,,
ENSMUSG00000009900,ENSMMUG00000004904,ortholog_one2one
ENSMUSG00000056718,,
ENSMUSG00000049606,ENSMMUG00000007635,ortholog_one2one
ENSMUSG00000096584,,
ENSMUSG00000041710,ENSMMUG00000010424,ortholog_one2one
ENSMUSG00000020747,ENSMMUG00000022120,ortholog_one2one
ENSMUSG00000051729,,
ENSMUSG00000095973,,
ENSMUSG00000025579,ENSMMUG00000009589,ortholog_one2one
ENSMUSG00000094449,,
ENSMUSG00000045584,,
ENSMUSG00000032413,ENSMMUG00000009418,ortholog_one2one
ENSMUSG00000021939,ENSMMUG00000019212,ortholog_one2many
ENSMUSG00000021939,ENSMMUG00000016425,ortholog_one2many
ENSMUSG00000041134,ENSMMUG00000012107,ortholog_one2one
ENSMUSG00000046396,ENSMMUG00000001068,ortholog_one2many
ENSMUSG00000091435,,
ENSMUSG00000028738,ENSMMUG00000002981,ortholog_one2one
ENSMUSG00000043461,ENSMMUG00000009565,ortholog_one2one
ENSMUSG00000039982,ENSMMUG00000010277,ortholog_one2one
ENSMUSG00000093934,,
ENSMUSG00000031636,ENSMMUG00000015407,ortholog_one2one
ENSMUSG00000031864,ENSMMUG00000011774,ortholog_one2one
ENSMUSG00000073948,ENSMMUG00000002773,ortholog_many2many
ENSMUSG00000073948,ENSMMUG00000002486,ortholog_many2many
ENSMUSG00000094085,,
ENSMUSG00000027364,ENSMMUG00000008574,ortholog_one2one
ENSMUSG00000034832,ENSMMUG00000020551,ortholog_one2one
ENSMUSG00000042402,,
ENSMUSG00000095774,,
ENSMUSG00000091638,,
ENSMUSG00000094601,ENSMMUG00000016045,ortholog_one2many
ENSMUSG00000046805,ENSMMUG00000010278,ortholog_one2many
ENSMUSG00000073949,ENSMMUG00000001067,ortholog_many2many
ENSMUSG00000094309,,
ENSMUSG00000024151,ENSMMUG00000000974,ortholog_one2one
ENSMUSG00000025909,ENSMMUG00000002811,ortholog_one2one
ENSMUSG00000048285,ENSMMUG00000018274,ortholog_one2one
ENSMUSG00000058079,ENSMMUG00000010889,ortholog_one2many
ENSMUSG00000006931,ENSMMUG00000013051,ortholog_one2one
ENSMUSG00000094254,,
ENSMUSG00000040065,ENSMMUG00000010278,ortholog_one2many
ENSMUSG00000094284,,
ENSMUSG00000051427,ENSMMUG00000017089,ortholog_one2one
ENSMUSG00000058976,ENSMMUG00000029040,ortholog_many2many
ENSMUSG00000058976,ENSMMUG00000032404,ortholog_many2many
ENSMUSG00000024027,ENSMMUG00000023387,ortholog_one2one
ENSMUSG00000072066,,
ENSMUSG00000095190,,
ENSMUSG00000058762,ENSMMUG00000019858,ortholog_many2many
ENSMUSG00000095903,,
ENSMUSG00000050815,ENSMMUG00000014116,ortholog_many2many
ENSMUSG00000028329,ENSMMUG00000012282,ortholog_one2one
ENSMUSG00000083780,ENSMMUG00000009999,ortholog_one2many
ENSMUSG00000083780,ENSMMUG00000030971,ortholog_one2many
ENSMUSG00000083780,ENSMMUG00000031205,ortholog_one2many
ENSMUSG00000083780,ENSMMUG00000007172,ortholog_one2many
ENSMUSG00000083780,ENSMMUG00000032329,ortholog_one2many
ENSMUSG00000074865,ENSMMUG00000020542,ortholog_one2many
ENSMUSG00000028737,ENSMMUG00000004751,ortholog_one2one
ENSMUSG00000095768,,
ENSMUSG00000046650,ENSMMUG00000031097,ortholog_one2one
ENSMUSG00000040963,,
ENSMUSG00000021342,ENSMMUG00000020646,ortholog_one2many
ENSMUSG00000055820,,
ENSMUSG00000095275,,
ENSMUSG00000096436,ENSMMUG00000014118,ortholog_one2many
ENSMUSG00000059874,ENSMMUG00000030980,ortholog_one2many
ENSMUSG00000037816,,
ENSMUSG00000055228,,
ENSMUSG00000045160,ENSMMUG00000015207,ortholog_one2one
ENSMUSG00000061200,ENSMMUG00000010889,ortholog_one2many
ENSMUSG00000067513,ENSMMUG00000014118,ortholog_one2many
ENSMUSG00000094353,,
ENSMUSG00000094942,ENSMMUG00000020542,ortholog_one2many
ENSMUSG00000079657,ENSMMUG00000002843,ortholog_one2one
ENSMUSG00000025453,ENSMMUG00000011734,ortholog_one2one
ENSMUSG00000045540,,
ENSMUSG00000095640,ENSMMUG00000014118,ortholog_one2many
ENSMUSG00000095837,,
ENSMUSG00000054763,ENSMMUG00000029034,ortholog_one2one
ENSMUSG00000045835,ENSMMUG00000012870,ortholog_one2one
ENSMUSG00000074656,ENSMMUG00000018095,ortholog_one2one
ENSMUSG00000073950,ENSMMUG00000013822,ortholog_many2many
ENSMUSG00000034416,ENSMMUG00000003662,ortholog_one2one
ENSMUSG00000074867,ENSMMUG00000001930,ortholog_many2many
ENSMUSG00000036106,ENSMMUG00000005364,ortholog_one2one
ENSMUSG00000096761,,
ENSMUSG00000095839,,
ENSMUSG00000036661,ENSMMUG00000013578,ortholog_one2one
ENSMUSG00000073951,ENSMMUG00000010885,ortholog_one2many
ENSMUSG00000048076,ENSMMUG00000021421,ortholog_one2one
ENSMUSG00000025817,ENSMMUG00000017141,ortholog_one2one
ENSMUSG00000096903,,
ENSMUSG00000099269,,
ENSMUSG00000019861,ENSMMUG00000017018,ortholog_one2one
ENSMUSG00000073952,ENSMMUG00000010885,ortholog_one2many
ENSMUSG00000074870,ENSMMUG00000013861,ortholog_one2many
ENSMUSG00000075571,ENSMMUG00000017581,ortholog_one2one
ENSMUSG00000062121,ENSMMUG00000020499,ortholog_many2many
ENSMUSG00000098049,ENSMMUG00000000663,ortholog_many2many
ENSMUSG00000098049,ENSMMUG00000020157,ortholog_many2many
ENSMUSG00000045394,ENSMMUG00000012390,ortholog_one2one
ENSMUSG00000096663,,
ENSMUSG00000096194,,
ENSMUSG00000043131,ENSMMUG00000015208,ortholog_one2many
ENSMUSG00000060049,ENSMMUG00000014118,ortholog_one2many
ENSMUSG00000073953,ENSMMUG00000030980,ortholog_one2many
ENSMUSG00000055745,ENSMMUG00000014063,ortholog_one2one
ENSMUSG00000078747,,
ENSMUSG00000094762,,
ENSMUSG00000093857,,
ENSMUSG00000098598,ENSMMUG00000001139,ortholog_one2many
ENSMUSG00000064110,ENSMMUG00000020490,ortholog_one2many
ENSMUSG00000003581,ENSMMUG00000017091,ortholog_one2one
ENSMUSG00000067519,ENSMMUG00000014118,ortholog_one2many
ENSMUSG00000074871,ENSMMUG00000013861,ortholog_one2many
ENSMUSG00000094545,,
ENSMUSG00000057321,ENSMMUG00000029040,ortholog_many2many
ENSMUSG00000057321,ENSMMUG00000032404,ortholog_many2many
ENSMUSG00000075572,ENSMMUG00000017580,ortholog_one2one
ENSMUSG00000099100,ENSMMUG00000015110,ortholog_one2many
ENSMUSG00000094133,ENSMMUG00000014118,ortholog_one2many
ENSMUSG00000095770,ENSMMUG00000016045,ortholog_one2many
ENSMUSG00000091096,,
ENSMUSG00000059106,ENSMMUG00000020490,ortholog_one2many
ENSMUSG00000096386,,
ENSMUSG00000075573,ENSMMUG00000029037,ortholog_one2one
ENSMUSG00000067522,ENSMMUG00000014115,ortholog_one2one
ENSMUSG00000073954,ENSMMUG00000001071,ortholog_one2one
ENSMUSG00000058435,ENSMMUG00000021971,ortholog_many2many
ENSMUSG00000095806,,
ENSMUSG00000067524,ENSMMUG00000014114,ortholog_one2one
ENSMUSG00000042050,ENSMMUG00000006973,ortholog_one2one
ENSMUSG00000075574,ENSMMUG00000029166,ortholog_one2many
ENSMUSG00000075574,ENSMMUG00000029038,ortholog_one2many
ENSMUSG00000095300,,
ENSMUSG00000073955,ENSMMUG00000030978,ortholog_one2many
ENSMUSG00000048978,ENSMMUG00000008451,ortholog_one2one
ENSMUSG00000098034,ENSMMUG00000016618,ortholog_one2many
ENSMUSG00000094439,ENSMMUG00000004754,ortholog_one2one
ENSMUSG00000067525,ENSMMUG00000001746,ortholog_many2many
ENSMUSG00000059867,ENSMMUG00000020490,ortholog_one2many
ENSMUSG00000095745,,
ENSMUSG00000091539,,
ENSMUSG00000073956,ENSMMUG00000001069,ortholog_one2one
ENSMUSG00000029622,ENSMMUG00000001458,ortholog_one2one
ENSMUSG00000064370,ENSMMUG00000028670,ortholog_one2one
ENSMUSG00000094757,,
ENSMUSG00000090497,,
ENSMUSG00000048299,,
ENSMUSG00000025041,ENSMMUG00000003749,ortholog_one2one
ENSMUSG00000034384,ENSMMUG00000013939,ortholog_one2one
ENSMUSG00000094886,ENSMMUG00000018480,ortholog_one2many
ENSMUSG00000020441,ENSMMUG00000002791,ortholog_one2one
ENSMUSG00000064368,ENSMMUG00000028672,ortholog_one2one
ENSMUSG00000094298,,
ENSMUSG00000057461,,
ENSMUSG00000064367,ENSMMUG00000028673,ortholog_one2one
ENSMUSG00000096730,,
ENSMUSG00000051362,,
ENSMUSG00000039483,ENSMMUG00000011816,ortholog_one2one
ENSMUSG00000093976,,
ENSMUSG00000033166,ENSMMUG00000000787,ortholog_one2one
ENSMUSG00000044994,ENSMMUG00000014113,ortholog_one2many
ENSMUSG00000094735,,
ENSMUSG00000031444,ENSMMUG00000001038,ortholog_one2one
ENSMUSG00000003585,ENSMMUG00000013404,ortholog_one2one
ENSMUSG00000064363,ENSMMUG00000028677,ortholog_one2one
ENSMUSG00000066268,,
ENSMUSG00000067526,ENSMMUG00000014113,ortholog_one2many
ENSMUSG00000094011,,
ENSMUSG00000065947,ENSMMUG00000029085,ortholog_many2many
ENSMUSG00000065947,ENSMMUG00000031612,ortholog_many2many
ENSMUSG00000065947,ENSMMUG00000028678,ortholog_many2many
ENSMUSG00000041025,,
ENSMUSG00000078080,,
ENSMUSG00000028517,ENSMMUG00000002200,ortholog_one2one
ENSMUSG00000067528,ENSMMUG00000014113,ortholog_one2many
ENSMUSG00000028883,ENSMMUG00000007555,ortholog_one2one
ENSMUSG00000064360,ENSMMUG00000028680,ortholog_one2one
ENSMUSG00000096164,,
ENSMUSG00000073959,,
ENSMUSG00000067529,ENSMMUG00000014112,ortholog_one2one
ENSMUSG00000019891,ENSMMUG00000017558,ortholog_one2one
ENSMUSG00000064358,ENSMMUG00000028682,ortholog_one2one
