Ensembl.Gene.ID	Paralog.Ensembl.Gene.ID	Ancestor
ENSMUSG00000000103	ENSMUSG00000053211	Mus musculus
ENSMUSG00000000204	ENSMUSG00000018986	Mus musculus
ENSMUSG00000000318	ENSMUSG00000040950	Mus musculus
ENSMUSG00000000983	ENSMUSG00000069792	Mus musculus
ENSMUSG00000001767	ENSMUSG00000092012	Mus musculus
ENSMUSG00000002345	ENSMUSG00000079033	Mus musculus
ENSMUSG00000003166	ENSMUSG00000092470	Mus musculus
ENSMUSG00000003198	ENSMUSG00000062101	Mus musculus
ENSMUSG00000005161	ENSMUSG00000095266	Mus musculus
ENSMUSG00000005268	ENSMUSG00000094814	Mus musculus
ENSMUSG00000005547	ENSMUSG00000074254	Mus musculus
ENSMUSG00000005683	ENSMUSG00000046934	Mus musculus
ENSMUSG00000006200	ENSMUSG00000068048	Mus musculus
ENSMUSG00000006998	ENSMUSG00000039684	Mus musculus
ENSMUSG00000007476	ENSMUSG00000099041	Mus musculus
ENSMUSG00000008348	ENSMUSG00000019505	Mus musculus
ENSMUSG00000008393	ENSMUSG00000044434	Mus musculus
ENSMUSG00000008450	ENSMUSG00000071497	Mus musculus
ENSMUSG00000008682	ENSMUSG00000058443	Mus musculus
ENSMUSG00000008690	ENSMUSG00000090957	Mus musculus
ENSMUSG00000008789	ENSMUSG00000078793	Mus musculus
ENSMUSG00000008892	ENSMUSG00000075053	Mus musculus
ENSMUSG00000009739	ENSMUSG00000098598	Mus musculus
ENSMUSG00000010651	ENSMUSG00000036138	Mus musculus
ENSMUSG00000010751	ENSMUSG00000037613	Mus musculus
ENSMUSG00000011257	ENSMUSG00000062093	Mus musculus
ENSMUSG00000012429	ENSMUSG00000094649	Mus musculus
ENSMUSG00000013701	ENSMUSG00000069622	Mus musculus
ENSMUSG00000014232	ENSMUSG00000093575	Mus musculus
ENSMUSG00000014301	ENSMUSG00000045886	Mus musculus
ENSMUSG00000015127	ENSMUSG00000092097	Mus musculus
ENSMUSG00000015217	ENSMUSG00000062588	Mus musculus
ENSMUSG00000015224	ENSMUSG00000052520	Mus musculus
ENSMUSG00000015672	ENSMUSG00000057223	Mus musculus
ENSMUSG00000016831	ENSMUSG00000091020	Mus musculus
ENSMUSG00000017003	ENSMUSG00000050383	Mus musculus
ENSMUSG00000018239	ENSMUSG00000095465	Mus musculus
ENSMUSG00000018752	ENSMUSG00000097328	Mus musculus
ENSMUSG00000018900	ENSMUSG00000063652	Mus musculus
ENSMUSG00000020027	ENSMUSG00000050974	Mus musculus
ENSMUSG00000020068	ENSMUSG00000020072	Mus musculus
ENSMUSG00000020295	ENSMUSG00000073063	Mus musculus
ENSMUSG00000020857	ENSMUSG00000091228	Mus musculus
ENSMUSG00000020962	ENSMUSG00000094374	Mus musculus
ENSMUSG00000021148	ENSMUSG00000033520	Mus musculus
ENSMUSG00000021208	ENSMUSG00000079017	Mus musculus
ENSMUSG00000021210	ENSMUSG00000054757	Mus musculus
ENSMUSG00000021211	ENSMUSG00000021213	Mus musculus
ENSMUSG00000021226	ENSMUSG00000072949	Mus musculus
ENSMUSG00000021345	ENSMUSG00000021346	Mus musculus
ENSMUSG00000021807	ENSMUSG00000074479	Mus musculus
ENSMUSG00000021871	ENSMUSG00000068417	Mus musculus
ENSMUSG00000021908	ENSMUSG00000056234	Mus musculus
ENSMUSG00000021963	ENSMUSG00000061104	Mus musculus
ENSMUSG00000022111	ENSMUSG00000035337	Mus musculus
ENSMUSG00000022421	ENSMUSG00000089837	Mus musculus
ENSMUSG00000022674	ENSMUSG00000060811	Mus musculus
ENSMUSG00000022863	ENSMUSG00000044645	Mus musculus
ENSMUSG00000022875	ENSMUSG00000060459	Mus musculus
ENSMUSG00000022902	ENSMUSG00000059657	Mus musculus
ENSMUSG00000022969	ENSMUSG00000093701	Mus musculus
ENSMUSG00000023041	ENSMUSG00000058354	Mus musculus
ENSMUSG00000023093	ENSMUSG00000090710	Mus musculus
ENSMUSG00000023289	ENSMUSG00000062833	Mus musculus
ENSMUSG00000023433	ENSMUSG00000078520	Mus musculus
ENSMUSG00000023452	ENSMUSG00000093574	Mus musculus
ENSMUSG00000023806	ENSMUSG00000073471	Mus musculus
ENSMUSG00000023832	ENSMUSG00000062480	Mus musculus
ENSMUSG00000023892	ENSMUSG00000051341	Mus musculus
ENSMUSG00000023984	ENSMUSG00000092558	Mus musculus
ENSMUSG00000024125	ENSMUSG00000024128	Mus musculus
ENSMUSG00000024301	ENSMUSG00000079553	Mus musculus
ENSMUSG00000024677	ENSMUSG00000067555	Mus musculus
ENSMUSG00000025287	ENSMUSG00000047565	Mus musculus
ENSMUSG00000025362	ENSMUSG00000059775	Mus musculus
ENSMUSG00000025431	ENSMUSG00000025433	Mus musculus
ENSMUSG00000025580	ENSMUSG00000094973	Mus musculus
ENSMUSG00000025733	ENSMUSG00000093593	Mus musculus
ENSMUSG00000025808	ENSMUSG00000056018	Mus musculus
ENSMUSG00000025945	ENSMUSG00000070870	Mus musculus
ENSMUSG00000026031	ENSMUSG00000050533	Mus musculus
ENSMUSG00000026039	ENSMUSG00000094443	Mus musculus
ENSMUSG00000026063	ENSMUSG00000042433	Mus musculus
ENSMUSG00000026229	ENSMUSG00000094638	Mus musculus
ENSMUSG00000026399	ENSMUSG00000026401	Mus musculus
ENSMUSG00000026492	ENSMUSG00000091277	Mus musculus
ENSMUSG00000026531	ENSMUSG00000079180	Mus musculus
ENSMUSG00000026701	ENSMUSG00000050114	Mus musculus
ENSMUSG00000026999	ENSMUSG00000091900	Mus musculus
ENSMUSG00000027130	ENSMUSG00000096764	Mus musculus
ENSMUSG00000027201	ENSMUSG00000049230	Mus musculus
ENSMUSG00000027219	ENSMUSG00000079071	Mus musculus
ENSMUSG00000027236	ENSMUSG00000043424	Mus musculus
ENSMUSG00000027338	ENSMUSG00000098754	Mus musculus
ENSMUSG00000027342	ENSMUSG00000067608	Mus musculus
ENSMUSG00000027597	ENSMUSG00000048087	Mus musculus
ENSMUSG00000027882	ENSMUSG00000071640	Mus musculus
ENSMUSG00000027890	ENSMUSG00000095238	Mus musculus
ENSMUSG00000027968	ENSMUSG00000066107	Mus musculus
ENSMUSG00000028042	ENSMUSG00000096192	Mus musculus
ENSMUSG00000028076	ENSMUSG00000041750	Mus musculus
ENSMUSG00000028233	ENSMUSG00000093862	Mus musculus
ENSMUSG00000028262	ENSMUSG00000056025	Mus musculus
ENSMUSG00000028333	ENSMUSG00000090323	Mus musculus
ENSMUSG00000028773	ENSMUSG00000056366	Mus musculus
ENSMUSG00000028800	ENSMUSG00000061062	Mus musculus
ENSMUSG00000029219	ENSMUSG00000060204	Mus musculus
ENSMUSG00000029281	ENSMUSG00000090302	Mus musculus
ENSMUSG00000029394	ENSMUSG00000078154	Mus musculus
ENSMUSG00000029456	ENSMUSG00000042647	Mus musculus
ENSMUSG00000029586	ENSMUSG00000039296	Mus musculus
ENSMUSG00000029614	ENSMUSG00000091086	Mus musculus
ENSMUSG00000029720	ENSMUSG00000093445	Mus musculus
ENSMUSG00000029836	ENSMUSG00000059647	Mus musculus
ENSMUSG00000030079	ENSMUSG00000079076	Mus musculus
ENSMUSG00000030131	ENSMUSG00000059908	Mus musculus
ENSMUSG00000030446	ENSMUSG00000058331	Mus musculus
ENSMUSG00000030649	ENSMUSG00000074780	Mus musculus
ENSMUSG00000030651	ENSMUSG00000092517	Mus musculus
ENSMUSG00000030680	ENSMUSG00000092534	Mus musculus
ENSMUSG00000030735	ENSMUSG00000073838	Mus musculus
ENSMUSG00000030804	ENSMUSG00000096145	Mus musculus
ENSMUSG00000031146	ENSMUSG00000057762	Mus musculus
ENSMUSG00000031304	ENSMUSG00000092463	Mus musculus
ENSMUSG00000031400	ENSMUSG00000089992	Mus musculus
ENSMUSG00000031409	ENSMUSG00000044550	Mus musculus
ENSMUSG00000031424	ENSMUSG00000057439	Mus musculus
ENSMUSG00000031471	ENSMUSG00000039775	Mus musculus
ENSMUSG00000031812	ENSMUSG00000074501	Mus musculus
ENSMUSG00000031884	ENSMUSG00000061825	Mus musculus
ENSMUSG00000032108	ENSMUSG00000098847	Mus musculus
ENSMUSG00000032171	ENSMUSG00000074997	Mus musculus
ENSMUSG00000032375	ENSMUSG00000053040	Mus musculus
ENSMUSG00000032518	ENSMUSG00000047676	Mus musculus
ENSMUSG00000032554	ENSMUSG00000090639	Mus musculus
ENSMUSG00000032679	ENSMUSG00000068686	Mus musculus
ENSMUSG00000032889	ENSMUSG00000044795	Mus musculus
ENSMUSG00000032892	ENSMUSG00000072381	Mus musculus
ENSMUSG00000032999	ENSMUSG00000079741	Mus musculus
ENSMUSG00000033027	ENSMUSG00000052736	Mus musculus
ENSMUSG00000033272	ENSMUSG00000095078	Mus musculus
ENSMUSG00000033405	ENSMUSG00000037603	Mus musculus
ENSMUSG00000033450	ENSMUSG00000052031	Mus musculus
ENSMUSG00000033634	ENSMUSG00000068299	Mus musculus
ENSMUSG00000033735	ENSMUSG00000068303	Mus musculus
ENSMUSG00000033737	ENSMUSG00000073012	Mus musculus
ENSMUSG00000033834	ENSMUSG00000062705	Mus musculus
ENSMUSG00000033852	ENSMUSG00000098488	Mus musculus
ENSMUSG00000034239	ENSMUSG00000078632	Mus musculus
ENSMUSG00000034339	ENSMUSG00000034362	Mus musculus
ENSMUSG00000034343	ENSMUSG00000059301	Mus musculus
ENSMUSG00000034583	ENSMUSG00000093877	Mus musculus
ENSMUSG00000034641	ENSMUSG00000047798	Mus musculus
ENSMUSG00000034690	ENSMUSG00000045693	Mus musculus
ENSMUSG00000034912	ENSMUSG00000099100	Mus musculus
ENSMUSG00000035208	ENSMUSG00000069793	Mus musculus
ENSMUSG00000035215	ENSMUSG00000064317	Mus musculus
ENSMUSG00000035299	ENSMUSG00000095134	Mus musculus
ENSMUSG00000035367	ENSMUSG00000075359	Mus musculus
ENSMUSG00000035560	ENSMUSG00000037957	Mus musculus
ENSMUSG00000035811	ENSMUSG00000070704	Mus musculus
ENSMUSG00000036427	ENSMUSG00000043192	Mus musculus
ENSMUSG00000036521	ENSMUSG00000078754	Mus musculus
ENSMUSG00000036752	ENSMUSG00000095159	Mus musculus
ENSMUSG00000036840	ENSMUSG00000040749	Mus musculus
ENSMUSG00000036850	ENSMUSG00000091233	Mus musculus
ENSMUSG00000036925	ENSMUSG00000060311	Mus musculus
ENSMUSG00000036948	ENSMUSG00000091964	Mus musculus
ENSMUSG00000036951	ENSMUSG00000070465	Mus musculus
ENSMUSG00000037263	ENSMUSG00000075296	Mus musculus
ENSMUSG00000037334	ENSMUSG00000067201	Mus musculus
ENSMUSG00000037548	ENSMUSG00000079547	Mus musculus
ENSMUSG00000037827	ENSMUSG00000042870	Mus musculus
ENSMUSG00000038064	ENSMUSG00000061974	Mus musculus
ENSMUSG00000038155	ENSMUSG00000060803	Mus musculus
ENSMUSG00000038209	ENSMUSG00000038218	Mus musculus
ENSMUSG00000038274	ENSMUSG00000050299	Mus musculus
ENSMUSG00000038344	ENSMUSG00000048334	Mus musculus
ENSMUSG00000038374	ENSMUSG00000078184	Mus musculus
ENSMUSG00000038412	ENSMUSG00000044330	Mus musculus
ENSMUSG00000038489	ENSMUSG00000074846	Mus musculus
ENSMUSG00000038521	ENSMUSG00000079343	Mus musculus
ENSMUSG00000038522	ENSMUSG00000039339	Mus musculus
ENSMUSG00000038750	ENSMUSG00000066463	Mus musculus
ENSMUSG00000038782	ENSMUSG00000062073	Mus musculus
ENSMUSG00000039041	ENSMUSG00000042165	Mus musculus
ENSMUSG00000039159	ENSMUSG00000074903	Mus musculus
ENSMUSG00000039264	ENSMUSG00000043505	Mus musculus
ENSMUSG00000039725	ENSMUSG00000042854	Mus musculus
ENSMUSG00000040429	ENSMUSG00000053178	Mus musculus
ENSMUSG00000040562	ENSMUSG00000091561	Mus musculus
ENSMUSG00000040583	ENSMUSG00000040660	Mus musculus
ENSMUSG00000040614	ENSMUSG00000054102	Mus musculus
ENSMUSG00000040809	ENSMUSG00000063779	Mus musculus
ENSMUSG00000040904	ENSMUSG00000093989	Mus musculus
ENSMUSG00000040987	ENSMUSG00000054005	Mus musculus
ENSMUSG00000041144	ENSMUSG00000096141	Mus musculus
ENSMUSG00000041361	ENSMUSG00000092137	Mus musculus
ENSMUSG00000041583	ENSMUSG00000099216	Mus musculus
ENSMUSG00000041717	ENSMUSG00000098306	Mus musculus
ENSMUSG00000041852	ENSMUSG00000071262	Mus musculus
ENSMUSG00000042079	ENSMUSG00000044757	Mus musculus
ENSMUSG00000042092	ENSMUSG00000042124	Mus musculus
ENSMUSG00000042363	ENSMUSG00000048398	Mus musculus
