Ensembl Gene ID,Chromosome Name
ENSRNOG00000048039,19
ENSRNOG00000011330,19
ENSRNOG00000011635,19
ENSRNOG00000026262,19
ENSRNOG00000050134,19
ENSRNOG00000046985,19
ENSRNOG00000047192,19
ENSRNOG00000050034,19
ENSRNOG00000046212,19
ENSRNOG00000049312,19
ENSRNOG00000029744,19
ENSRNOG00000047669,19
ENSRNOG00000026220,19
ENSRNOG00000011865,19
ENSRNOG00000011901,19
ENSRNOG00000012222,19
ENSRNOG00000012343,19
ENSRNOG00000012371,19
ENSRNOG00000022955,18
ENSRNOG00000033133,19
ENSRNOG00000002697,18
ENSRNOG00000031197,18
ENSRNOG00000025791,19
ENSRNOG00000011009,19
ENSRNOG00000010691,19
ENSRNOG00000025409,19
ENSRNOG00000025420,19
ENSRNOG00000012752,19
ENSRNOG00000024066,18
ENSRNOG00000012853,19
ENSRNOG00000024071,18
ENSRNOG00000016417,18
ENSRNOG00000049180,18
ENSRNOG00000013301,19
ENSRNOG00000016366,18
ENSRNOG00000013324,19
ENSRNOG00000015332,18
ENSRNOG00000013481,19
ENSRNOG00000038254,19
ENSRNOG00000014981,18
ENSRNOG00000011274,19
ENSRNOG00000011782,19
ENSRNOG00000012007,19
ENSRNOG00000012271,19
ENSRNOG00000012447,19
ENSRNOG00000012482,19
ENSRNOG00000031022,18
ENSRNOG00000023492,18
ENSRNOG00000014031,18
ENSRNOG00000013714,18
ENSRNOG00000029370,18
ENSRNOG00000013281,18
ENSRNOG00000011863,19
ENSRNOG00000043413,18
ENSRNOG00000023092,19
ENSRNOG00000023433,18
ENSRNOG00000011883,19
ENSRNOG00000012899,18
ENSRNOG00000011933,19
ENSRNOG00000042179,19
ENSRNOG00000012622,19
ENSRNOG00000046132,16
ENSRNOG00000012795,18
ENSRNOG00000013216,19
ENSRNOG00000049069,16
ENSRNOG00000023412,18
ENSRNOG00000046720,16
ENSRNOG00000013460,19
ENSRNOG00000013465,19
ENSRNOG00000050746,16
ENSRNOG00000031773,19
ENSRNOG00000010008,16
ENSRNOG00000023376,18
ENSRNOG00000046273,11
ENSRNOG00000048461,11
ENSRNOG00000041370,11
ENSRNOG00000030285,11
ENSRNOG00000012597,18
ENSRNOG00000010189,16
ENSRNOG00000000720,11
ENSRNOG00000011119,16
ENSRNOG00000000718,11
ENSRNOG00000012016,18
ENSRNOG00000010488,16
ENSRNOG00000000715,11
ENSRNOG00000014087,19
ENSRNOG00000040257,11
ENSRNOG00000014626,19
ENSRNOG00000011300,18
ENSRNOG00000010558,16
ENSRNOG00000040205,16
ENSRNOG00000028774,11
ENSRNOG00000030840,11
ENSRNOG00000011307,16
ENSRNOG00000050949,18
ENSRNOG00000025860,19
ENSRNOG00000029614,11
ENSRNOG00000014896,19
ENSRNOG00000047436,18
ENSRNOG00000011636,16
ENSRNOG00000046857,18
ENSRNOG00000014963,19
ENSRNOG00000012623,16
ENSRNOG00000029598,11
ENSRNOG00000039891,19
ENSRNOG00000013264,16
ENSRNOG00000025843,19
ENSRNOG00000048513,11
ENSRNOG00000029763,11
ENSRNOG00000028740,11
ENSRNOG00000045844,18
ENSRNOG00000015679,19
ENSRNOG00000013346,16
ENSRNOG00000033441,11
ENSRNOG00000013574,16
ENSRNOG00000015720,19
ENSRNOG00000029147,11
ENSRNOG00000016887,18
ENSRNOG00000032834,11
ENSRNOG00000050218,18
ENSRNOG00000016874,18
ENSRNOG00000030930,11
ENSRNOG00000016190,19
ENSRNOG00000016800,18
ENSRNOG00000001585,11
ENSRNOG00000050713,11
ENSRNOG00000014133,16
ENSRNOG00000021966,16
ENSRNOG00000030363,18
ENSRNOG00000001573,11
ENSRNOG00000016234,19
ENSRNOG00000014363,16
ENSRNOG00000026023,18
ENSRNOG00000014750,16
ENSRNOG00000001557,11
ENSRNOG00000016467,18
ENSRNOG00000016043,18
ENSRNOG00000016278,19
ENSRNOG00000001555,11
ENSRNOG00000016326,19
ENSRNOG00000016535,19
ENSRNOG00000015867,18
ENSRNOG00000001554,11
ENSRNOG00000016558,19
ENSRNOG00000015823,18
ENSRNOG00000001915,11
ENSRNOG00000016991,19
ENSRNOG00000001916,11
ENSRNOG00000015602,18
ENSRNOG00000028380,16
ENSRNOG00000017471,19
ENSRNOG00000047243,11
ENSRNOG00000050092,11
ENSRNOG00000017841,19
ENSRNOG00000017159,18
ENSRNOG00000043286,19
ENSRNOG00000002126,11
ENSRNOG00000047668,16
ENSRNOG00000015148,16
ENSRNOG00000039969,18
ENSRNOG00000048222,19
ENSRNOG00000016853,18
ENSRNOG00000025408,16
ENSRNOG00000048333,11
ENSRNOG00000025433,16
ENSRNOG00000011276,16
ENSRNOG00000047563,11
ENSRNOG00000011263,16
ENSRNOG00000018796,19
ENSRNOG00000010984,16
ENSRNOG00000042848,11
ENSRNOG00000018607,19
ENSRNOG00000045788,16
ENSRNOG00000015618,16
ENSRNOG00000001549,11
ENSRNOG00000031287,16
ENSRNOG00000022364,18
ENSRNOG00000001551,11
ENSRNOG00000006997,11
ENSRNOG00000018564,19
ENSRNOG00000015418,18
ENSRNOG00000047131,16
ENSRNOG00000049723,16
ENSRNOG00000022163,18
ENSRNOG00000022156,18
ENSRNOG00000014624,16
ENSRNOG00000025764,19
ENSRNOG00000015280,16
ENSRNOG00000043098,19
ENSRNOG00000018958,19
ENSRNOG00000001544,11
ENSRNOG00000015498,16
ENSRNOG00000019004,19
ENSRNOG00000042700,11
ENSRNOG00000019020,19
ENSRNOG00000015859,16
ENSRNOG00000001607,11
ENSRNOG00000015383,18
ENSRNOG00000019288,19
ENSRNOG00000013147,16
ENSRNOG00000014775,18
ENSRNOG00000001606,11
ENSRNOG00000014757,18
ENSRNOG00000042983,19
ENSRNOG00000016671,18
ENSRNOG00000046436,11
ENSRNOG00000027858,11
ENSRNOG00000019444,19
ENSRNOG00000001603,11
ENSRNOG00000001602,11
ENSRNOG00000001599,11
ENSRNOG00000019482,19
ENSRNOG00000001598,11
ENSRNOG00000025710,19
ENSRNOG00000013742,19
ENSRNOG00000001592,11
ENSRNOG00000047261,18
ENSRNOG00000039808,19
ENSRNOG00000048511,18
ENSRNOG00000001584,11
ENSRNOG00000049345,18
ENSRNOG00000030174,19
ENSRNOG00000001582,11
ENSRNOG00000013878,19
ENSRNOG00000001575,11
ENSRNOG00000015645,18
ENSRNOG00000014093,19
ENSRNOG00000015740,18
ENSRNOG00000031060,18
ENSRNOG00000029344,18
ENSRNOG00000022202,18
ENSRNOG00000048534,19
ENSRNOG00000047379,19
ENSRNOG00000014117,19
ENSRNOG00000014336,19
ENSRNOG00000005783,15
ENSRNOG00000023438,11
ENSRNOG00000014761,19
ENSRNOG00000049399,11
ENSRNOG00000046163,19
ENSRNOG00000001567,11
ENSRNOG00000040063,11
ENSRNOG00000015895,18
ENSRNOG00000040060,11
ENSRNOG00000015317,19
ENSRNOG00000040054,11
ENSRNOG00000016275,18
ENSRNOG00000040057,11
ENSRNOG00000050693,11
ENSRNOG00000040050,11
ENSRNOG00000033732,11
ENSRNOG00000021569,11
ENSRNOG00000005985,15
ENSRNOG00000015438,19
ENSRNOG00000002115,11
ENSRNOG00000015519,19
ENSRNOG00000002104,11
ENSRNOG00000009738,16
ENSRNOG00000016015,16
ENSRNOG00000018292,19
ENSRNOG00000016064,16
ENSRNOG00000002092,11
ENSRNOG00000021555,11
ENSRNOG00000016526,18
ENSRNOG00000021524,11
ENSRNOG00000039725,19
ENSRNOG00000002080,11
ENSRNOG00000016311,19
ENSRNOG00000016632,18
ENSRNOG00000040171,15
ENSRNOG00000014237,15
ENSRNOG00000033011,15
ENSRNOG00000045538,18
ENSRNOG00000050202,15
ENSRNOG00000013968,15
ENSRNOG00000021805,16
ENSRNOG00000002072,11
ENSRNOG00000013505,15
ENSRNOG00000016643,19
ENSRNOG00000048101,18
ENSRNOG00000016645,16
ENSRNOG00000030131,18
ENSRNOG00000016695,19
ENSRNOG00000049137,18
ENSRNOG00000021399,11
ENSRNOG00000016562,18
ENSRNOG00000016532,18
ENSRNOG00000002051,11
ENSRNOG00000013236,15
ENSRNOG00000016207,18
ENSRNOG00000011037,19
ENSRNOG00000048428,15
ENSRNOG00000011533,19
ENSRNOG00000013112,15
ENSRNOG00000017051,16
ENSRNOG00000011180,19
ENSRNOG00000011728,19
ENSRNOG00000015546,18
ENSRNOG00000013034,15
ENSRNOG00000012850,15
ENSRNOG00000017369,16
ENSRNOG00000016036,18
ENSRNOG00000011829,19
ENSRNOG00000017381,16
ENSRNOG00000028703,18
ENSRNOG00000050210,20
ENSRNOG00000015301,18
ENSRNOG00000046175,19
ENSRNOG00000000729,20
ENSRNOG00000011956,19
ENSRNOG00000012325,15
ENSRNOG00000000728,20
ENSRNOG00000012153,19
ENSRNOG00000000726,20
ENSRNOG00000050389,20
ENSRNOG00000002036,11
ENSRNOG00000015113,18
ENSRNOG00000045845,20
ENSRNOG00000011461,15
ENSRNOG00000028968,20
ENSRNOG00000027230,18
ENSRNOG00000048084,20
ENSRNOG00000050316,20
ENSRNOG00000028670,11
ENSRNOG00000050886,20
ENSRNOG00000028658,11
ENSRNOG00000045668,11
ENSRNOG00000049590,20
ENSRNOG00000049302,19
ENSRNOG00000010765,15
ENSRNOG00000030864,19
ENSRNOG00000047390,20
ENSRNOG00000049251,20
ENSRNOG00000046270,20
ENSRNOG00000028638,11
ENSRNOG00000028649,19
ENSRNOG00000000763,20
ENSRNOG00000028594,11
ENSRNOG00000010516,15
ENSRNOG00000014048,19
ENSRNOG00000000768,20
ENSRNOG00000045658,20
ENSRNOG00000048232,20
ENSRNOG00000000774,20
ENSRNOG00000042057,18
ENSRNOG00000002032,11
ENSRNOG00000002028,11
ENSRNOG00000014124,19
ENSRNOG00000014957,18
ENSRNOG00000009783,15
ENSRNOG00000002026,11
ENSRNOG00000014202,19
ENSRNOG00000028292,11
ENSRNOG00000033386,16
ENSRNOG00000029466,18
ENSRNOG00000014293,19
ENSRNOG00000049741,18
ENSRNOG00000014503,18
ENSRNOG00000014419,19
ENSRNOG00000049802,18
ENSRNOG00000002021,11
ENSRNOG00000030156,18
ENSRNOG00000004977,18
ENSRNOG00000017997,16
ENSRNOG00000014776,19
ENSRNOG00000017840,18
ENSRNOG00000027171,15
ENSRNOG00000002012,11
ENSRNOG00000018075,16
ENSRNOG00000018179,16
ENSRNOG00000009596,15
ENSRNOG00000028014,11
ENSRNOG00000017568,18
ENSRNOG00000024212,19
ENSRNOG00000017333,18
ENSRNOG00000002001,11
ENSRNOG00000015459,19
ENSRNOG00000028461,16
ENSRNOG00000017091,18
ENSRNOG00000000775,20
ENSRNOG00000016773,18
ENSRNOG00000028227,16
ENSRNOG00000015534,19
ENSRNOG00000016250,18
ENSRNOG00000022730,20
ENSRNOG00000014658,19
ENSRNOG00000016231,18
ENSRNOG00000033136,20
ENSRNOG00000024182,19
ENSRNOG00000011382,18
ENSRNOG00000000010,19
ENSRNOG00000008483,19
ENSRNOG00000022107,20
ENSRNOG00000016021,18
ENSRNOG00000001991,11
ENSRNOG00000009297,15
ENSRNOG00000015121,19
ENSRNOG00000009274,15
ENSRNOG00000028178,16
ENSRNOG00000015035,18
ENSRNOG00000015162,19
ENSRNOG00000009042,15
ENSRNOG00000018358,16
ENSRNOG00000040052,20
ENSRNOG00000002010,11
