Ensembl Gene ID,Hum Ensembl Gene ID,Homology Type
ENSMUSG00000095309,,
ENSMUSG00000000126,ENSG00000143816,ortholog_one2one
ENSMUSG00000095268,,
ENSMUSG00000020063,ENSG00000096717,ortholog_one2one
ENSMUSG00000029623,ENSG00000106244,ortholog_one2one
ENSMUSG00000073944,,
ENSMUSG00000001555,ENSG00000141756,ortholog_one2one
ENSMUSG00000094221,,
ENSMUSG00000032855,ENSG00000008710,ortholog_one2one
ENSMUSG00000044292,ENSG00000182634,ortholog_many2many
ENSMUSG00000044292,ENSG00000254737,ortholog_many2many
ENSMUSG00000044292,ENSG00000236981,ortholog_many2many
ENSMUSG00000044292,ENSG00000234560,ortholog_many2many
ENSMUSG00000095264,ENSG00000147059,ortholog_many2many
ENSMUSG00000073945,ENSG00000187747,ortholog_one2many
ENSMUSG00000094385,,
ENSMUSG00000030245,ENSG00000111711,ortholog_one2one
ENSMUSG00000096540,,
ENSMUSG00000047352,,
ENSMUSG00000078954,ENSG00000241484,ortholog_one2many
ENSMUSG00000078954,ENSG00000248405,ortholog_one2many
ENSMUSG00000094001,,
ENSMUSG00000073946,,
ENSMUSG00000094115,ENSG00000147059,ortholog_many2many
ENSMUSG00000015468,ENSG00000204301,ortholog_one2one
ENSMUSG00000078984,,
ENSMUSG00000021273,ENSG00000079459,ortholog_one2one
ENSMUSG00000017670,ENSG00000062598,ortholog_one2one
ENSMUSG00000094680,,
ENSMUSG00000047544,ENSG00000184321,ortholog_one2many
ENSMUSG00000094727,,
ENSMUSG00000025816,ENSG00000065665,ortholog_one2one
ENSMUSG00000002129,ENSG00000099995,ortholog_one2one
ENSMUSG00000043331,,
ENSMUSG00000047714,ENSG00000184203,ortholog_one2one
ENSMUSG00000093986,,
ENSMUSG00000073947,ENSG00000184321,ortholog_one2many
ENSMUSG00000056296,ENSG00000163630,ortholog_one2one
ENSMUSG00000094211,,
ENSMUSG00000074754,,
ENSMUSG00000094010,,
ENSMUSG00000094361,,
ENSMUSG00000061024,ENSG00000179041,ortholog_one2one
ENSMUSG00000078624,ENSG00000184321,ortholog_one2many
ENSMUSG00000051493,,
ENSMUSG00000071104,ENSG00000168491,ortholog_one2one
ENSMUSG00000094589,,
ENSMUSG00000094119,,
ENSMUSG00000095833,,
ENSMUSG00000067855,,
ENSMUSG00000001119,ENSG00000142156,ortholog_one2one
ENSMUSG00000095390,,
ENSMUSG00000096737,,
ENSMUSG00000009900,ENSG00000154342,ortholog_one2one
ENSMUSG00000056718,,
ENSMUSG00000049606,ENSG00000122482,ortholog_one2one
ENSMUSG00000096584,,
ENSMUSG00000041710,ENSG00000072315,ortholog_one2one
ENSMUSG00000020747,ENSG00000177728,ortholog_one2one
ENSMUSG00000051729,,
ENSMUSG00000095973,,
ENSMUSG00000025579,ENSG00000171298,ortholog_one2one
ENSMUSG00000094449,,
ENSMUSG00000045584,,
ENSMUSG00000032413,ENSG00000155903,ortholog_one2one
ENSMUSG00000021939,ENSG00000164733,ortholog_one2one
ENSMUSG00000041134,ENSG00000166265,ortholog_one2one
ENSMUSG00000046396,ENSG00000176798,ortholog_one2many
ENSMUSG00000091435,,
ENSMUSG00000028738,ENSG00000179002,ortholog_one2one
ENSMUSG00000043461,ENSG00000196542,ortholog_one2one
ENSMUSG00000039982,ENSG00000110042,ortholog_one2one
ENSMUSG00000093934,,
ENSMUSG00000031636,ENSG00000154553,ortholog_one2one
ENSMUSG00000031864,ENSG00000104613,ortholog_one2one
ENSMUSG00000073948,,
ENSMUSG00000094085,,
ENSMUSG00000027364,ENSG00000170236,ortholog_one2one
ENSMUSG00000034832,ENSG00000187605,ortholog_one2one
ENSMUSG00000042402,,
ENSMUSG00000095774,,
ENSMUSG00000091638,,
ENSMUSG00000094601,ENSG00000147059,ortholog_many2many
ENSMUSG00000046805,ENSG00000197629,ortholog_one2many
ENSMUSG00000073949,ENSG00000242180,ortholog_many2many
ENSMUSG00000094309,,
ENSMUSG00000024151,ENSG00000095002,ortholog_one2one
ENSMUSG00000025909,ENSG00000147481,ortholog_one2one
ENSMUSG00000048285,ENSG00000139926,ortholog_one2one
ENSMUSG00000058079,,
ENSMUSG00000006931,ENSG00000141696,ortholog_one2one
ENSMUSG00000094254,,
ENSMUSG00000040065,ENSG00000197629,ortholog_one2many
ENSMUSG00000094284,,
ENSMUSG00000051427,ENSG00000187860,ortholog_one2one
ENSMUSG00000058976,ENSG00000233136,ortholog_many2many
ENSMUSG00000058976,ENSG00000228856,ortholog_many2many
ENSMUSG00000058976,ENSG00000227140,ortholog_many2many
ENSMUSG00000058976,ENSG00000231396,ortholog_many2many
ENSMUSG00000058976,ENSG00000223569,ortholog_many2many
ENSMUSG00000058976,ENSG00000250844,ortholog_many2many
ENSMUSG00000058976,ENSG00000232399,ortholog_many2many
ENSMUSG00000058976,ENSG00000248933,ortholog_many2many
ENSMUSG00000058976,ENSG00000231051,ortholog_many2many
ENSMUSG00000058976,ENSG00000223443,ortholog_many2many
ENSMUSG00000058976,ENSG00000248920,ortholog_many2many
ENSMUSG00000058976,ENSG00000235780,ortholog_many2many
ENSMUSG00000058976,ENSG00000232264,ortholog_many2many
ENSMUSG00000058976,ENSG00000231637,ortholog_many2many
ENSMUSG00000058976,ENSG00000227551,ortholog_many2many
ENSMUSG00000058976,ENSG00000250745,ortholog_many2many
ENSMUSG00000058976,ENSG00000249104,ortholog_many2many
ENSMUSG00000058976,ENSG00000230430,ortholog_many2many
ENSMUSG00000058976,ENSG00000249811,ortholog_many2many
ENSMUSG00000058976,ENSG00000229579,ortholog_many2many
ENSMUSG00000058976,ENSG00000250913,ortholog_many2many
ENSMUSG00000024027,ENSG00000112164,ortholog_one2one
ENSMUSG00000072066,,
ENSMUSG00000095190,,
ENSMUSG00000058762,ENSG00000026950,ortholog_many2many
ENSMUSG00000095903,,
ENSMUSG00000050815,ENSG00000172324,ortholog_many2many
ENSMUSG00000028329,ENSG00000136936,ortholog_one2one
ENSMUSG00000083780,ENSG00000255963,ortholog_one2many
