Ensembl Gene ID,Chicken Ensembl Gene ID,Homology Type
ENSMUSG00000095309,,
ENSMUSG00000000126,ENSGALG00000005401,ortholog_one2one
ENSMUSG00000095268,,
ENSMUSG00000020063,ENSGALG00000002761,ortholog_one2one
ENSMUSG00000029623,ENSGALG00000004698,ortholog_one2one
ENSMUSG00000073944,ENSGALG00000026478,ortholog_many2many
ENSMUSG00000001555,ENSGALG00000025764,ortholog_one2one
ENSMUSG00000094221,,
ENSMUSG00000032855,ENSGALG00000005714,ortholog_one2one
ENSMUSG00000044292,,
ENSMUSG00000095264,ENSGALG00000014916,ortholog_many2many
ENSMUSG00000095264,ENSGALG00000029162,ortholog_many2many
ENSMUSG00000073945,ENSGALG00000017341,ortholog_many2many
ENSMUSG00000094385,,
ENSMUSG00000030245,,
ENSMUSG00000096540,,
ENSMUSG00000047352,,
ENSMUSG00000078954,ENSGALG00000019261,ortholog_one2one
ENSMUSG00000094001,,
ENSMUSG00000073946,ENSGALG00000017341,ortholog_many2many
ENSMUSG00000094115,ENSGALG00000014916,ortholog_many2many
ENSMUSG00000094115,ENSGALG00000029162,ortholog_many2many
ENSMUSG00000015468,,
ENSMUSG00000078984,,
ENSMUSG00000021273,ENSGALG00000016665,ortholog_one2one
ENSMUSG00000017670,ENSGALG00000007246,ortholog_one2one
ENSMUSG00000094680,,
ENSMUSG00000047544,ENSGALG00000028873,ortholog_one2many
ENSMUSG00000094727,,
ENSMUSG00000025816,ENSGALG00000014036,ortholog_one2one
ENSMUSG00000002129,ENSGALG00000007937,ortholog_one2one
ENSMUSG00000043331,,
ENSMUSG00000047714,ENSGALG00000007005,ortholog_one2one
ENSMUSG00000093986,,
ENSMUSG00000073947,ENSGALG00000028873,ortholog_one2many
ENSMUSG00000056296,ENSGALG00000007284,ortholog_one2one
ENSMUSG00000094211,,
ENSMUSG00000074754,,
ENSMUSG00000094010,,
ENSMUSG00000094361,,
ENSMUSG00000061024,,
ENSMUSG00000078624,ENSGALG00000028873,ortholog_one2many
ENSMUSG00000051493,,
ENSMUSG00000071104,,
ENSMUSG00000094589,,
ENSMUSG00000094119,,
ENSMUSG00000095833,,
ENSMUSG00000067855,,
ENSMUSG00000001119,ENSGALG00000005974,ortholog_one2one
ENSMUSG00000095390,,
ENSMUSG00000096737,,
ENSMUSG00000009900,ENSGALG00000005396,ortholog_one2one
ENSMUSG00000056718,,
ENSMUSG00000049606,ENSGALG00000006100,ortholog_one2one
ENSMUSG00000096584,,
ENSMUSG00000041710,ENSGALG00000007972,ortholog_one2one
ENSMUSG00000020747,ENSGALG00000008023,ortholog_one2one
ENSMUSG00000051729,,
ENSMUSG00000095973,,
ENSMUSG00000025579,ENSGALG00000004181,ortholog_one2one
ENSMUSG00000094449,,
ENSMUSG00000045584,,
ENSMUSG00000032413,ENSGALG00000002850,ortholog_one2one
ENSMUSG00000021939,ENSGALG00000016666,ortholog_one2one
ENSMUSG00000041134,ENSGALG00000015774,ortholog_one2one
ENSMUSG00000046396,,
ENSMUSG00000091435,,
ENSMUSG00000028738,,
ENSMUSG00000043461,ENSGALG00000027494,ortholog_one2one
ENSMUSG00000039982,ENSGALG00000010835,ortholog_one2one
ENSMUSG00000093934,,
ENSMUSG00000031636,ENSGALG00000013414,ortholog_one2one
ENSMUSG00000031864,ENSGALG00000010130,ortholog_one2one
ENSMUSG00000073948,,
ENSMUSG00000094085,,
ENSMUSG00000027364,,
ENSMUSG00000034832,ENSGALG00000013436,ortholog_one2one
ENSMUSG00000042402,,
ENSMUSG00000095774,,
ENSMUSG00000091638,,
ENSMUSG00000094601,ENSGALG00000014916,ortholog_many2many
ENSMUSG00000094601,ENSGALG00000029162,ortholog_many2many
ENSMUSG00000046805,ENSGALG00000028536,ortholog_one2many
ENSMUSG00000073949,ENSGALG00000026571,ortholog_one2many
ENSMUSG00000094309,,
ENSMUSG00000024151,ENSGALG00000008962,ortholog_one2one
ENSMUSG00000025909,ENSGALG00000015248,ortholog_one2one
ENSMUSG00000048285,ENSGALG00000012374,ortholog_one2one
ENSMUSG00000058079,,
ENSMUSG00000006931,ENSGALG00000027462,ortholog_one2one
ENSMUSG00000094254,,
ENSMUSG00000040065,ENSGALG00000028536,ortholog_one2many
ENSMUSG00000094284,,
