Ensembl Gene ID,Chromosome Name
FBgn0031208,2L
FBgn0002121,2L
FBgn0031209,2L
FBgn0051973,2L
FBgn0067779,2L
FBgn0031213,2L
FBgn0031214,2L
FBgn0002931,2L
FBgn0031216,2L
FBgn0031217,2L
FBgn0026787,2L
FBgn0005278,2L
FBgn0031228,2L
FBgn0031219,2L
FBgn0031220,2L
FBgn0025683,2L
FBgn0001142,2L
FBgn0051975,2L
FBgn0051976,2L
FBgn0051974,2L
FBgn0031224,2L
FBgn0259818,2L
FBgn0031227,2L
FBgn0031229,2L
FBgn0053635,2L
FBgn0016977,2L
FBgn0031231,2L
FBgn0031232,2L
FBgn0031233,2L
FBgn0086902,2L
FBgn0031235,2L
FBgn0022246,2L
FBgn0031238,2L
FBgn0031239,2L
FBgn0031240,2L
FBgn0086912,2L
FBgn0086856,2L
FBgn0086855,2L
FBgn0003444,2L
FBgn0031244,2L
FBgn0031245,2L
FBgn0025686,2L
FBgn0031247,2L
FBgn0017457,2L
FBgn0024352,2L
FBgn0020622,2L
FBgn0004611,2L
FBgn0031248,2L
FBgn0031249,2L
FBgn0053127,2L
FBgn0264086,2L
FBgn0051921,2L
FBgn0031250,2L
FBgn0000061,2L
FBgn0031251,2L
FBgn0003278,2L
FBgn0263350,2L
FBgn0263933,2L
FBgn0031252,2L
FBgn0002593,2L
FBgn0031253,2L
FBgn0031254,2L
FBgn0031255,2L
FBgn0004583,2L
FBgn0015924,2L
FBgn0031256,2L
FBgn0031257,2L
FBgn0031258,2L
FBgn0027592,2L
FBgn0003963,2L
FBgn0043364,2L
FBgn0010602,2L
FBgn0031260,2L
FBgn0031261,2L
FBgn0005660,2L
FBgn0260933,2L
FBgn0031263,2L
FBgn0031264,2L
FBgn0031265,2L
FBgn0021874,2L
FBgn0031266,2L
FBgn0031267,2L
FBgn0031268,2L
FBgn0013323,2L
FBgn0023489,2L
FBgn0010323,2L
FBgn0031270,2L
FBgn0040106,2L
FBgn0040107,2L
FBgn0031273,2L
FBgn0000497,2L
FBgn0011244,2L
FBgn0026438,2L
FBgn0031275,2L
FBgn0031276,2L
FBgn0040725,2L
FBgn0031277,2L
FBgn0041250,2L
FBgn0031279,2L
FBgn0000442,2L
FBgn0051658,2L
FBgn0086130,2L
FBgn0031281,2L
FBgn0031282,2L
FBgn0031283,2L
FBgn0031284,2L
FBgn0015621,2L
FBgn0031285,2L
FBgn0031286,2L
FBgn0010583,2L
FBgn0020304,2L
FBgn0031287,2L
FBgn0020545,2L
FBgn0031288,2L
FBgn0031289,2L
FBgn0029095,2L
FBgn0020305,2L
FBgn0053526,2L
FBgn0002936,2L
FBgn0031292,2L
FBgn0002563,2L
FBgn0046113,2L
FBgn0028481,2L
FBgn0031294,2L
FBgn0031295,2L
FBgn0031296,2L
FBgn0003310,2L
FBgn0015905,2L
FBgn0031298,2L
FBgn0031299,2L
FBgn0261938,2L
FBgn0031301,2L
FBgn0031302,2L
FBgn0016926,2L
FBgn0031304,2L
FBgn0031305,2L
FBgn0031306,2L
FBgn0031307,2L
FBgn0031308,2L
FBgn0031309,2L
FBgn0031310,2L
FBgn0261458,2L
FBgn0031312,2L
FBgn0031313,2L
FBgn0031314,2L
FBgn0031315,2L
FBgn0024314,2L
FBgn0051922,2L
FBgn0031317,2L
FBgn0031318,2L
FBgn0031319,2L
FBgn0031320,2L
FBgn0031321,2L
FBgn0031322,2L
FBgn0031323,2L
FBgn0263080,2L
FBgn0263081,2L
FBgn0040723,2L
FBgn0031324,2L
FBgn0259229,2L
FBgn0031327,2L
FBgn0041097,2L
FBgn0011294,2L
FBgn0031331,2L
FBgn0053923,2L
FBgn0053922,2L
FBgn0026141,2L
FBgn0031332,2L
FBgn0031333,2L
FBgn0051924,2L
FBgn0031335,2L
FBgn0051659,2L
FBgn0053126,2L
FBgn0031337,2L
FBgn0002543,2L
FBgn0263320,2L
FBgn0263321,2L
FBgn0051928,2L
FBgn0053128,2L
FBgn0051926,2L
FBgn0051661,2L
FBgn0031343,2L
FBgn0031344,2L
FBgn0031345,2L
FBgn0001174,2L
FBgn0026398,2L
FBgn0026397,2L
FBgn0261509,2L
FBgn0031347,2L
FBgn0051935,2L
FBgn0031351,2L
FBgn0021906,2L
FBgn0086758,2L
FBgn0011570,2L
FBgn0031356,2L
FBgn0031357,2L
FBgn0086698,2L
FBgn0031359,2L
FBgn0000579,2L
FBgn0260648,2L
FBgn0031360,2L
FBgn0031361,2L
FBgn0264494,2L
FBgn0027597,2L
FBgn0031364,2L
FBgn0041249,2L
FBgn0031365,2L
FBgn0045497,2L
FBgn0045498,2L
FBgn0045499,2L
FBgn0045500,2L
FBgn0045501,2L
FBgn0051933,2L
FBgn0051664,2L
FBgn0031367,2L
FBgn0051665,2L
FBgn0051663,2L
FBgn0031372,2L
FBgn0031373,2L
FBgn0031374,2L
FBgn0040719,2L
FBgn0053673,2L
FBgn0031375,2L
FBgn0031376,2L
FBgn0031377,2L
FBgn0031378,2L
FBgn0031379,2L
FBgn0001125,2L
FBgn0031381,2L
FBgn0043539,2L
FBgn0053543,2L
FBgn0040718,2L
FBgn0040717,2L
FBgn0031384,2L
FBgn0259192,2L
FBgn0259230,2L
FBgn0003557,2L
FBgn0028952,2L
FBgn0026396,2L
FBgn0053516,2L
FBgn0031388,2L
FBgn0031389,2L
FBgn0004507,2L
FBgn0031390,2L
FBgn0031391,2L
FBgn0027509,2L
FBgn0031392,2L
FBgn0031393,2L
FBgn0000097,2L
FBgn0264082,2L
FBgn0031395,2L
FBgn0085201,2L
FBgn0051668,2L
FBgn0053124,2L
FBgn0031397,2L
FBgn0010288,2L
FBgn0085203,2L
FBgn0031398,2L
FBgn0040715,2L
FBgn0259717,2L
FBgn0031399,2L
FBgn0031401,2L
FBgn0031403,2L
FBgn0010704,2L
FBgn0262126,2L
FBgn0051679,2L
FBgn0052463,2L
FBgn0051682,2L
FBgn0031405,2L
FBgn0051686,2L
FBgn0011832,2L
FBgn0042186,2L
FBgn0042187,2L
FBgn0031406,2L
FBgn0031407,2L
FBgn0054049,2L
FBgn0250841,2L
FBgn0031409,2L
FBgn0051681,2L
FBgn0261523,2L
FBgn0031410,2L
FBgn0028570,2L
FBgn0051949,2L
FBgn0031412,2L
FBgn0031413,2L
FBgn0031414,2L
FBgn0014010,2L
FBgn0261647,2L
FBgn0031417,2L
FBgn0031418,2L
FBgn0031419,2L
FBgn0031420,2L
FBgn0264672,2L
FBgn0031422,2L
FBgn0031423,2L
FBgn0264081,2L
FBgn0031424,2L
FBgn0031426,2L
FBgn0051948,2L
FBgn0085477,2L
FBgn0085476,2L
FBgn0031428,2L
FBgn0000490,2L
FBgn0031429,2L
FBgn0015816,2L
FBgn0011818,2L
FBgn0031430,2L
FBgn0031431,2L
FBgn0031432,2L
FBgn0041337,2L
FBgn0026778,2L
FBgn0085343,2L
FBgn0031434,2L
FBgn0031435,2L
FBgn0031436,2L
FBgn0031437,2L
FBgn0026479,2L
FBgn0250835,2L
FBgn0031440,2L
FBgn0263322,2L
FBgn0031441,2L
FBgn0264433,2L
FBgn0053125,2L
FBgn0031442,2L
FBgn0026395,2L
FBgn0031443,2L
FBgn0031444,2L
FBgn0041248,2L
FBgn0051690,2L
FBgn0031446,2L
FBgn0031449,2L
FBgn0031450,2L
FBgn0031451,2L
FBgn0031452,2L
FBgn0250906,2L
FBgn0031453,2L
FBgn0031454,2L
FBgn0031455,2L
FBgn0031456,2L
FBgn0031457,2L
FBgn0031458,2L
FBgn0026324,2L
FBgn0028398,2L
FBgn0019830,2L
FBgn0031459,2L
FBgn0031460,2L
FBgn0004242,2L
FBgn0031461,2L
FBgn0031462,2L
FBgn0031463,2L
FBgn0031464,2L
FBgn0031465,2L
FBgn0031466,2L
FBgn0031467,2L
FBgn0031468,2L
FBgn0031469,2L
FBgn0031470,2L
FBgn0031471,2L
FBgn0031472,2L
FBgn0031473,2L
FBgn0015521,2L
FBgn0031474,2L
FBgn0051694,2L
FBgn0031476,2L
FBgn0031478,2L
FBgn0031479,2L
FBgn0051950,2L
FBgn0028970,2L
FBgn0024947,2L
FBgn0041111,2L
FBgn0010263,2L
FBgn0024920,2L
FBgn0004584,2L
FBgn0260639,2L
FBgn0031483,2L
FBgn0031484,2L
FBgn0031485,2L
FBgn0250786,2L
FBgn0025109,2L
FBgn0002989,2L
FBgn0025681,2L
FBgn0031488,2L
FBgn0031489,2L
FBgn0031490,2L
FBgn0031491,2L
FBgn0031492,2L
FBgn0031493,2L
FBgn0031494,2L
FBgn0031495,2L
FBgn0031496,2L
FBgn0031497,2L
FBgn0031498,2L
FBgn0243513,2L
FBgn0031500,2L
FBgn0031501,2L
FBgn0042627,2L
FBgn0027571,2L
FBgn0015600,2L
FBgn0005779,2L
FBgn0031504,2L
FBgn0031505,2L
FBgn0011648,2L
FBgn0260817,2L
FBgn0014906,2L
FBgn0085435,2L
FBgn0051698,2L
FBgn0031512,2L
FBgn0085422,2L
FBgn0031513,2L
FBgn0031514,2L
FBgn0031515,2L
FBgn0031516,2L
FBgn0031518,2L
FBgn0031517,2L
FBgn0031519,2L
FBgn0031520,2L
FBgn0053281,2L
FBgn0053282,2L
FBgn0031522,2L
FBgn0031523,2L
FBgn0020445,2L
FBgn0031526,2L
FBgn0085423,2L
FBgn0031528,2L
FBgn0031529,2L
FBgn0016698,2L
FBgn0259949,2L
FBgn0259950,2L
FBgn0085204,2L
FBgn0031530,2L
FBgn0031531,2L
FBgn0051952,2L
FBgn0031533,2L
FBgn0031534,2L
FBgn0031535,2L
FBgn0031536,2L
FBgn0031537,2L
FBgn0031538,2L
FBgn0005616,2L
FBgn0021967,2L
FBgn0031540,2L
FBgn0051776,2L
FBgn0051956,2L
FBgn0261560,2L
FBgn0031542,2L
FBgn0014396,2L
FBgn0051954,2L
FBgn0053123,2L
FBgn0031544,2L
FBgn0031545,2L
FBgn0031546,2L
FBgn0031547,2L
FBgn0031548,2L
FBgn0031549,2L
FBgn0031550,2L
FBgn0024244,2L
FBgn0264363,2L
FBgn0004892,2L
FBgn0002985,2L
FBgn0015663,2L
FBgn0031554,2L
FBgn0000721,2L
FBgn0085369,2L
FBgn0259951,2L
FBgn0259953,2L
FBgn0259952,2L
FBgn0261054,2L
FBgn0031558,2L
FBgn0031559,2L
FBgn0051779,2L
FBgn0262721,2L
FBgn0031560,2L
FBgn0031561,2L
FBgn0031562,2L
FBgn0031563,2L
FBgn0259954,2L
FBgn0259955,2L
FBgn0259956,2L
FBgn0259957,2L
FBgn0262621,2L
FBgn0031564,2L
FBgn0051778,2L
FBgn0051777,2L
FBgn0015376,2L
FBgn0051955,2L
FBgn0031566,2L
FBgn0040104,2L
FBgn0003386,2L
FBgn0031568,2L
FBgn0263846,2L
FBgn0263842,2L
FBgn0004893,2L
FBgn0051960,2L
FBgn0051958,2L
FBgn0031571,2L
FBgn0021800,2L
FBgn0031573,2L
FBgn0003430,2L
FBgn0004567,2L
FBgn0031574,2L
FBgn0031575,2L
FBgn0051957,2L
FBgn0000256,2L
FBgn0051774,2L
FBgn0051773,2L
FBgn0264341,2L
FBgn0085205,2L
FBgn0031579,2L
FBgn0031580,2L
FBgn0264295,2L
FBgn0264296,2L
FBgn0000547,2L
FBgn0020376,2L
FBgn0014033,2L
FBgn0031585,2L
FBgn0026394,2L
FBgn0051961,2L
FBgn0040102,2L
FBgn0031589,2L
FBgn0001075,2L
FBgn0031590,2L
FBgn0003941,2L
FBgn0031591,2L
FBgn0031592,2L
FBgn0010473,2L
FBgn0028482,2L
FBgn0020762,2L
FBgn0031596,2L
FBgn0026319,2L
FBgn0031597,2L
FBgn0031598,2L
FBgn0261976,2L
FBgn0027560,2L
FBgn0031600,2L
FBgn0022153,2L
FBgn0053003,2L
FBgn0031601,2L
FBgn0031602,2L
FBgn0262357,2L
FBgn0085206,2L
FBgn0085207,2L
FBgn0262358,2L
FBgn0259958,2L
FBgn0031603,2L
FBgn0027609,2L
FBgn0031604,2L
FBgn0025684,2L
FBgn0031606,2L
FBgn0031607,2L
FBgn0040705,2L
FBgn0019982,2L
FBgn0261606,2L
FBgn0053002,2L
FBgn0031608,2L
FBgn0031609,2L
FBgn0031610,2L
FBgn0031611,2L
FBgn0011603,2L
FBgn0053196,2L
FBgn0031613,2L
FBgn0083938,2L
FBgn0031617,2L
FBgn0264342,2L
FBgn0031619,2L
FBgn0031620,2L
FBgn0000227,2L
FBgn0031621,2L
FBgn0031622,2L
FBgn0085380,2L
FBgn0031623,2L
FBgn0031626,2L
FBgn0031627,2L
FBgn0260428,2L
FBgn0031628,2L
FBgn0031629,2L
FBgn0031630,2L
FBgn0031631,2L
FBgn0031632,2L
FBgn0031633,2L
FBgn0031634,2L
FBgn0031635,2L
FBgn0031636,2L
FBgn0031637,2L
FBgn0031638,2L
FBgn0031639,2L
FBgn0031640,2L
FBgn0051660,2L
FBgn0000286,2L
FBgn0031643,2L
FBgn0031644,2L
FBgn0031645,2L
FBgn0031646,2L
FBgn0041150,2L
FBgn0031649,2L
FBgn0003372,2L
FBgn0031650,2L
FBgn0031651,2L
FBgn0015000,2L
FBgn0031652,2L
FBgn0031653,2L
FBgn0031654,2L
FBgn0020906,2L
FBgn0031655,2L
FBgn0083960,2L
FBgn0083961,2L
FBgn0015834,2L
FBgn0262467,2L
FBgn0031657,2L
FBgn0010607,2L
FBgn0031659,2L
FBgn0031660,2L
FBgn0031661,2L
FBgn0031662,2L
FBgn0031663,2L
FBgn0031664,2L
FBgn0083962,2L
FBgn0053113,2L
FBgn0031668,2L
FBgn0259719,2L
FBgn0031670,2L
FBgn0016075,2L
FBgn0000299,2L
FBgn0260451,2L
FBgn0260470,2L
FBgn0031673,2L
FBgn0031674,2L
FBgn0053995,2L
FBgn0031675,2L
FBgn0022023,2L
FBgn0031676,2L
FBgn0031677,2L
FBgn0014857,2L
FBgn0031678,2L
FBgn0028694,2L
FBgn0028572,2L
FBgn0261608,2L
FBgn0031681,2L
FBgn0031682,2L
FBgn0031683,2L
FBgn0031684,2L
FBgn0261836,2L
FBgn0031688,2L
FBgn0031689,2L
FBgn0031690,2L
FBgn0250847,2L
FBgn0031692,2L
FBgn0003716,2L
FBgn0031693,2L
FBgn0031694,2L
FBgn0031695,2L
FBgn0000228,2L
FBgn0031696,2L
FBgn0016076,2L
FBgn0031697,2L
FBgn0031698,2L
FBgn0015031,2L
FBgn0031700,2L
FBgn0031701,2L
FBgn0031702,2L
FBgn0031703,2L
FBgn0016920,2L
FBgn0262097,2L
FBgn0016660,2L
FBgn0261963,2L
FBgn0031707,2L
FBgn0031708,2L
FBgn0000318,2L
FBgn0031710,2L
FBgn0031711,2L
FBgn0051989,2L
FBgn0051648,2L
FBgn0051915,2L
FBgn0031713,2L
FBgn0031715,2L
FBgn0031716,2L
FBgn0014189,2L
FBgn0002525,2L
FBgn0031717,2L
FBgn0031718,2L
FBgn0031719,2L
FBgn0031720,2L
FBgn0031721,2L
FBgn0004620,2L
FBgn0020429,2L
FBgn0031722,2L
FBgn0031723,2L
FBgn0031724,2L
FBgn0031725,2L
FBgn0051646,2L
FBgn0031728,2L
FBgn0031729,2L
FBgn0031730,2L
FBgn0031731,2L
FBgn0054011,2L
FBgn0031732,2L
FBgn0024191,2L
FBgn0031736,2L
FBgn0031733,2L
FBgn0031734,2L
FBgn0031735,2L
FBgn0031737,2L
FBgn0031738,2L
FBgn0051913,2L
FBgn0031739,2L
FBgn0031740,2L
FBgn0031741,2L
FBgn0262999,2L
FBgn0051644,2L
FBgn0085410,2L
FBgn0031745,2L
FBgn0259959,2L
FBgn0262814,2L
FBgn0031746,2L
FBgn0002856,2L
FBgn0002855,2L
FBgn0031747,2L
FBgn0043362,2L
FBgn0031749,2L
FBgn0031751,2L
FBgn0015381,2L
FBgn0261055,2L
FBgn0001128,2L
FBgn0031752,2L
FBgn0031753,2L
FBgn0040949,2L
FBgn0003980,2L
FBgn0086266,2L
FBgn0003979,2L
FBgn0086265,2L
FBgn0031756,2L
FBgn0031757,2L
FBgn0031758,2L
FBgn0000308,2L
FBgn0001942,2L
FBgn0001941,2L
FBgn0031759,2L
FBgn0031760,2L
FBgn0001089,2L
FBgn0031762,2L
FBgn0001170,2L
FBgn0031763,2L
FBgn0031764,2L
FBgn0031765,2L
FBgn0025742,2L
FBgn0031766,2L
FBgn0051643,2L
FBgn0000052,2L
FBgn0029161,2L
FBgn0085208,2L
FBgn0031768,2L
FBgn0031769,2L
FBgn0031770,2L
FBgn0085209,2L
FBgn0031771,2L
FBgn0031772,2L
FBgn0031773,2L
FBgn0031774,2L
FBgn0031775,2L
FBgn0031776,2L
FBgn0031777,2L
FBgn0028419,2L
FBgn0028420,2L
FBgn0031779,2L
FBgn0051641,2L
FBgn0051642,2L
FBgn0031781,2L
FBgn0031782,2L
FBgn0261683,2L
FBgn0261697,2L
FBgn0031784,2L
FBgn0031785,2L
FBgn0040950,2L
FBgn0051639,2L
FBgn0031786,2L
FBgn0085409,2L
FBgn0026755,2L
FBgn0053531,2L
FBgn0031791,2L
FBgn0031792,2L
FBgn0264543,2L
