Ensembl Gene ID,Chimp Ensembl Gene ID,Homology Type
ENSMUSG00000095309,,
ENSMUSG00000000126,ENSPTRG00000002062,ortholog_one2one
ENSMUSG00000086196,,
ENSMUSG00000054418,,
ENSMUSG00000095268,,
ENSMUSG00000082399,,
ENSMUSG00000097090,,
ENSMUSG00000020063,ENSPTRG00000002548,ortholog_one2one
ENSMUSG00000029623,ENSPTRG00000041711,ortholog_one2one
ENSMUSG00000073944,,
ENSMUSG00000097523,,
ENSMUSG00000085419,,
ENSMUSG00000083879,,
ENSMUSG00000080198,,
ENSMUSG00000001555,ENSPTRG00000009180,ortholog_one2one
ENSMUSG00000094221,,
ENSMUSG00000032855,ENSPTRG00000031093,ortholog_one2one
ENSMUSG00000044292,ENSPTRG00000042320,ortholog_many2many
ENSMUSG00000044292,ENSPTRG00000040805,ortholog_many2many
ENSMUSG00000044292,ENSPTRG00000004415,ortholog_many2many
ENSMUSG00000097518,,
ENSMUSG00000081243,,
ENSMUSG00000095264,ENSPTRG00000028266,ortholog_one2many
ENSMUSG00000082330,,
ENSMUSG00000085336,,
ENSMUSG00000097732,,
ENSMUSG00000073945,,
ENSMUSG00000086603,,
ENSMUSG00000087585,,
ENSMUSG00000094385,,
ENSMUSG00000030245,ENSPTRG00000004759,ortholog_one2one
ENSMUSG00000083705,,
ENSMUSG00000096540,,
ENSMUSG00000087181,,
ENSMUSG00000047352,,
ENSMUSG00000078954,,
ENSMUSG00000086588,,
ENSMUSG00000094001,,
ENSMUSG00000073946,,
ENSMUSG00000085975,,
ENSMUSG00000097006,,
ENSMUSG00000086050,,
ENSMUSG00000085718,,
ENSMUSG00000081236,,
ENSMUSG00000094115,ENSPTRG00000028266,ortholog_one2many
ENSMUSG00000015468,ENSPTRG00000034379,ortholog_one2one
ENSMUSG00000084052,,
ENSMUSG00000081157,,
ENSMUSG00000078984,,
ENSMUSG00000021273,ENSPTRG00000019997,ortholog_one2one
ENSMUSG00000017670,ENSPTRG00000013583,ortholog_one2one
ENSMUSG00000087057,,
ENSMUSG00000094680,,
ENSMUSG00000097517,,
ENSMUSG00000047544,,
ENSMUSG00000080982,,
ENSMUSG00000094727,,
ENSMUSG00000025816,ENSPTRG00000002293,ortholog_one2one
ENSMUSG00000085707,,
ENSMUSG00000096975,,
ENSMUSG00000002129,ENSPTRG00000014240,ortholog_one2one
ENSMUSG00000083276,,
ENSMUSG00000043331,,
ENSMUSG00000082263,,
