Ensembl Gene ID,Gene Biotype
ENSGALG00000028748,protein_coding
ENSGALG00000005149,protein_coding
ENSGALG00000026389,protein_coding
ENSGALG00000018770,protein_coding
ENSGALG00000028384,protein_coding
ENSGALG00000028948,protein_coding
ENSGALG00000017674,protein_coding
ENSGALG00000025711,protein_coding
ENSGALG00000028014,protein_coding
ENSGALG00000029162,protein_coding
ENSGALG00000000238,protein_coding
ENSGALG00000000307,protein_coding
ENSGALG00000022202,protein_coding
ENSGALG00000000327,protein_coding
ENSGALG00000000337,protein_coding
ENSGALG00000000352,protein_coding
ENSGALG00000000377,protein_coding
ENSGALG00000000406,protein_coding
ENSGALG00000000346,protein_coding
ENSGALG00000018772,protein_coding
ENSGALG00000000353,protein_coding
ENSGALG00000021710,protein_coding
ENSGALG00000027187,protein_coding
ENSGALG00000000368,protein_coding
ENSGALG00000014171,protein_coding
ENSGALG00000021211,protein_coding
ENSGALG00000000407,protein_coding
ENSGALG00000021212,protein_coding
ENSGALG00000024040,protein_coding
ENSGALG00000000408,protein_coding
ENSGALG00000000430,protein_coding
ENSGALG00000009151,protein_coding
ENSGALG00000000779,protein_coding
ENSGALG00000000458,protein_coding
ENSGALG00000028937,protein_coding
ENSGALG00000009123,protein_coding
ENSGALG00000000470,protein_coding
ENSGALG00000009105,protein_coding
ENSGALG00000000474,protein_coding
ENSGALG00000000490,protein_coding
ENSGALG00000027065,protein_coding
ENSGALG00000009120,protein_coding
ENSGALG00000027290,protein_coding
ENSGALG00000009079,protein_coding
ENSGALG00000026760,protein_coding
ENSGALG00000000558,protein_coding
ENSGALG00000027888,protein_coding
ENSGALG00000026288,protein_coding
ENSGALG00000009090,protein_coding
ENSGALG00000027323,protein_coding
ENSGALG00000024425,protein_coding
ENSGALG00000025791,protein_coding
ENSGALG00000028102,protein_coding
ENSGALG00000009060,protein_coding
ENSGALG00000009058,protein_coding
ENSGALG00000026748,protein_coding
ENSGALG00000009054,protein_coding
ENSGALG00000000577,protein_coding
ENSGALG00000028134,protein_coding
ENSGALG00000026027,protein_coding
ENSGALG00000001226,protein_coding
ENSGALG00000028896,protein_coding
ENSGALG00000026541,protein_coding
ENSGALG00000027742,protein_coding
ENSGALG00000021692,protein_coding
ENSGALG00000021693,protein_coding
ENSGALG00000000589,protein_coding
ENSGALG00000000599,protein_coding
ENSGALG00000000613,protein_coding
ENSGALG00000000619,protein_coding
ENSGALG00000000621,protein_coding
ENSGALG00000026574,protein_coding
ENSGALG00000009039,protein_coding
ENSGALG00000024398,protein_coding
