Ensembl Gene ID,Fly Ensembl Gene ID,Homology Type
ENSMUSG00000095309,,
ENSMUSG00000000126,FBgn0010453,ortholog_many2many
ENSMUSG00000095268,FBgn0005695,ortholog_one2many
ENSMUSG00000020063,FBgn0024291,ortholog_one2one
ENSMUSG00000029623,FBgn0029715,ortholog_one2many
ENSMUSG00000029623,FBgn0032115,ortholog_one2many
ENSMUSG00000073944,,
ENSMUSG00000001555,FBgn0037930,ortholog_many2many
ENSMUSG00000094221,,
ENSMUSG00000032855,,
ENSMUSG00000044292,,
ENSMUSG00000095264,,
ENSMUSG00000073945,,
ENSMUSG00000094385,,
ENSMUSG00000030245,FBgn0052576,ortholog_one2many
ENSMUSG00000096540,FBgn0005695,ortholog_one2many
ENSMUSG00000047352,,
ENSMUSG00000078954,FBgn0036257,ortholog_one2many
ENSMUSG00000094001,,
ENSMUSG00000073946,,
ENSMUSG00000094115,,
ENSMUSG00000015468,FBgn0004647,ortholog_one2many
ENSMUSG00000078984,,
ENSMUSG00000021273,,
ENSMUSG00000017670,FBgn0032409,ortholog_one2many
ENSMUSG00000094680,,
ENSMUSG00000047544,,
ENSMUSG00000094727,FBgn0005695,ortholog_one2many
ENSMUSG00000025816,FBgn0086357,ortholog_one2many
ENSMUSG00000002129,FBgn0038464,ortholog_one2one
ENSMUSG00000043331,,
ENSMUSG00000047714,FBgn0032632,ortholog_many2many
ENSMUSG00000047714,FBgn0028429,ortholog_many2many
ENSMUSG00000093986,,
ENSMUSG00000073947,,
ENSMUSG00000056296,,
ENSMUSG00000094211,FBgn0031772,ortholog_many2many
ENSMUSG00000094211,FBgn0261624,ortholog_many2many
ENSMUSG00000074754,,
ENSMUSG00000094010,,
ENSMUSG00000094361,FBgn0005695,ortholog_one2many
ENSMUSG00000061024,FBgn0052409,ortholog_one2one
ENSMUSG00000078624,,
ENSMUSG00000051493,,
ENSMUSG00000071104,,
ENSMUSG00000094589,,
ENSMUSG00000094119,,
ENSMUSG00000095833,FBgn0005695,ortholog_one2many
ENSMUSG00000067855,,
ENSMUSG00000001119,,
ENSMUSG00000095390,,
ENSMUSG00000096737,,
ENSMUSG00000009900,,
ENSMUSG00000056718,,
ENSMUSG00000049606,,
ENSMUSG00000096584,,
ENSMUSG00000041710,FBgn0005614,ortholog_many2many
ENSMUSG00000041710,FBgn0003861,ortholog_many2many
ENSMUSG00000041710,FBgn0032593,ortholog_many2many
ENSMUSG00000020747,FBgn0022153,ortholog_one2one
ENSMUSG00000051729,,
ENSMUSG00000095973,,
ENSMUSG00000025579,,
ENSMUSG00000094449,,
ENSMUSG00000045584,,
ENSMUSG00000032413,FBgn0004390,ortholog_one2many
ENSMUSG00000021939,FBgn0030521,ortholog_one2one
ENSMUSG00000041134,,
ENSMUSG00000046396,,
ENSMUSG00000091435,,
ENSMUSG00000028738,,
ENSMUSG00000043461,,
ENSMUSG00000039982,FBgn0000524,ortholog_one2many
ENSMUSG00000093934,,
ENSMUSG00000031636,,
ENSMUSG00000031864,FBgn0035462,ortholog_one2one
ENSMUSG00000073948,,
ENSMUSG00000094085,,
ENSMUSG00000027364,,
ENSMUSG00000034832,FBgn0263392,ortholog_one2many
ENSMUSG00000042402,,
ENSMUSG00000095774,,
ENSMUSG00000091638,,
ENSMUSG00000094601,,
ENSMUSG00000046805,,
ENSMUSG00000073949,,
ENSMUSG00000094309,FBgn0005695,ortholog_one2many
ENSMUSG00000024151,FBgn0015546,ortholog_one2one
ENSMUSG00000025909,FBgn0034135,ortholog_one2many
ENSMUSG00000048285,FBgn0004583,ortholog_one2one
ENSMUSG00000058079,,
ENSMUSG00000006931,,
ENSMUSG00000094254,,
ENSMUSG00000040065,,
ENSMUSG00000094284,,
ENSMUSG00000051427,,
ENSMUSG00000058976,FBgn0260936,ortholog_one2many
ENSMUSG00000024027,,
ENSMUSG00000072066,,
ENSMUSG00000095190,,
ENSMUSG00000058762,,
ENSMUSG00000095903,,
