Ensembl Gene ID,Platypus Ensembl Gene ID,Homology Type
ENSMUSG00000095309,,
ENSMUSG00000000126,ENSOANG00000015318,ortholog_one2one
ENSMUSG00000095268,,
ENSMUSG00000020063,ENSOANG00000004619,ortholog_many2many
ENSMUSG00000029623,ENSOANG00000007726,ortholog_one2one
ENSMUSG00000073944,ENSOANG00000011706,ortholog_one2many
ENSMUSG00000001555,ENSOANG00000003836,ortholog_one2one
ENSMUSG00000094221,,
ENSMUSG00000032855,ENSOANG00000006758,ortholog_one2many
ENSMUSG00000032855,ENSOANG00000032292,ortholog_one2many
ENSMUSG00000032855,ENSOANG00000028428,ortholog_one2many
ENSMUSG00000044292,,
ENSMUSG00000095264,,
ENSMUSG00000073945,ENSOANG00000011706,ortholog_one2many
ENSMUSG00000094385,,
ENSMUSG00000030245,ENSOANG00000014151,ortholog_one2one
ENSMUSG00000096540,,
ENSMUSG00000047352,,
ENSMUSG00000078954,ENSOANG00000030581,ortholog_many2many
ENSMUSG00000094001,,
ENSMUSG00000073946,ENSOANG00000011706,ortholog_one2many
ENSMUSG00000094115,,
ENSMUSG00000015468,ENSOANG00000014170,ortholog_many2many
ENSMUSG00000078984,,
ENSMUSG00000021273,,
ENSMUSG00000017670,ENSOANG00000006869,ortholog_one2one
ENSMUSG00000094680,,
ENSMUSG00000047544,,
ENSMUSG00000094727,,
ENSMUSG00000025816,ENSOANG00000015422,ortholog_one2one
ENSMUSG00000002129,ENSOANG00000029886,ortholog_one2one
ENSMUSG00000043331,,
ENSMUSG00000047714,ENSOANG00000012749,ortholog_one2one
ENSMUSG00000093986,,
ENSMUSG00000073947,,
ENSMUSG00000056296,ENSOANG00000001762,ortholog_one2one
ENSMUSG00000094211,ENSOANG00000005715,ortholog_one2many
ENSMUSG00000074754,,
ENSMUSG00000094010,,
ENSMUSG00000094361,,
ENSMUSG00000061024,ENSOANG00000012348,ortholog_one2one
ENSMUSG00000078624,,
ENSMUSG00000051493,ENSOANG00000015189,ortholog_one2many
ENSMUSG00000071104,ENSOANG00000007705,ortholog_one2one
ENSMUSG00000094589,,
ENSMUSG00000094119,,
ENSMUSG00000095833,,
ENSMUSG00000067855,,
ENSMUSG00000001119,ENSOANG00000006264,ortholog_one2one
ENSMUSG00000095390,,
ENSMUSG00000096737,,
ENSMUSG00000009900,ENSOANG00000003733,ortholog_one2one
ENSMUSG00000056718,,
ENSMUSG00000049606,ENSOANG00000007039,ortholog_one2one
ENSMUSG00000096584,,
ENSMUSG00000041710,ENSOANG00000002401,ortholog_one2one
ENSMUSG00000020747,ENSOANG00000008329,ortholog_one2one
ENSMUSG00000051729,,
