Ensembl Gene ID,Gene Biotype
ENSPTRG00000000102,protein_coding
ENSPTRG00000018957,protein_coding
ENSPTRG00000003141,protein_coding
ENSPTRG00000003154,protein_coding
ENSPTRG00000005696,protein_coding
ENSPTRG00000017695,protein_coding
ENSPTRG00000013793,protein_coding
ENSPTRG00000013792,protein_coding
ENSPTRG00000003144,protein_coding
ENSPTRG00000005693,protein_coding
ENSPTRG00000005692,protein_coding
ENSPTRG00000017038,protein_coding
ENSPTRG00000018949,protein_coding
ENSPTRG00000003142,protein_coding
ENSPTRG00000000101,protein_coding
ENSPTRG00000024151,protein_coding
ENSPTRG00000000104,protein_coding
ENSPTRG00000017043,protein_coding
ENSPTRG00000000111,protein_coding
ENSPTRG00000029128,protein_coding
ENSPTRG00000005694,protein_coding
ENSPTRG00000000103,protein_coding
ENSPTRG00000028486,protein_coding
ENSPTRG00000000109,protein_coding
ENSPTRG00000003153,protein_coding
ENSPTRG00000020055,protein_coding
ENSPTRG00000024170,protein_coding
ENSPTRG00000005690,protein_coding
ENSPTRG00000017031,protein_coding
ENSPTRG00000003126,protein_coding
ENSPTRG00000020052,protein_coding
ENSPTRG00000022488,protein_coding
ENSPTRG00000005684,protein_coding
ENSPTRG00000020053,protein_coding
ENSPTRG00000000091,protein_coding
ENSPTRG00000017053,protein_coding
ENSPTRG00000028769,protein_coding
ENSPTRG00000000092,protein_coding
ENSPTRG00000028763,protein_coding
ENSPTRG00000003128,protein_coding
ENSPTRG00000003129,protein_coding
ENSPTRG00000000093,protein_coding
ENSPTRG00000020054,protein_coding
ENSPTRG00000005685,protein_coding
ENSPTRG00000017052,protein_coding
ENSPTRG00000017050,protein_coding
ENSPTRG00000000094,protein_coding
ENSPTRG00000000096,protein_coding
ENSPTRG00000017049,protein_coding
ENSPTRG00000022489,protein_coding
ENSPTRG00000017048,protein_coding
ENSPTRG00000003130,protein_coding
ENSPTRG00000018952,protein_coding
ENSPTRG00000003132,protein_coding
ENSPTRG00000017047,protein_coding
ENSPTRG00000000089,protein_coding
ENSPTRG00000042501,protein_coding
ENSPTRG00000028653,protein_coding
ENSPTRG00000017042,protein_coding
ENSPTRG00000000106,protein_coding
ENSPTRG00000020056,protein_coding
