Ensembl Gene ID,Gene Biotype
ENSBTAG00000047958,protein_coding
ENSBTAG00000020495,protein_coding
ENSBTAG00000003540,protein_coding
ENSBTAG00000035144,protein_coding
ENSBTAG00000038537,protein_coding
ENSBTAG00000038364,protein_coding
ENSBTAG00000000617,protein_coding
ENSBTAG00000047333,protein_coding
ENSBTAG00000011895,protein_coding
ENSBTAG00000017746,protein_coding
ENSBTAG00000018857,protein_coding
ENSBTAG00000008584,protein_coding
ENSBTAG00000000079,protein_coding
ENSBTAG00000047124,protein_coding
ENSBTAG00000008585,protein_coding
ENSBTAG00000046332,protein_coding
ENSBTAG00000004965,protein_coding
ENSBTAG00000017053,protein_coding
ENSBTAG00000008180,protein_coding
ENSBTAG00000018284,protein_coding
ENSBTAG00000009387,protein_coding
ENSBTAG00000014612,protein_coding
ENSBTAG00000034225,protein_coding
ENSBTAG00000010180,protein_coding
ENSBTAG00000004870,protein_coding
ENSBTAG00000027205,protein_coding
ENSBTAG00000048153,protein_coding
ENSBTAG00000018691,protein_coding
ENSBTAG00000039837,protein_coding
ENSBTAG00000038418,protein_coding
ENSBTAG00000004217,protein_coding
ENSBTAG00000026065,protein_coding
ENSBTAG00000047434,protein_coding
ENSBTAG00000045608,protein_coding
ENSBTAG00000010500,protein_coding
ENSBTAG00000006112,protein_coding
ENSBTAG00000031593,protein_coding
ENSBTAG00000020072,protein_coding
ENSBTAG00000010773,protein_coding
ENSBTAG00000002134,protein_coding
ENSBTAG00000014620,protein_coding
ENSBTAG00000046449,protein_coding
ENSBTAG00000009381,protein_coding
ENSBTAG00000002985,protein_coding
ENSBTAG00000002865,protein_coding
ENSBTAG00000009739,protein_coding
ENSBTAG00000002779,protein_coding
ENSBTAG00000024801,protein_coding
ENSBTAG00000010765,protein_coding
ENSBTAG00000022684,protein_coding
ENSBTAG00000047877,protein_coding
ENSBTAG00000010003,protein_coding
ENSBTAG00000015316,protein_coding
ENSBTAG00000035013,protein_coding
ENSBTAG00000023073,protein_coding
ENSBTAG00000011032,protein_coding
ENSBTAG00000021822,protein_coding
ENSBTAG00000010367,protein_coding
ENSBTAG00000011034,protein_coding
ENSBTAG00000004922,protein_coding
ENSBTAG00000007473,protein_coding
ENSBTAG00000007477,protein_coding
ENSBTAG00000008519,protein_coding
ENSBTAG00000023074,protein_coding
ENSBTAG00000048171,protein_coding
ENSBTAG00000045626,protein_coding
ENSBTAG00000034952,protein_coding
ENSBTAG00000045932,protein_coding
ENSBTAG00000046204,protein_coding
ENSBTAG00000007340,protein_coding
