Ensembl Gene ID,Mus Ensembl Gene ID,Homology Type
ENSMUSG00000095309,ENSMUSG00000095309,ortholog_one2one
ENSMUSG00000000126,ENSMUSG00000000126,ortholog_one2one
ENSMUSG00000095268,ENSMUSG00000095268,ortholog_one2one
ENSMUSG00000020063,ENSMUSG00000020063,ortholog_one2one
ENSMUSG00000029623,ENSMUSG00000029623,ortholog_one2one
ENSMUSG00000073944,ENSMUSG00000073944,ortholog_one2one
ENSMUSG00000001555,ENSMUSG00000001555,ortholog_one2one
ENSMUSG00000094221,ENSMUSG00000094221,ortholog_one2one
ENSMUSG00000032855,ENSMUSG00000032855,ortholog_one2one
ENSMUSG00000044292,ENSMUSG00000044292,ortholog_one2one
ENSMUSG00000095264,ENSMUSG00000095264,ortholog_one2one
ENSMUSG00000073945,ENSMUSG00000073945,ortholog_one2one
ENSMUSG00000094385,ENSMUSG00000094385,ortholog_one2one
ENSMUSG00000030245,ENSMUSG00000030245,ortholog_one2one
ENSMUSG00000096540,ENSMUSG00000096540,ortholog_one2one
ENSMUSG00000047352,ENSMUSG00000047352,ortholog_one2one
ENSMUSG00000078954,ENSMUSG00000078954,ortholog_one2one
ENSMUSG00000094001,ENSMUSG00000094001,ortholog_one2one
ENSMUSG00000073946,ENSMUSG00000073946,ortholog_one2one
ENSMUSG00000094115,ENSMUSG00000094115,ortholog_one2one
ENSMUSG00000015468,ENSMUSG00000015468,ortholog_one2one
ENSMUSG00000078984,ENSMUSG00000078984,ortholog_one2one
ENSMUSG00000021273,ENSMUSG00000021273,ortholog_one2one
ENSMUSG00000017670,ENSMUSG00000017670,ortholog_one2one
ENSMUSG00000094680,ENSMUSG00000094680,ortholog_one2one
ENSMUSG00000047544,ENSMUSG00000047544,ortholog_one2one
ENSMUSG00000094727,ENSMUSG00000094727,ortholog_one2one
ENSMUSG00000025816,ENSMUSG00000025816,ortholog_one2one
ENSMUSG00000002129,ENSMUSG00000002129,ortholog_one2one
ENSMUSG00000043331,ENSMUSG00000043331,ortholog_one2one
ENSMUSG00000047714,ENSMUSG00000047714,ortholog_one2one
ENSMUSG00000093986,ENSMUSG00000093986,ortholog_one2one
ENSMUSG00000073947,ENSMUSG00000073947,ortholog_one2one
ENSMUSG00000056296,ENSMUSG00000056296,ortholog_one2one
ENSMUSG00000094211,ENSMUSG00000094211,ortholog_one2one
ENSMUSG00000074754,ENSMUSG00000074754,ortholog_one2one
ENSMUSG00000094010,ENSMUSG00000094010,ortholog_one2one
ENSMUSG00000094361,ENSMUSG00000094361,ortholog_one2one
ENSMUSG00000061024,ENSMUSG00000061024,ortholog_one2one
ENSMUSG00000078624,ENSMUSG00000078624,ortholog_one2one
ENSMUSG00000051493,ENSMUSG00000051493,ortholog_one2one
ENSMUSG00000071104,ENSMUSG00000071104,ortholog_one2one
ENSMUSG00000094589,ENSMUSG00000094589,ortholog_one2one
ENSMUSG00000094119,ENSMUSG00000094119,ortholog_one2one
ENSMUSG00000095833,ENSMUSG00000095833,ortholog_one2one
ENSMUSG00000067855,ENSMUSG00000067855,ortholog_one2one
ENSMUSG00000001119,ENSMUSG00000001119,ortholog_one2one
ENSMUSG00000095390,ENSMUSG00000095390,ortholog_one2one
ENSMUSG00000096737,ENSMUSG00000096737,ortholog_one2one
ENSMUSG00000009900,ENSMUSG00000009900,ortholog_one2one
ENSMUSG00000056718,ENSMUSG00000056718,ortholog_one2one
ENSMUSG00000049606,ENSMUSG00000049606,ortholog_one2one
ENSMUSG00000096584,ENSMUSG00000096584,ortholog_one2one
ENSMUSG00000041710,ENSMUSG00000041710,ortholog_one2one
ENSMUSG00000020747,ENSMUSG00000020747,ortholog_one2one
ENSMUSG00000051729,ENSMUSG00000051729,ortholog_one2one
ENSMUSG00000095973,ENSMUSG00000095973,ortholog_one2one
ENSMUSG00000025579,ENSMUSG00000025579,ortholog_one2one
ENSMUSG00000094449,ENSMUSG00000094449,ortholog_one2one
ENSMUSG00000045584,ENSMUSG00000045584,ortholog_one2one
ENSMUSG00000032413,ENSMUSG00000032413,ortholog_one2one
ENSMUSG00000021939,ENSMUSG00000021939,ortholog_one2one
ENSMUSG00000041134,ENSMUSG00000041134,ortholog_one2one
ENSMUSG00000046396,ENSMUSG00000046396,ortholog_one2one
ENSMUSG00000091435,ENSMUSG00000091435,ortholog_one2one
ENSMUSG00000028738,ENSMUSG00000028738,ortholog_one2one
ENSMUSG00000043461,ENSMUSG00000043461,ortholog_one2one
ENSMUSG00000039982,ENSMUSG00000039982,ortholog_one2one
ENSMUSG00000093934,ENSMUSG00000093934,ortholog_one2one
ENSMUSG00000031636,ENSMUSG00000031636,ortholog_one2one
ENSMUSG00000031864,ENSMUSG00000031864,ortholog_one2one
ENSMUSG00000073948,ENSMUSG00000073948,ortholog_one2one
ENSMUSG00000094085,ENSMUSG00000094085,ortholog_one2one
ENSMUSG00000027364,ENSMUSG00000027364,ortholog_one2one
ENSMUSG00000034832,ENSMUSG00000034832,ortholog_one2one
ENSMUSG00000042402,ENSMUSG00000042402,ortholog_one2one
ENSMUSG00000095774,ENSMUSG00000095774,ortholog_one2one
ENSMUSG00000091638,ENSMUSG00000091638,ortholog_one2one
ENSMUSG00000094601,ENSMUSG00000094601,ortholog_one2one
ENSMUSG00000046805,ENSMUSG00000046805,ortholog_one2one
ENSMUSG00000073949,ENSMUSG00000073949,ortholog_one2one
ENSMUSG00000094309,ENSMUSG00000094309,ortholog_one2one
ENSMUSG00000024151,ENSMUSG00000024151,ortholog_one2one
ENSMUSG00000025909,ENSMUSG00000025909,ortholog_one2one
ENSMUSG00000048285,ENSMUSG00000048285,ortholog_one2one
ENSMUSG00000058079,ENSMUSG00000058079,ortholog_one2one
ENSMUSG00000006931,ENSMUSG00000006931,ortholog_one2one
ENSMUSG00000094254,ENSMUSG00000094254,ortholog_one2one
ENSMUSG00000040065,ENSMUSG00000040065,ortholog_one2one
ENSMUSG00000094284,ENSMUSG00000094284,ortholog_one2one
ENSMUSG00000051427,ENSMUSG00000051427,ortholog_one2one
ENSMUSG00000058976,ENSMUSG00000058976,ortholog_one2one
ENSMUSG00000024027,ENSMUSG00000024027,ortholog_one2one
ENSMUSG00000072066,ENSMUSG00000072066,ortholog_one2one
ENSMUSG00000095190,ENSMUSG00000095190,ortholog_one2one
ENSMUSG00000058762,ENSMUSG00000058762,ortholog_one2one
ENSMUSG00000095903,ENSMUSG00000095903,ortholog_one2one
ENSMUSG00000050815,ENSMUSG00000050815,ortholog_one2one
ENSMUSG00000028329,ENSMUSG00000028329,ortholog_one2one
ENSMUSG00000083780,ENSMUSG00000083780,ortholog_one2one
ENSMUSG00000074865,ENSMUSG00000074865,ortholog_one2one
ENSMUSG00000028737,ENSMUSG00000028737,ortholog_one2one
ENSMUSG00000095768,ENSMUSG00000095768,ortholog_one2one
ENSMUSG00000046650,ENSMUSG00000046650,ortholog_one2one
ENSMUSG00000040963,ENSMUSG00000040963,ortholog_one2one
ENSMUSG00000021342,ENSMUSG00000021342,ortholog_one2one
ENSMUSG00000055820,ENSMUSG00000055820,ortholog_one2one
ENSMUSG00000095275,ENSMUSG00000095275,ortholog_one2one
ENSMUSG00000096436,ENSMUSG00000096436,ortholog_one2one
ENSMUSG00000059874,ENSMUSG00000059874,ortholog_one2one
