Ensembl Gene ID,Platypus Ensembl Gene ID,Homology Type
ENSG00000261657,,
ENSG00000223116,,
ENSG00000233440,,
ENSG00000207157,,
ENSG00000229483,,
ENSG00000252952,,
ENSG00000235205,,
ENSG00000232849,,
ENSG00000236803,,
ENSG00000232163,,
ENSG00000252365,ENSOANG00000018848,ortholog_one2many
ENSG00000252365,ENSOANG00000027064,ortholog_one2many
ENSG00000252365,ENSOANG00000018686,ortholog_one2many
ENSG00000252365,ENSOANG00000018024,ortholog_one2many
ENSG00000252365,ENSOANG00000018192,ortholog_one2many
ENSG00000229558,,
ENSG00000235784,,
ENSG00000224394,,
ENSG00000212559,,
ENSG00000232977,,
ENSG00000236520,,
ENSG00000227893,,
ENSG00000212057,,
ENSG00000222129,ENSOANG00000025613,ortholog_one2many
ENSG00000232102,,
ENSG00000242037,,
ENSG00000238230,,
ENSG00000227640,,
ENSG00000205861,,
ENSG00000235768,,
ENSG00000237924,,
ENSG00000260962,,
ENSG00000252335,ENSOANG00000027013,ortholog_one2many
ENSG00000238463,,
ENSG00000223298,ENSOANG00000016662,ortholog_many2many
ENSG00000196593,,
ENSG00000200211,,
ENSG00000271492,,
ENSG00000223392,,
ENSG00000228741,,
ENSG00000247400,,
ENSG00000225674,,
ENSG00000229622,,
ENSG00000252695,,
ENSG00000227213,,
ENSG00000227714,,
ENSG00000240868,,
ENSG00000232373,,
ENSG00000234627,,
ENSG00000251901,,
ENSG00000261498,,
ENSG00000226977,,
ENSG00000233545,,
ENSG00000242614,,
ENSG00000233273,,
ENSG00000205822,,
ENSG00000235137,,
ENSG00000243300,,
ENSG00000266216,,
ENSG00000244615,,
ENSG00000234267,,
ENSG00000243008,,
ENSG00000272329,,
ENSG00000211508,,
ENSG00000222472,,
ENSG00000207474,,
ENSG00000252154,,
ENSG00000225404,,
ENSG00000238522,ENSOANG00000027173,ortholog_one2many
ENSG00000233124,,
ENSG00000231417,,
ENSG00000202290,ENSOANG00000027143,ortholog_one2many
ENSG00000271625,,
ENSG00000226695,,
ENSG00000226134,,
ENSG00000238407,ENSOANG00000028221,ortholog_one2many
ENSG00000233291,,
ENSG00000270725,,
ENSG00000253771,,
ENSG00000232217,,
ENSG00000222969,,
ENSG00000263399,,
ENSG00000269189,,
ENSG00000269599,,
ENSG00000251299,,
ENSG00000231194,,
ENSG00000271437,,
ENSG00000232858,,
ENSG00000224418,,
ENSG00000256305,,
ENSG00000217686,,
ENSG00000234056,,
ENSG00000233549,,
ENSG00000238169,,
ENSG00000233662,,
ENSG00000225105,,
ENSG00000243366,,
ENSG00000235315,,
ENSG00000229918,,
ENSG00000261530,,
ENSG00000221324,,
ENSG00000260509,,
ENSG00000231981,,
ENSG00000234152,,
ENSG00000265546,,
ENSG00000260666,,
ENSG00000207298,,
ENSG00000199767,,
ENSG00000260992,,
ENSG00000180803,,
ENSG00000230871,,
ENSG00000242381,,
ENSG00000260334,,
ENSG00000223158,,
ENSG00000231983,,
ENSG00000234005,,
ENSG00000228889,,
ENSG00000233963,,
ENSG00000201793,,
ENSG00000218502,,
ENSG00000207719,,
ENSG00000234706,,
ENSG00000228808,,
ENSG00000271559,,
ENSG00000238241,,
ENSG00000227882,,
ENSG00000266207,,
ENSG00000203441,,
ENSG00000234031,,
ENSG00000212197,,
ENSG00000234168,,
ENSG00000237001,,
ENSG00000234239,,
ENSG00000230256,,
ENSG00000223782,,
ENSG00000263615,,
ENSG00000218198,,
ENSG00000227659,,
ENSG00000232162,,
ENSG00000234303,,
ENSG00000230641,,
ENSG00000234772,,
ENSG00000201245,,
ENSG00000238305,,
ENSG00000207500,ENSOANG00000027751,ortholog_one2one
ENSG00000260738,,
ENSG00000207051,ENSOANG00000017183,ortholog_one2one
ENSG00000221756,,
ENSG00000225999,,
ENSG00000252247,,
ENSG00000229609,,
ENSG00000236554,,
ENSG00000201242,,
ENSG00000203602,,
ENSG00000252499,,
ENSG00000228501,,
ENSG00000226703,,
ENSG00000261125,,
ENSG00000270632,,
ENSG00000207330,ENSOANG00000016661,ortholog_many2many
ENSG00000234650,,
ENSG00000247381,,
ENSG00000260704,,
ENSG00000242360,,
ENSG00000224356,,
ENSG00000271026,,
ENSG00000235115,,
ENSG00000234354,,
ENSG00000261485,,
ENSG00000237082,,
ENSG00000232587,,
ENSG00000200840,ENSOANG00000027045,ortholog_many2many
ENSG00000233009,,
ENSG00000235472,,
ENSG00000202237,,
ENSG00000214051,,
ENSG00000233588,,
ENSG00000229599,,
ENSG00000236339,,
ENSG00000272349,,
ENSG00000221670,,
ENSG00000201155,ENSOANG00000026884,ortholog_one2one
ENSG00000236758,,
ENSG00000215399,,
ENSG00000265164,,
ENSG00000223460,,
ENSG00000229975,,
ENSG00000270680,,
ENSG00000201690,,
ENSG00000179141,,
ENSG00000264482,,
ENSG00000236860,,
ENSG00000236258,,
ENSG00000224329,,
ENSG00000243319,,
ENSG00000224405,,
ENSG00000234445,,
ENSG00000122043,,
ENSG00000272143,,
ENSG00000266505,,
ENSG00000270581,,
ENSG00000261057,,
ENSG00000224511,,
ENSG00000269942,,
ENSG00000232117,,
ENSG00000238869,,
ENSG00000231633,,
ENSG00000232643,,
ENSG00000222301,ENSOANG00000026055,ortholog_one2many
ENSG00000266816,,
ENSG00000252928,,
ENSG00000250878,,
ENSG00000215049,,
ENSG00000272542,,
ENSG00000236463,,
ENSG00000234551,,
ENSG00000230474,,
ENSG00000225823,,
ENSG00000232307,,
ENSG00000238121,,
ENSG00000226620,,
ENSG00000225039,,
ENSG00000261577,,
ENSG00000252550,,
ENSG00000236444,,
ENSG00000222643,,
ENSG00000222682,,
ENSG00000213411,,
ENSG00000233532,,
ENSG00000232489,,
ENSG00000174418,,
ENSG00000224117,,
ENSG00000272274,,
ENSG00000230156,,
ENSG00000237879,,
ENSG00000227590,,
ENSG00000174408,,
ENSG00000224743,,
ENSG00000196777,,
ENSG00000239050,,
ENSG00000221316,,
ENSG00000201847,ENSOANG00000018901,ortholog_one2many
ENSG00000201847,ENSOANG00000017891,ortholog_one2many
ENSG00000221650,,
ENSG00000221473,,
ENSG00000227248,,
ENSG00000223177,,
ENSG00000232087,,
ENSG00000229938,,
ENSG00000236094,,
ENSG00000236242,,
ENSG00000238185,,
ENSG00000223617,,
ENSG00000230233,,
ENSG00000230403,,
ENSG00000236053,,
ENSG00000261163,,
ENSG00000265841,,
ENSG00000231894,,
ENSG00000229792,,
ENSG00000221041,,
ENSG00000234854,,
ENSG00000198618,,
ENSG00000229427,,
ENSG00000255813,,
ENSG00000201161,,
ENSG00000231428,,
ENSG00000232193,,
ENSG00000229715,,
ENSG00000226204,,
ENSG00000265885,,
ENSG00000238629,,
ENSG00000235965,,
ENSG00000224821,,
ENSG00000235822,,
ENSG00000229289,,
ENSG00000237637,,
ENSG00000232814,,
ENSG00000226818,,
ENSG00000230633,,
ENSG00000255831,,
