Ensembl Gene ID,Chromosome Name
ENSG00000215405,15
ENSG00000268343,15
ENSG00000230031,15
ENSG00000138593,15
ENSG00000268531,15
ENSG00000233917,15
ENSG00000166157,21
ENSG00000256715,21
ENSG00000166351,21
ENSG00000269011,21
ENSG00000168675,18
ENSG00000188992,21
ENSG00000185272,21
ENSG00000182974,15
ENSG00000183706,15
ENSG00000269182,15
ENSG00000155304,21
ENSG00000197414,15
ENSG00000166200,15
ENSG00000155307,21
ENSG00000243440,21
ENSG00000153575,15
ENSG00000180530,21
ENSG00000137824,15
ENSG00000259458,15
ENSG00000137880,15
ENSG00000104129,15
ENSG00000177150,18
ENSG00000155313,21
ENSG00000101638,18
ENSG00000232560,21
ENSG00000154639,21
ENSG00000101654,18
ENSG00000078043,18
ENSG00000156958,15
ENSG00000154640,21
ENSG00000188277,15
ENSG00000249139,20
ENSG00000158901,20
ENSG00000140416,15
ENSG00000180205,20
ENSG00000154642,21
ENSG00000140577,15
ENSG00000166140,15
ENSG00000101138,20
ENSG00000154645,21
ENSG00000180305,20
ENSG00000068793,15
ENSG00000180083,20
ENSG00000182931,20
ENSG00000154646,21
ENSG00000168634,20
ENSG00000149651,20
ENSG00000101365,20
ENSG00000167216,18
ENSG00000124116,20
ENSG00000087589,20
ENSG00000154654,21
ENSG00000166143,15
ENSG00000166262,15
ENSG00000176136,18
ENSG00000185231,18
ENSG00000103642,15
ENSG00000197299,15
ENSG00000154719,21
ENSG00000175322,18
ENSG00000101160,20
ENSG00000022277,20
ENSG00000166145,15
ENSG00000088881,20
ENSG00000101162,20
ENSG00000140285,15
ENSG00000183206,18
ENSG00000101457,20
ENSG00000266996,18
ENSG00000154721,21
ENSG00000124172,20
ENSG00000234298,18
ENSG00000185088,15
ENSG00000183791,18
ENSG00000206181,18
ENSG00000170122,9
ENSG00000166128,15
ENSG00000175063,20
ENSG00000124091,20
ENSG00000101166,20
ENSG00000167220,18
ENSG00000154723,21
ENSG00000171448,9
ENSG00000124103,20
ENSG00000104047,15
ENSG00000088882,20
ENSG00000213714,20
ENSG00000104140,15
ENSG00000140564,15
ENSG00000140157,15
ENSG00000267228,18
ENSG00000154727,21
ENSG00000087510,20
ENSG00000124203,20
ENSG00000101470,20
ENSG00000104142,15
ENSG00000138613,15
ENSG00000011454,9
ENSG00000134049,18
ENSG00000124205,20
ENSG00000128917,15
ENSG00000198326,20
ENSG00000241690,20
ENSG00000180777,18
ENSG00000101144,20
ENSG00000215474,18
ENSG00000258713,20
ENSG00000188394,9
ENSG00000172785,9
ENSG00000132635,20
ENSG00000175387,18
ENSG00000104043,15
ENSG00000165209,9
ENSG00000182511,15
ENSG00000170113,15
ENSG00000054796,20
ENSG00000074410,15
ENSG00000087495,20
ENSG00000183784,9
ENSG00000067900,18
ENSG00000128965,15
ENSG00000124104,20
ENSG00000148204,9
ENSG00000101146,20
ENSG00000215305,20
ENSG00000153666,15
ENSG00000142192,21
ENSG00000101473,20
ENSG00000128908,15
ENSG00000140284,15
ENSG00000198033,13
ENSG00000121388,13
ENSG00000256222,20
ENSG00000132819,20
ENSG00000107099,9
ENSG00000119522,9
ENSG00000141449,18
ENSG00000166265,21
ENSG00000196074,20
ENSG00000140287,15
ENSG00000132958,13
ENSG00000140455,15
ENSG00000184828,18
ENSG00000154734,21
ENSG00000106689,9
ENSG00000259455,15
ENSG00000154736,21
ENSG00000261739,15
ENSG00000196199,13
ENSG00000178997,15
ENSG00000156239,21
ENSG00000196547,15
ENSG00000107104,9
ENSG00000121390,13
ENSG00000174450,15
ENSG00000268960,18
ENSG00000269591,13
ENSG00000119408,9
ENSG00000137090,9
ENSG00000104064,15
ENSG00000179455,15
ENSG00000134030,18
ENSG00000064218,9
ENSG00000132950,13
ENSG00000128322,22
ENSG00000198862,21
ENSG00000254585,15
ENSG00000182636,15
ENSG00000132801,20
ENSG00000136930,9
ENSG00000185823,15
ENSG00000173253,9
ENSG00000168612,20
ENSG00000124092,20
ENSG00000187446,15
ENSG00000149634,20
ENSG00000124257,20
ENSG00000180264,9
ENSG00000104147,15
ENSG00000189269,22
ENSG00000156253,21
ENSG00000136931,9
ENSG00000101665,18
ENSG00000196227,20
ENSG00000132670,20
ENSG00000132825,20
ENSG00000128739,15
ENSG00000148200,9
ENSG00000124215,20
ENSG00000159496,22
ENSG00000064601,20
ENSG00000185585,9
ENSG00000156256,21
ENSG00000141446,18
ENSG00000121741,13
ENSG00000137804,15
ENSG00000197361,15
ENSG00000136918,9
ENSG00000080503,9
ENSG00000136942,9
ENSG00000136950,9
ENSG00000176659,20
ENSG00000187792,22
ENSG00000167088,18
ENSG00000128218,22
ENSG00000138592,15
ENSG00000179242,20
ENSG00000136935,9
ENSG00000169314,22
ENSG00000173281,8
ENSG00000103657,15
ENSG00000253426,8
ENSG00000158201,18
ENSG00000250479,22
ENSG00000124253,20
ENSG00000121743,13
ENSG00000141627,18
ENSG00000165474,13
ENSG00000140553,15
ENSG00000099953,22
ENSG00000179253,20
ENSG00000121742,13
ENSG00000173611,9
ENSG00000156261,21
ENSG00000267954,22
ENSG00000273173,15
ENSG00000173273,8
ENSG00000130699,20
ENSG00000147852,9
ENSG00000165475,13
ENSG00000035664,15
ENSG00000137806,15
ENSG00000099956,22
ENSG00000177576,18
ENSG00000125787,20
ENSG00000119414,9
ENSG00000137815,15
ENSG00000101752,18
ENSG00000124256,20
ENSG00000166797,15
ENSG00000099958,22
ENSG00000168263,9
ENSG00000215472,18
ENSG00000125901,20
ENSG00000101405,20
ENSG00000149657,20
ENSG00000170236,15
ENSG00000101200,20
ENSG00000136933,9
ENSG00000147535,8
ENSG00000080608,9
ENSG00000032742,13
ENSG00000044574,9
ENSG00000156265,21
ENSG00000214265,15
ENSG00000124225,20
ENSG00000175806,8
ENSG00000172458,13
ENSG00000028528,15
ENSG00000133460,22
ENSG00000092439,15
ENSG00000169762,4
ENSG00000150456,13
ENSG00000265681,18
ENSG00000101182,20
ENSG00000114062,15
ENSG00000176731,8
ENSG00000156273,21
ENSG00000124237,20
ENSG00000080298,9
ENSG00000100979,20
ENSG00000137825,15
ENSG00000124227,20
ENSG00000132953,13
ENSG00000263588,18
ENSG00000185019,20
ENSG00000203286,9
ENSG00000123908,8
ENSG00000251357,22
ENSG00000187954,8
ENSG00000240972,22
ENSG00000141448,18
ENSG00000215251,20
ENSG00000218537,22
ENSG00000124224,20
ENSG00000062524,15
ENSG00000133433,22
ENSG00000088899,20
ENSG00000212710,18
ENSG00000107249,9
ENSG00000150457,13
ENSG00000099974,22
ENSG00000184647,8
ENSG00000198171,20
ENSG00000099977,22
ENSG00000184402,20
ENSG00000150459,13
ENSG00000145321,4
ENSG00000183638,8
ENSG00000099984,22
ENSG00000171060,8
ENSG00000171189,21
ENSG00000125877,20
ENSG00000165219,9
ENSG00000101670,18
ENSG00000165480,13
ENSG00000171056,8
ENSG00000106688,9
ENSG00000172007,4
ENSG00000184674,22
ENSG00000258724,8
ENSG00000101773,18
ENSG00000138600,15
ENSG00000184508,15
ENSG00000124209,20
ENSG00000147548,8
ENSG00000157734,15
ENSG00000183653,21
ENSG00000185015,8
ENSG00000156282,21
ENSG00000173141,13
ENSG00000254093,8
ENSG00000156284,21
ENSG00000188694,21
ENSG00000167702,8
ENSG00000232263,21
ENSG00000166965,15
ENSG00000197683,21
ENSG00000166794,15
ENSG00000206107,21
ENSG00000186980,21
ENSG00000182816,21
ENSG00000145391,4
ENSG00000198390,21
ENSG00000240432,21
ENSG00000171044,8
ENSG00000186971,21
ENSG00000186970,21
ENSG00000170006,4
ENSG00000180776,13
ENSG00000184351,21
ENSG00000186965,21
ENSG00000103932,15
ENSG00000124164,20
ENSG00000244025,21
ENSG00000186967,21
ENSG00000101181,20
ENSG00000186977,21
ENSG00000186925,21
ENSG00000244362,21
ENSG00000206106,21
ENSG00000169989,4
ENSG00000212938,21
ENSG00000106686,9
ENSG00000215346,8
ENSG00000186930,21
ENSG00000145348,4
ENSG00000186924,21
ENSG00000184724,21
ENSG00000099991,22
ENSG00000244624,21
ENSG00000206105,21
ENSG00000088836,20
ENSG00000184032,21
ENSG00000206104,21
ENSG00000231068,21
ENSG00000206190,15
ENSG00000104643,8
ENSG00000187026,21
ENSG00000165487,13
ENSG00000187005,21
ENSG00000183640,21
ENSG00000164113,4
ENSG00000182591,21
ENSG00000206102,21
ENSG00000198901,15
ENSG00000164144,4
ENSG00000151615,4
ENSG00000205808,9
ENSG00000167315,18
ENSG00000198768,20
