Ensembl Gene ID,Gene Biotype
ENSRNOG00000050307,protein_coding
ENSRNOG00000046604,protein_coding
ENSRNOG00000050934,protein_coding
ENSRNOG00000049709,protein_coding
ENSRNOG00000050619,protein_coding
ENSRNOG00000048089,protein_coding
ENSRNOG00000045523,protein_coding
ENSRNOG00000016599,protein_coding
ENSRNOG00000047883,protein_coding
ENSRNOG00000047648,protein_coding
ENSRNOG00000048717,protein_coding
ENSRNOG00000046637,protein_coding
ENSRNOG00000020011,protein_coding
ENSRNOG00000046743,protein_coding
ENSRNOG00000046750,protein_coding
ENSRNOG00000049993,protein_coding
ENSRNOG00000047858,protein_coding
ENSRNOG00000048957,protein_coding
ENSRNOG00000045996,protein_coding
ENSRNOG00000048620,protein_coding
ENSRNOG00000050515,protein_coding
ENSRNOG00000048198,protein_coding
ENSRNOG00000050685,protein_coding
ENSRNOG00000047352,protein_coding
ENSRNOG00000048466,protein_coding
ENSRNOG00000045645,protein_coding
ENSRNOG00000046614,protein_coding
ENSRNOG00000007950,protein_coding
ENSRNOG00000050590,protein_coding
ENSRNOG00000048792,protein_coding
ENSRNOG00000049322,protein_coding
ENSRNOG00000045784,protein_coding
ENSRNOG00000046908,protein_coding
ENSRNOG00000046093,protein_coding
ENSRNOG00000047640,protein_coding
ENSRNOG00000012446,protein_coding
ENSRNOG00000047201,protein_coding
ENSRNOG00000017413,protein_coding
ENSRNOG00000048972,protein_coding
ENSRNOG00000025884,protein_coding
ENSRNOG00000048039,protein_coding
ENSRNOG00000011330,protein_coding
ENSRNOG00000011635,protein_coding
ENSRNOG00000026262,protein_coding
ENSRNOG00000050134,protein_coding
ENSRNOG00000046985,protein_coding
ENSRNOG00000047192,protein_coding
ENSRNOG00000050034,protein_coding
ENSRNOG00000046212,protein_coding
ENSRNOG00000049312,protein_coding
ENSRNOG00000029744,protein_coding
ENSRNOG00000047669,protein_coding
ENSRNOG00000026220,protein_coding
ENSRNOG00000011865,protein_coding
ENSRNOG00000011901,protein_coding
ENSRNOG00000012222,protein_coding
ENSRNOG00000012343,protein_coding
ENSRNOG00000012371,protein_coding
ENSRNOG00000022955,protein_coding
ENSRNOG00000033133,protein_coding
ENSRNOG00000002697,protein_coding
ENSRNOG00000031197,protein_coding
ENSRNOG00000025791,protein_coding
ENSRNOG00000011009,protein_coding
ENSRNOG00000010691,protein_coding
ENSRNOG00000025409,protein_coding
ENSRNOG00000025420,protein_coding
ENSRNOG00000012752,protein_coding
ENSRNOG00000024066,protein_coding
ENSRNOG00000012853,protein_coding
ENSRNOG00000024071,protein_coding
ENSRNOG00000016417,protein_coding
ENSRNOG00000049180,protein_coding
ENSRNOG00000013301,protein_coding
ENSRNOG00000016366,protein_coding
ENSRNOG00000013324,protein_coding
ENSRNOG00000015332,protein_coding
ENSRNOG00000013481,protein_coding
ENSRNOG00000038254,protein_coding
ENSRNOG00000014981,protein_coding
ENSRNOG00000011274,protein_coding
ENSRNOG00000011782,protein_coding
ENSRNOG00000012007,protein_coding
ENSRNOG00000012271,protein_coding
ENSRNOG00000012447,protein_coding
ENSRNOG00000012482,protein_coding
ENSRNOG00000031022,protein_coding
ENSRNOG00000023492,protein_coding
ENSRNOG00000014031,protein_coding
ENSRNOG00000013714,protein_coding
ENSRNOG00000029370,protein_coding
ENSRNOG00000013281,protein_coding
ENSRNOG00000011863,protein_coding
ENSRNOG00000043413,protein_coding
ENSRNOG00000023092,protein_coding
ENSRNOG00000023433,protein_coding
ENSRNOG00000011883,protein_coding
ENSRNOG00000012899,protein_coding
ENSRNOG00000011933,protein_coding
ENSRNOG00000042179,protein_coding
ENSRNOG00000012622,protein_coding
ENSRNOG00000046132,protein_coding
ENSRNOG00000012795,protein_coding
ENSRNOG00000013216,protein_coding
ENSRNOG00000049069,protein_coding
ENSRNOG00000023412,protein_coding
ENSRNOG00000046720,protein_coding
ENSRNOG00000013460,protein_coding
ENSRNOG00000013465,protein_coding
ENSRNOG00000050746,protein_coding
ENSRNOG00000031773,protein_coding
ENSRNOG00000010008,protein_coding
ENSRNOG00000023376,protein_coding
ENSRNOG00000046273,protein_coding
ENSRNOG00000048461,protein_coding
ENSRNOG00000041370,protein_coding
ENSRNOG00000030285,protein_coding
ENSRNOG00000012597,protein_coding
ENSRNOG00000010189,protein_coding
ENSRNOG00000000720,protein_coding
ENSRNOG00000011119,protein_coding
ENSRNOG00000000718,protein_coding
ENSRNOG00000012016,protein_coding
ENSRNOG00000010488,protein_coding
ENSRNOG00000000715,protein_coding
ENSRNOG00000014087,protein_coding
ENSRNOG00000040257,protein_coding
ENSRNOG00000014626,protein_coding
ENSRNOG00000011300,protein_coding
ENSRNOG00000010558,protein_coding
ENSRNOG00000040205,protein_coding
ENSRNOG00000028774,protein_coding
ENSRNOG00000030840,protein_coding
ENSRNOG00000011307,protein_coding
ENSRNOG00000050949,protein_coding
ENSRNOG00000025860,protein_coding
ENSRNOG00000029614,protein_coding
ENSRNOG00000014896,protein_coding
ENSRNOG00000047436,protein_coding
ENSRNOG00000011636,protein_coding
ENSRNOG00000046857,protein_coding
ENSRNOG00000014963,protein_coding
ENSRNOG00000012623,protein_coding
ENSRNOG00000029598,protein_coding
ENSRNOG00000039891,protein_coding
ENSRNOG00000013264,protein_coding
ENSRNOG00000025843,protein_coding
ENSRNOG00000048513,protein_coding
ENSRNOG00000029763,protein_coding
ENSRNOG00000028740,protein_coding
ENSRNOG00000045844,protein_coding
ENSRNOG00000015679,protein_coding
ENSRNOG00000013346,protein_coding
ENSRNOG00000033441,protein_coding
ENSRNOG00000013574,protein_coding
ENSRNOG00000015720,protein_coding
ENSRNOG00000029147,protein_coding
ENSRNOG00000016887,protein_coding
ENSRNOG00000032834,protein_coding
ENSRNOG00000050218,protein_coding
ENSRNOG00000016874,protein_coding
ENSRNOG00000030930,protein_coding
ENSRNOG00000016190,protein_coding
ENSRNOG00000016800,protein_coding
ENSRNOG00000001585,protein_coding
ENSRNOG00000050713,protein_coding
ENSRNOG00000014133,protein_coding
ENSRNOG00000021966,protein_coding
ENSRNOG00000030363,protein_coding
ENSRNOG00000001573,protein_coding
ENSRNOG00000016234,protein_coding
ENSRNOG00000014363,protein_coding
ENSRNOG00000026023,protein_coding
ENSRNOG00000014750,protein_coding
ENSRNOG00000001557,protein_coding
ENSRNOG00000016467,protein_coding
ENSRNOG00000016043,protein_coding
ENSRNOG00000016278,protein_coding
ENSRNOG00000001555,protein_coding
ENSRNOG00000016326,protein_coding
ENSRNOG00000016535,protein_coding
ENSRNOG00000015867,protein_coding
ENSRNOG00000001554,protein_coding
ENSRNOG00000016558,protein_coding
ENSRNOG00000015823,protein_coding
ENSRNOG00000001915,protein_coding
ENSRNOG00000016991,protein_coding
ENSRNOG00000001916,protein_coding
ENSRNOG00000015602,protein_coding
ENSRNOG00000028380,protein_coding
ENSRNOG00000017471,protein_coding
ENSRNOG00000047243,protein_coding
ENSRNOG00000050092,protein_coding
ENSRNOG00000017841,protein_coding
ENSRNOG00000017159,protein_coding
ENSRNOG00000043286,protein_coding
