Ensembl Gene ID,Chromosome Name
ENSOANG00000001765,1
ENSOANG00000011201,1
ENSOANG00000011202,1
ENSOANG00000011203,1
ENSOANG00000032101,1
ENSOANG00000010771,1
ENSOANG00000009205,1
ENSOANG00000009206,1
ENSOANG00000011060,1
ENSOANG00000011063,1
ENSOANG00000011064,1
ENSOANG00000030838,1
ENSOANG00000011065,1
ENSOANG00000011067,1
ENSOANG00000011068,1
ENSOANG00000011069,1
ENSOANG00000011071,1
ENSOANG00000011072,1
ENSOANG00000011073,1
ENSOANG00000011074,1
ENSOANG00000011075,1
ENSOANG00000011076,1
ENSOANG00000011078,1
ENSOANG00000014752,1
ENSOANG00000014753,1
ENSOANG00000014754,1
ENSOANG00000014755,1
ENSOANG00000014756,1
ENSOANG00000014757,1
ENSOANG00000014758,1
ENSOANG00000014759,1
ENSOANG00000014760,1
ENSOANG00000014761,1
ENSOANG00000014765,1
ENSOANG00000014766,1
ENSOANG00000031637,1
ENSOANG00000020641,1
ENSOANG00000031841,1
ENSOANG00000014767,1
ENSOANG00000014768,1
ENSOANG00000014769,1
ENSOANG00000014771,1
ENSOANG00000001603,1
ENSOANG00000001605,1
ENSOANG00000001607,1
ENSOANG00000001609,1
ENSOANG00000001610,1
ENSOANG00000001613,1
ENSOANG00000001614,1
ENSOANG00000001617,1
ENSOANG00000001618,1
ENSOANG00000001620,1
ENSOANG00000001624,1
ENSOANG00000001626,1
ENSOANG00000001627,1
ENSOANG00000004075,1
ENSOANG00000004074,1
ENSOANG00000004073,1
ENSOANG00000004072,1
ENSOANG00000029198,1
ENSOANG00000015788,1
ENSOANG00000015787,1
ENSOANG00000015785,1
ENSOANG00000015784,1
ENSOANG00000015783,1
ENSOANG00000015782,1
ENSOANG00000015781,1
ENSOANG00000015780,1
ENSOANG00000015779,1
ENSOANG00000015778,1
ENSOANG00000015777,1
ENSOANG00000015776,1
ENSOANG00000015775,1
ENSOANG00000015774,1
ENSOANG00000015773,1
ENSOANG00000020639,1
ENSOANG00000015771,1
ENSOANG00000015770,1
ENSOANG00000015769,1
ENSOANG00000015768,1
ENSOANG00000015767,1
ENSOANG00000015766,1
ENSOANG00000015764,1
ENSOANG00000015763,1
ENSOANG00000015762,1
ENSOANG00000015761,1
ENSOANG00000031473,1
ENSOANG00000003104,1
ENSOANG00000003103,1
ENSOANG00000003102,1
ENSOANG00000003101,1
ENSOANG00000003100,1
ENSOANG00000014104,1
ENSOANG00000014103,1
ENSOANG00000020633,1
ENSOANG00000012631,1
ENSOANG00000012630,1
ENSOANG00000012628,1
ENSOANG00000012627,1
ENSOANG00000012625,1
ENSOANG00000012624,1
ENSOANG00000012623,1
ENSOANG00000012621,1
ENSOANG00000012620,1
ENSOANG00000030036,1
ENSOANG00000015099,1
ENSOANG00000015098,1
ENSOANG00000029292,1
ENSOANG00000015363,1
ENSOANG00000015364,1
ENSOANG00000015365,1
ENSOANG00000031880,1
ENSOANG00000009963,1
ENSOANG00000009962,1
ENSOANG00000003474,1
ENSOANG00000011038,1
ENSOANG00000015631,1
ENSOANG00000015633,1
ENSOANG00000013917,1
ENSOANG00000014633,1
ENSOANG00000014635,1
ENSOANG00000014636,1
ENSOANG00000000767,1
ENSOANG00000009546,1
ENSOANG00000000773,1
ENSOANG00000000782,1
ENSOANG00000000785,1
ENSOANG00000000780,1
ENSOANG00000000786,1
ENSOANG00000000792,1
ENSOANG00000000793,1
ENSOANG00000000794,1
ENSOANG00000000795,1
ENSOANG00000000797,1
ENSOANG00000000798,1
ENSOANG00000030707,1
ENSOANG00000000799,1
ENSOANG00000000800,1
ENSOANG00000014971,1
ENSOANG00000014972,1
ENSOANG00000014973,1
ENSOANG00000014974,1
ENSOANG00000014976,1
ENSOANG00000029184,1
ENSOANG00000014979,1
ENSOANG00000014980,1
ENSOANG00000014981,1
ENSOANG00000002829,1
ENSOANG00000029800,1
ENSOANG00000004753,1
ENSOANG00000004754,1
ENSOANG00000004755,1
ENSOANG00000004756,1
ENSOANG00000004757,1
ENSOANG00000004758,1
ENSOANG00000002331,1
ENSOANG00000002332,1
ENSOANG00000002333,1
ENSOANG00000002334,1
ENSOANG00000002336,1
ENSOANG00000002340,1
ENSOANG00000002341,1
ENSOANG00000004483,1
ENSOANG00000002670,1
ENSOANG00000002667,1
ENSOANG00000029606,1
ENSOANG00000020612,1
ENSOANG00000002666,1
ENSOANG00000002665,1
ENSOANG00000002664,1
ENSOANG00000001088,1
ENSOANG00000014500,1
ENSOANG00000014499,1
ENSOANG00000014497,1
ENSOANG00000031570,1
ENSOANG00000014496,1
ENSOANG00000005507,1
ENSOANG00000012352,1
ENSOANG00000003443,1
ENSOANG00000003444,1
ENSOANG00000001512,1
ENSOANG00000001510,1
ENSOANG00000001509,1
ENSOANG00000001502,1
ENSOANG00000028392,1
ENSOANG00000029234,1
ENSOANG00000001622,1
ENSOANG00000001625,1
ENSOANG00000031483,1
ENSOANG00000013796,1
ENSOANG00000009452,1
ENSOANG00000002196,1
ENSOANG00000002194,1
ENSOANG00000002193,1
ENSOANG00000002192,1
ENSOANG00000030721,1
ENSOANG00000032105,1
ENSOANG00000029334,1
ENSOANG00000005987,1
ENSOANG00000015673,1
ENSOANG00000002007,1
ENSOANG00000002008,1
ENSOANG00000015108,1
ENSOANG00000014360,1
ENSOANG00000003869,1
ENSOANG00000007364,1
ENSOANG00000007365,1
ENSOANG00000000457,1
ENSOANG00000020607,1
ENSOANG00000000614,1
ENSOANG00000000613,1
ENSOANG00000020605,1
ENSOANG00000000611,1
ENSOANG00000007703,1
ENSOANG00000007704,1
ENSOANG00000029848,1
ENSOANG00000002495,1
ENSOANG00000009142,1
ENSOANG00000009141,1
ENSOANG00000009085,1
ENSOANG00000020603,1
ENSOANG00000006827,1
ENSOANG00000006826,1
ENSOANG00000003416,1
ENSOANG00000003417,1
ENSOANG00000002685,1
ENSOANG00000002683,1
ENSOANG00000002680,1
ENSOANG00000032040,1
ENSOANG00000000204,1
ENSOANG00000012051,1
ENSOANG00000001137,1
ENSOANG00000029499,1
ENSOANG00000010961,1
ENSOANG00000007096,1
ENSOANG00000020597,1
ENSOANG00000007097,1
ENSOANG00000013116,1
ENSOANG00000004821,10
ENSOANG00000004822,10
ENSOANG00000029103,10
ENSOANG00000004823,10
ENSOANG00000004824,10
ENSOANG00000004825,10
ENSOANG00000004826,10
ENSOANG00000004827,10
ENSOANG00000004828,10
ENSOANG00000004829,10
ENSOANG00000004830,10
ENSOANG00000000410,10
ENSOANG00000000409,10
ENSOANG00000000407,10
ENSOANG00000000405,10
ENSOANG00000029438,10
ENSOANG00000000404,10
ENSOANG00000000403,10
ENSOANG00000000818,10
ENSOANG00000000823,10
ENSOANG00000000822,10
ENSOANG00000000821,10
ENSOANG00000000820,10
ENSOANG00000000819,10
ENSOANG00000000817,10
ENSOANG00000000816,10
ENSOANG00000000815,10
ENSOANG00000000814,10
ENSOANG00000031572,10
ENSOANG00000011440,10
ENSOANG00000011442,10
ENSOANG00000011443,10
ENSOANG00000011447,10
ENSOANG00000011448,10
ENSOANG00000011449,10
ENSOANG00000011451,10
ENSOANG00000011453,10
ENSOANG00000011454,10
ENSOANG00000011455,10
ENSOANG00000011456,10
ENSOANG00000011457,10
ENSOANG00000011458,10
ENSOANG00000011459,10
ENSOANG00000011460,10
ENSOANG00000011461,10
ENSOANG00000011462,10
ENSOANG00000011463,10
ENSOANG00000011464,10
ENSOANG00000011465,10
ENSOANG00000011466,10
ENSOANG00000011467,10
ENSOANG00000011468,10
ENSOANG00000011470,10
ENSOANG00000011469,10
ENSOANG00000011471,10
ENSOANG00000029905,10
ENSOANG00000011472,10
ENSOANG00000022572,10
ENSOANG00000011473,10
ENSOANG00000029408,10
ENSOANG00000030827,10
ENSOANG00000011475,10
ENSOANG00000011476,10
ENSOANG00000011477,10
ENSOANG00000011478,10
ENSOANG00000011479,10
ENSOANG00000028348,10
ENSOANG00000011480,10
ENSOANG00000011481,10
ENSOANG00000011482,10
ENSOANG00000011483,10
ENSOANG00000011484,10
ENSOANG00000031355,10
ENSOANG00000031513,10
ENSOANG00000032207,10
ENSOANG00000005001,10
ENSOANG00000005002,10
ENSOANG00000005003,10
ENSOANG00000005005,10
ENSOANG00000029839,10
ENSOANG00000005006,10
ENSOANG00000005007,10
ENSOANG00000005009,10
ENSOANG00000005011,10
ENSOANG00000005012,10
ENSOANG00000005013,10
ENSOANG00000005015,10
ENSOANG00000005016,10
ENSOANG00000005017,10
ENSOANG00000005018,10
ENSOANG00000005447,10
ENSOANG00000005448,10
ENSOANG00000005449,10
ENSOANG00000005450,10
ENSOANG00000005451,10
ENSOANG00000005452,10
ENSOANG00000005453,10
ENSOANG00000005455,10
ENSOANG00000005457,10
ENSOANG00000005458,10
ENSOANG00000005459,10
ENSOANG00000005460,10
ENSOANG00000005461,10
ENSOANG00000005462,10
ENSOANG00000005464,10
ENSOANG00000005466,10
ENSOANG00000005470,10
ENSOANG00000005471,10
ENSOANG00000030947,10
ENSOANG00000006993,10
ENSOANG00000006992,10
ENSOANG00000006991,10
ENSOANG00000006989,10
ENSOANG00000002163,11
ENSOANG00000002162,11
ENSOANG00000002160,11
ENSOANG00000002159,11
ENSOANG00000002156,11
ENSOANG00000019986,11
ENSOANG00000014850,11
ENSOANG00000014849,11
ENSOANG00000014848,11
ENSOANG00000012478,11
ENSOANG00000012479,11
ENSOANG00000012480,11
ENSOANG00000004066,11
ENSOANG00000031829,11
ENSOANG00000008176,11
ENSOANG00000008177,11
ENSOANG00000008178,11
ENSOANG00000008179,11
ENSOANG00000008181,11
ENSOANG00000008182,11
ENSOANG00000008184,11
ENSOANG00000008185,11
ENSOANG00000008186,11
ENSOANG00000008188,11
ENSOANG00000008189,11
ENSOANG00000008190,11
ENSOANG00000008193,11
ENSOANG00000030886,11
ENSOANG00000005084,11
ENSOANG00000005083,11
ENSOANG00000005081,11
ENSOANG00000029166,11
ENSOANG00000005080,11
ENSOANG00000002367,11
ENSOANG00000002366,11
ENSOANG00000002365,11
ENSOANG00000002363,11
ENSOANG00000002362,11
ENSOANG00000002361,11
ENSOANG00000002355,11
ENSOANG00000002360,11
ENSOANG00000002359,11
ENSOANG00000002358,11
ENSOANG00000002357,11
ENSOANG00000002356,11
ENSOANG00000002354,11
ENSOANG00000002353,11
ENSOANG00000002352,11
ENSOANG00000002351,11
