Ensembl Gene ID,Chromosome Name
ENSGGOG00000026262,1
ENSGGOG00000027893,19
ENSGGOG00000009486,19
ENSGGOG00000023986,1
ENSGGOG00000025775,14
ENSGGOG00000022293,19
ENSGGOG00000027653,8
ENSGGOG00000027804,14
ENSGGOG00000023282,9
ENSGGOG00000013094,6
ENSGGOG00000012194,8
ENSGGOG00000028583,19
ENSGGOG00000027005,7
ENSGGOG00000023779,11
ENSGGOG00000028121,7
ENSGGOG00000023233,1
ENSGGOG00000026005,12
ENSGGOG00000001305,12
ENSGGOG00000023866,15
ENSGGOG00000026410,1
ENSGGOG00000022055,1
ENSGGOG00000000052,15
ENSGGOG00000026663,8
ENSGGOG00000025745,1
ENSGGOG00000005680,2b
ENSGGOG00000022327,2a
ENSGGOG00000009969,15
ENSGGOG00000002291,15
ENSGGOG00000022771,1
ENSGGOG00000023040,1
ENSGGOG00000023889,3
ENSGGOG00000023628,19
ENSGGOG00000010021,1
ENSGGOG00000024019,3
ENSGGOG00000010600,9
ENSGGOG00000006560,1
ENSGGOG00000013541,1
ENSGGOG00000004227,1
ENSGGOG00000001922,15
ENSGGOG00000027910,10
ENSGGOG00000024350,1
ENSGGOG00000012977,2a
ENSGGOG00000010748,19
ENSGGOG00000023122,16
ENSGGOG00000008684,5
ENSGGOG00000003214,1
ENSGGOG00000002017,9
ENSGGOG00000027094,5
ENSGGOG00000003839,1
ENSGGOG00000013412,3
ENSGGOG00000024115,1
ENSGGOG00000009907,21
ENSGGOG00000025049,9
ENSGGOG00000023747,7
ENSGGOG00000007560,19
ENSGGOG00000003752,21
ENSGGOG00000027719,4
ENSGGOG00000028529,19
ENSGGOG00000026041,1
ENSGGOG00000010369,11
ENSGGOG00000006464,3
ENSGGOG00000006566,21
ENSGGOG00000027049,15
ENSGGOG00000005030,8
ENSGGOG00000025614,22
ENSGGOG00000010080,12
ENSGGOG00000004029,15
ENSGGOG00000000720,21
ENSGGOG00000015011,18
ENSGGOG00000004849,21
ENSGGOG00000022513,2a
ENSGGOG00000023229,18
ENSGGOG00000027052,4
ENSGGOG00000024200,2a
ENSGGOG00000027513,12
ENSGGOG00000023163,12
ENSGGOG00000027224,19
ENSGGOG00000023802,19
ENSGGOG00000024978,2a
ENSGGOG00000023191,18
ENSGGOG00000028309,7
ENSGGOG00000025976,1
ENSGGOG00000008985,19
ENSGGOG00000008066,11
ENSGGOG00000003934,7
ENSGGOG00000023130,12
ENSGGOG00000026823,19
ENSGGOG00000008587,2a
ENSGGOG00000007706,9
ENSGGOG00000026808,6
ENSGGOG00000023195,12
ENSGGOG00000023483,7
ENSGGOG00000006159,14
ENSGGOG00000025805,19
ENSGGOG00000028260,8
ENSGGOG00000027536,11
ENSGGOG00000024660,8
ENSGGOG00000026261,12
ENSGGOG00000023583,11
ENSGGOG00000024057,7
ENSGGOG00000026794,8
ENSGGOG00000002340,19
ENSGGOG00000027730,16
ENSGGOG00000006116,3
ENSGGOG00000014428,5
ENSGGOG00000025651,16
ENSGGOG00000027010,3
ENSGGOG00000024315,8
ENSGGOG00000022407,17
ENSGGOG00000025778,7
ENSGGOG00000023141,5
ENSGGOG00000005185,3
ENSGGOG00000028018,6
ENSGGOG00000027785,5
ENSGGOG00000022572,6
ENSGGOG00000016327,6
ENSGGOG00000023005,11
ENSGGOG00000011794,11
ENSGGOG00000023773,17
ENSGGOG00000014762,11
ENSGGOG00000002702,11
ENSGGOG00000022868,4
ENSGGOG00000014359,14
ENSGGOG00000028166,12
ENSGGOG00000025700,6
ENSGGOG00000027649,6
ENSGGOG00000023415,14
ENSGGOG00000025253,14
ENSGGOG00000012044,12
ENSGGOG00000024194,6
ENSGGOG00000002506,14
ENSGGOG00000024783,5
ENSGGOG00000025602,6
ENSGGOG00000025806,5
ENSGGOG00000006645,12
ENSGGOG00000000849,13
ENSGGOG00000013031,4
ENSGGOG00000010451,12
ENSGGOG00000006710,10
ENSGGOG00000006703,10
ENSGGOG00000023290,5
ENSGGOG00000004805,9
ENSGGOG00000007966,11
ENSGGOG00000028585,5
ENSGGOG00000027984,4
ENSGGOG00000027378,11
ENSGGOG00000025613,4
ENSGGOG00000026726,1
ENSGGOG00000022623,21
ENSGGOG00000025668,10
ENSGGOG00000028563,2b
ENSGGOG00000022555,2a
ENSGGOG00000024743,20
ENSGGOG00000022427,22
ENSGGOG00000028282,11
ENSGGOG00000023952,11
ENSGGOG00000023837,11
ENSGGOG00000027931,21
ENSGGOG00000028522,1
ENSGGOG00000022346,2a
ENSGGOG00000026675,2a
ENSGGOG00000022938,5
ENSGGOG00000000641,5
ENSGGOG00000025199,7
ENSGGOG00000024293,17
ENSGGOG00000007454,5
ENSGGOG00000027906,8
ENSGGOG00000022911,18
ENSGGOG00000016003,14
ENSGGOG00000011132,6
ENSGGOG00000022252,6
ENSGGOG00000022170,9
ENSGGOG00000009331,8
ENSGGOG00000026025,10
ENSGGOG00000023296,12
ENSGGOG00000022578,15
ENSGGOG00000002214,1
ENSGGOG00000024719,11
ENSGGOG00000027476,5
ENSGGOG00000025722,8
ENSGGOG00000013318,10
ENSGGOG00000010829,1
ENSGGOG00000028215,16
ENSGGOG00000028594,1
ENSGGOG00000023453,15
ENSGGOG00000023012,11
ENSGGOG00000007127,6
ENSGGOG00000026046,8
ENSGGOG00000012913,11
ENSGGOG00000027363,16
ENSGGOG00000025022,18
ENSGGOG00000009153,19
ENSGGOG00000025340,19
ENSGGOG00000005874,19
ENSGGOG00000016192,2b
ENSGGOG00000015834,3
ENSGGOG00000024071,8
ENSGGOG00000012526,5
ENSGGOG00000025858,6
ENSGGOG00000010526,5
ENSGGOG00000024882,7
ENSGGOG00000025093,7
ENSGGOG00000014070,2b
ENSGGOG00000005282,20
ENSGGOG00000022131,17
ENSGGOG00000012288,2b
ENSGGOG00000015749,17
ENSGGOG00000002314,6
ENSGGOG00000009494,5
ENSGGOG00000007312,15
ENSGGOG00000024850,6
ENSGGOG00000023668,8
ENSGGOG00000022382,21
ENSGGOG00000012313,12
ENSGGOG00000013046,15
ENSGGOG00000006754,3
ENSGGOG00000015717,11
ENSGGOG00000008634,16
