Ensembl Gene ID,Chromosome Name
ENSGALG00000000238,28
ENSGALG00000000307,28
ENSGALG00000000327,28
ENSGALG00000000337,28
ENSGALG00000000352,28
ENSGALG00000000377,28
ENSGALG00000000406,28
ENSGALG00000000346,18
ENSGALG00000018772,18
ENSGALG00000000353,18
ENSGALG00000021710,18
ENSGALG00000027187,18
ENSGALG00000000368,18
ENSGALG00000014171,17
ENSGALG00000021211,17
ENSGALG00000000407,28
ENSGALG00000021212,17
ENSGALG00000024040,17
ENSGALG00000000408,28
ENSGALG00000000430,28
ENSGALG00000009151,17
ENSGALG00000000779,18
ENSGALG00000000458,28
ENSGALG00000028937,28
ENSGALG00000009123,17
ENSGALG00000000470,28
ENSGALG00000009105,17
ENSGALG00000000474,28
ENSGALG00000000490,28
ENSGALG00000009120,17
ENSGALG00000009079,17
ENSGALG00000000558,28
ENSGALG00000009090,17
ENSGALG00000027323,18
ENSGALG00000028102,18
ENSGALG00000009060,17
ENSGALG00000009058,17
ENSGALG00000026748,18
ENSGALG00000009054,17
ENSGALG00000000577,28
ENSGALG00000028134,18
ENSGALG00000026027,17
ENSGALG00000001226,17
ENSGALG00000028896,18
ENSGALG00000026541,28
ENSGALG00000027742,28
ENSGALG00000021692,28
ENSGALG00000021693,28
ENSGALG00000000589,28
ENSGALG00000000599,28
ENSGALG00000000613,28
ENSGALG00000000619,28
ENSGALG00000000621,28
ENSGALG00000026574,17
ENSGALG00000009039,17
ENSGALG00000024398,28
ENSGALG00000024011,17
ENSGALG00000000629,28
ENSGALG00000009019,17
ENSGALG00000021688,28
ENSGALG00000028529,17
ENSGALG00000024004,17
ENSGALG00000026161,28
ENSGALG00000028044,28
ENSGALG00000026844,28
ENSGALG00000000722,28
ENSGALG00000008966,17
ENSGALG00000009014,17
ENSGALG00000009008,17
ENSGALG00000008995,17
ENSGALG00000024395,28
ENSGALG00000000726,28
ENSGALG00000021242,17
ENSGALG00000000736,28
ENSGALG00000028823,17
ENSGALG00000008984,17
ENSGALG00000008973,17
ENSGALG00000013431,28
ENSGALG00000027961,28
ENSGALG00000008959,17
ENSGALG00000008952,17
ENSGALG00000027611,28
ENSGALG00000027177,18
ENSGALG00000000740,28
ENSGALG00000008932,17
ENSGALG00000008936,17
ENSGALG00000021274,17
ENSGALG00000000748,28
ENSGALG00000000784,28
ENSGALG00000028612,18
ENSGALG00000008920,17
ENSGALG00000013382,18
ENSGALG00000028751,18
ENSGALG00000001001,18
ENSGALG00000024391,28
ENSGALG00000008899,17
ENSGALG00000008898,17
ENSGALG00000001021,18
ENSGALG00000001036,18
ENSGALG00000008891,17
ENSGALG00000026090,18
ENSGALG00000001111,18
ENSGALG00000027241,28
ENSGALG00000023638,18
ENSGALG00000001150,18
ENSGALG00000028029,28
ENSGALG00000029014,18
ENSGALG00000001156,18
ENSGALG00000001163,18
ENSGALG00000008886,17
ENSGALG00000001183,18
ENSGALG00000026167,18
ENSGALG00000023626,18
ENSGALG00000001238,18
ENSGALG00000027838,28
ENSGALG00000021282,17
ENSGALG00000021283,17
ENSGALG00000008881,17
ENSGALG00000001244,18
ENSGALG00000001261,18
ENSGALG00000017417,18
ENSGALG00000001311,18
ENSGALG00000001323,18
ENSGALG00000008873,17
ENSGALG00000008861,17
ENSGALG00000001335,18
ENSGALG00000008859,17
ENSGALG00000021568,18
ENSGALG00000001348,18
ENSGALG00000026262,18
ENSGALG00000023608,18
ENSGALG00000023609,18
ENSGALG00000008857,17
ENSGALG00000001375,18
ENSGALG00000001371,18
ENSGALG00000000795,28
ENSGALG00000001404,18
ENSGALG00000028354,18
ENSGALG00000001433,18
ENSGALG00000001503,18
ENSGALG00000002085,28
ENSGALG00000026095,17
ENSGALG00000008844,17
ENSGALG00000001518,18
ENSGALG00000001531,18
ENSGALG00000028979,18
ENSGALG00000022149,28
ENSGALG00000001545,18
ENSGALG00000017524,28
ENSGALG00000026462,28
ENSGALG00000008838,17
ENSGALG00000001563,18
ENSGALG00000001577,18
ENSGALG00000001591,18
ENSGALG00000001603,18
ENSGALG00000001607,18
ENSGALG00000001612,18
ENSGALG00000001618,18
ENSGALG00000008822,17
ENSGALG00000008819,17
ENSGALG00000001629,18
ENSGALG00000001631,18
ENSGALG00000001656,18
ENSGALG00000001725,18
ENSGALG00000008806,17
ENSGALG00000012984,28
ENSGALG00000001684,18
ENSGALG00000001734,18
ENSGALG00000001740,18
ENSGALG00000001777,18
ENSGALG00000017357,18
ENSGALG00000001790,18
ENSGALG00000001802,18
ENSGALG00000001805,18
ENSGALG00000001862,18
ENSGALG00000001883,18
ENSGALG00000001886,18
ENSGALG00000001892,18
ENSGALG00000001943,18
ENSGALG00000008798,17
ENSGALG00000008750,17
ENSGALG00000008736,17
ENSGALG00000001955,18
ENSGALG00000001971,18
ENSGALG00000008681,17
ENSGALG00000026834,28
ENSGALG00000023541,18
ENSGALG00000021539,18
ENSGALG00000029174,28
ENSGALG00000021318,17
ENSGALG00000008630,17
ENSGALG00000008625,17
ENSGALG00000003238,28
ENSGALG00000013378,28
ENSGALG00000002008,18
ENSGALG00000008616,17
ENSGALG00000002050,18
ENSGALG00000008596,17
ENSGALG00000008586,17
ENSGALG00000023909,17
ENSGALG00000013369,28
