Ensembl Gene ID,Chromosome Name
ENSBTAG00000038537,20
ENSBTAG00000038364,20
ENSBTAG00000000617,20
ENSBTAG00000047333,20
ENSBTAG00000011895,20
ENSBTAG00000017746,20
ENSBTAG00000018857,28
ENSBTAG00000008584,27
ENSBTAG00000000079,28
ENSBTAG00000008585,27
ENSBTAG00000046332,28
ENSBTAG00000004965,28
ENSBTAG00000017053,28
ENSBTAG00000008180,20
ENSBTAG00000018284,27
ENSBTAG00000009387,27
ENSBTAG00000014612,20
ENSBTAG00000034225,28
ENSBTAG00000010180,28
ENSBTAG00000004870,28
ENSBTAG00000027205,28
ENSBTAG00000048153,28
ENSBTAG00000018691,28
ENSBTAG00000039837,28
ENSBTAG00000038418,28
ENSBTAG00000004217,28
ENSBTAG00000026065,28
ENSBTAG00000047434,28
ENSBTAG00000045608,28
ENSBTAG00000010500,28
ENSBTAG00000006112,28
ENSBTAG00000010773,28
ENSBTAG00000002134,20
ENSBTAG00000014620,20
ENSBTAG00000046449,20
ENSBTAG00000009381,20
ENSBTAG00000002985,20
ENSBTAG00000002865,20
ENSBTAG00000009739,27
ENSBTAG00000002779,20
ENSBTAG00000024801,20
ENSBTAG00000010765,28
ENSBTAG00000022684,20
ENSBTAG00000047877,28
ENSBTAG00000010003,20
ENSBTAG00000015316,20
ENSBTAG00000035013,27
ENSBTAG00000023073,28
ENSBTAG00000011032,27
ENSBTAG00000021822,28
ENSBTAG00000010367,28
ENSBTAG00000011034,27
ENSBTAG00000004922,27
ENSBTAG00000007473,27
ENSBTAG00000007477,27
ENSBTAG00000008519,27
ENSBTAG00000023074,28
ENSBTAG00000048171,27
ENSBTAG00000045626,27
ENSBTAG00000034952,27
ENSBTAG00000045932,28
ENSBTAG00000046204,27
ENSBTAG00000007340,27
ENSBTAG00000027225,27
ENSBTAG00000046937,27
ENSBTAG00000039845,28
ENSBTAG00000047421,27
ENSBTAG00000047740,27
ENSBTAG00000025021,28
ENSBTAG00000046144,27
ENSBTAG00000039856,27
ENSBTAG00000047363,27
ENSBTAG00000023157,27
ENSBTAG00000047284,27
ENSBTAG00000045649,27
ENSBTAG00000033545,27
ENSBTAG00000034954,27
ENSBTAG00000010248,27
ENSBTAG00000000942,28
ENSBTAG00000048249,27
ENSBTAG00000046405,27
ENSBTAG00000038504,27
ENSBTAG00000035183,27
ENSBTAG00000004231,27
ENSBTAG00000046071,27
ENSBTAG00000014135,27
ENSBTAG00000013935,28
ENSBTAG00000000535,28
ENSBTAG00000014141,27
ENSBTAG00000014143,27
ENSBTAG00000014146,27
ENSBTAG00000014737,27
ENSBTAG00000005825,27
ENSBTAG00000021183,28
ENSBTAG00000017085,27
ENSBTAG00000004515,28
ENSBTAG00000020361,28
ENSBTAG00000004517,28
ENSBTAG00000000128,20
ENSBTAG00000017013,20
ENSBTAG00000046841,28
ENSBTAG00000000562,28
ENSBTAG00000015376,20
ENSBTAG00000047749,27
ENSBTAG00000000221,28
ENSBTAG00000021133,27
ENSBTAG00000000222,28
ENSBTAG00000017457,20
ENSBTAG00000008876,20
ENSBTAG00000013068,28
ENSBTAG00000034659,20
ENSBTAG00000009019,20
ENSBTAG00000013735,28
ENSBTAG00000013750,28
ENSBTAG00000001429,20
ENSBTAG00000020282,27
ENSBTAG00000002908,28
ENSBTAG00000016804,28
ENSBTAG00000012191,27
ENSBTAG00000013863,20
ENSBTAG00000015955,20
ENSBTAG00000015099,20
ENSBTAG00000015100,20
ENSBTAG00000002020,20
ENSBTAG00000007244,28
ENSBTAG00000000957,27
ENSBTAG00000047706,27
ENSBTAG00000003081,27
ENSBTAG00000002021,20
