Ensembl Gene ID,Chromosome Name
ENSPTRG00000000102,1
ENSPTRG00000018957,7
ENSPTRG00000003141,11
ENSPTRG00000003154,11
ENSPTRG00000005696,13
ENSPTRG00000017695,21
ENSPTRG00000013793,21
ENSPTRG00000013792,21
ENSPTRG00000003144,11
ENSPTRG00000005693,13
ENSPTRG00000005692,13
ENSPTRG00000017038,5
ENSPTRG00000018949,7
ENSPTRG00000003142,11
ENSPTRG00000000101,1
ENSPTRG00000024151,21
ENSPTRG00000000104,1
ENSPTRG00000017043,5
ENSPTRG00000000111,1
ENSPTRG00000029128,13
ENSPTRG00000005694,13
ENSPTRG00000000103,1
ENSPTRG00000000109,1
ENSPTRG00000003153,11
ENSPTRG00000020055,8
ENSPTRG00000024170,5
ENSPTRG00000005690,13
ENSPTRG00000017031,5
ENSPTRG00000003126,11
ENSPTRG00000020052,8
ENSPTRG00000005684,13
ENSPTRG00000020053,8
ENSPTRG00000000091,1
ENSPTRG00000017053,5
ENSPTRG00000028769,11
ENSPTRG00000000092,1
ENSPTRG00000028763,5
ENSPTRG00000003128,11
ENSPTRG00000003129,11
ENSPTRG00000000093,1
ENSPTRG00000020054,8
ENSPTRG00000005685,13
ENSPTRG00000017052,5
ENSPTRG00000017050,5
ENSPTRG00000000094,1
ENSPTRG00000000096,1
ENSPTRG00000017049,5
ENSPTRG00000017048,5
ENSPTRG00000003130,11
ENSPTRG00000018952,7
ENSPTRG00000003132,11
ENSPTRG00000017047,5
ENSPTRG00000000089,1
ENSPTRG00000028653,7
ENSPTRG00000017042,5
ENSPTRG00000000106,1
ENSPTRG00000020056,8
ENSPTRG00000003143,11
ENSPTRG00000013785,21
ENSPTRG00000003137,11
ENSPTRG00000003138,11
ENSPTRG00000017044,5
ENSPTRG00000018954,7
ENSPTRG00000005687,13
ENSPTRG00000000100,1
ENSPTRG00000003139,11
ENSPTRG00000018955,7
ENSPTRG00000003140,11
ENSPTRG00000018953,7
ENSPTRG00000000098,1
ENSPTRG00000000099,1
ENSPTRG00000023465,1
ENSPTRG00000004015,11
ENSPTRG00000005691,13
ENSPTRG00000022613,8
ENSPTRG00000018959,7
ENSPTRG00000023446,11
ENSPTRG00000013791,21
ENSPTRG00000017039,5
ENSPTRG00000017041,5
ENSPTRG00000013790,21
ENSPTRG00000028760,11
ENSPTRG00000042077,21
ENSPTRG00000013786,21
ENSPTRG00000003160,11
ENSPTRG00000005695,13
ENSPTRG00000003123,11
ENSPTRG00000040750,11
ENSPTRG00000017032,5
ENSPTRG00000018950,7
ENSPTRG00000003125,11
ENSPTRG00000018951,7
ENSPTRG00000000090,1
ENSPTRG00000005681,13
ENSPTRG00000031248,13
ENSPTRG00000017054,5
ENSPTRG00000005683,13
ENSPTRG00000030844,1
ENSPTRG00000022861,7
ENSPTRG00000041621,7
ENSPTRG00000040196,7
ENSPTRG00000016672,5
ENSPTRG00000018833,7
ENSPTRG00000016673,5
ENSPTRG00000016674,5
ENSPTRG00000016677,5
ENSPTRG00000028688,7
ENSPTRG00000028788,5
ENSPTRG00000018855,7
ENSPTRG00000016680,5
ENSPTRG00000018856,7
ENSPTRG00000018857,7
ENSPTRG00000018858,7
ENSPTRG00000016682,5
ENSPTRG00000018859,7
ENSPTRG00000016685,5
ENSPTRG00000018860,7
ENSPTRG00000016686,5
ENSPTRG00000016687,5
ENSPTRG00000016689,5
ENSPTRG00000039053,5
ENSPTRG00000016691,5
ENSPTRG00000018861,7
ENSPTRG00000016692,5
ENSPTRG00000018864,7
ENSPTRG00000016694,5
ENSPTRG00000018865,7
ENSPTRG00000016695,5
ENSPTRG00000018866,7
ENSPTRG00000016696,5
ENSPTRG00000016698,5
ENSPTRG00000018868,7
ENSPTRG00000016699,5
ENSPTRG00000016701,5
ENSPTRG00000018869,7
ENSPTRG00000018870,7
ENSPTRG00000016705,5
ENSPTRG00000016706,5
ENSPTRG00000018871,7
ENSPTRG00000042236,5
ENSPTRG00000016708,5
ENSPTRG00000028783,5
ENSPTRG00000016709,5
ENSPTRG00000016710,5
ENSPTRG00000018872,7
ENSPTRG00000018875,7
ENSPTRG00000018876,7
ENSPTRG00000016711,5
ENSPTRG00000018877,7
ENSPTRG00000016713,5
ENSPTRG00000033811,5
ENSPTRG00000016715,5
ENSPTRG00000018878,7
ENSPTRG00000016716,5
