Ensembl Gene ID,Gorilla Ensembl Gene ID,Homology Type
ENSMUSG00000095309,,
ENSMUSG00000000126,ENSGGOG00000004569,ortholog_one2one
ENSMUSG00000095268,,
ENSMUSG00000020063,ENSGGOG00000010187,ortholog_one2one
ENSMUSG00000029623,ENSGGOG00000025196,ortholog_one2one
ENSMUSG00000073944,,
ENSMUSG00000001555,ENSGGOG00000010119,ortholog_one2one
ENSMUSG00000094221,,
ENSMUSG00000032855,ENSGGOG00000007016,ortholog_one2one
ENSMUSG00000044292,ENSGGOG00000022931,ortholog_many2many
ENSMUSG00000044292,ENSGGOG00000001701,ortholog_many2many
ENSMUSG00000095264,ENSGGOG00000004760,ortholog_one2many
ENSMUSG00000073945,ENSGGOG00000024052,ortholog_one2many
ENSMUSG00000094385,,
ENSMUSG00000030245,ENSGGOG00000025543,ortholog_one2one
ENSMUSG00000096540,,
ENSMUSG00000047352,,
ENSMUSG00000078954,ENSGGOG00000008084,ortholog_one2one
ENSMUSG00000094001,,
ENSMUSG00000073946,,
ENSMUSG00000094115,ENSGGOG00000004760,ortholog_one2many
ENSMUSG00000015468,ENSGGOG00000002332,ortholog_one2one
ENSMUSG00000078984,,
ENSMUSG00000021273,ENSGGOG00000001165,ortholog_one2one
ENSMUSG00000017670,ENSGGOG00000014061,ortholog_one2one
ENSMUSG00000094680,,
ENSMUSG00000047544,,
ENSMUSG00000094727,,
ENSMUSG00000025816,ENSGGOG00000008875,ortholog_one2one
ENSMUSG00000002129,ENSGGOG00000012631,ortholog_one2one
ENSMUSG00000043331,ENSGGOG00000025571,ortholog_one2one
ENSMUSG00000047714,ENSGGOG00000025908,ortholog_one2many
ENSMUSG00000047714,ENSGGOG00000006629,ortholog_one2many
ENSMUSG00000093986,,
ENSMUSG00000073947,,
ENSMUSG00000056296,ENSGGOG00000002513,ortholog_one2one
ENSMUSG00000094211,,
ENSMUSG00000074754,,
ENSMUSG00000094010,,
ENSMUSG00000094361,,
ENSMUSG00000061024,ENSGGOG00000026663,ortholog_one2one
ENSMUSG00000078624,,
ENSMUSG00000051493,,
ENSMUSG00000071104,ENSGGOG00000027638,ortholog_one2one
ENSMUSG00000094589,,
ENSMUSG00000094119,,
ENSMUSG00000095833,,
ENSMUSG00000067855,,
ENSMUSG00000001119,ENSGGOG00000001462,ortholog_one2one
ENSMUSG00000095390,,
ENSMUSG00000096737,,
ENSMUSG00000009900,ENSGGOG00000006562,ortholog_one2one
ENSMUSG00000056718,,
ENSMUSG00000049606,ENSGGOG00000004186,ortholog_one2one
ENSMUSG00000096584,,
ENSMUSG00000041710,ENSGGOG00000015892,ortholog_one2one
ENSMUSG00000020747,ENSGGOG00000009391,ortholog_one2one
ENSMUSG00000051729,,
ENSMUSG00000095973,,
ENSMUSG00000025579,ENSGGOG00000012906,ortholog_one2one
ENSMUSG00000094449,,
ENSMUSG00000045584,,
ENSMUSG00000032413,ENSGGOG00000023738,ortholog_one2one
ENSMUSG00000021939,ENSGGOG00000027064,ortholog_one2many
ENSMUSG00000021939,ENSGGOG00000001167,ortholog_one2many
ENSMUSG00000041134,ENSGGOG00000026900,ortholog_one2one
ENSMUSG00000046396,ENSGGOG00000025174,ortholog_one2many
ENSMUSG00000091435,,
ENSMUSG00000028738,ENSGGOG00000005531,ortholog_one2one
ENSMUSG00000043461,ENSGGOG00000015560,ortholog_one2many
ENSMUSG00000043461,ENSGGOG00000023554,ortholog_one2many
ENSMUSG00000039982,ENSGGOG00000012050,ortholog_one2one
ENSMUSG00000093934,,
ENSMUSG00000031636,ENSGGOG00000001942,ortholog_one2one
ENSMUSG00000031864,ENSGGOG00000000190,ortholog_one2one
ENSMUSG00000073948,,
ENSMUSG00000094085,,
ENSMUSG00000027364,ENSGGOG00000016014,ortholog_one2one
ENSMUSG00000034832,ENSGGOG00000012408,ortholog_one2one
ENSMUSG00000042402,,
ENSMUSG00000095774,,
ENSMUSG00000091638,,
ENSMUSG00000094601,ENSGGOG00000004760,ortholog_one2many
ENSMUSG00000046805,ENSGGOG00000012066,ortholog_one2many
ENSMUSG00000073949,,
ENSMUSG00000094309,,
ENSMUSG00000024151,ENSGGOG00000007088,ortholog_one2one
ENSMUSG00000025909,ENSGGOG00000004595,ortholog_one2one
ENSMUSG00000048285,ENSGGOG00000002249,ortholog_one2one
ENSMUSG00000058079,,
ENSMUSG00000006931,ENSGGOG00000010113,ortholog_one2one
ENSMUSG00000094254,,
ENSMUSG00000040065,ENSGGOG00000012066,ortholog_one2many
ENSMUSG00000094284,,
ENSMUSG00000051427,ENSGGOG00000012644,ortholog_one2one
ENSMUSG00000058976,ENSGGOG00000024660,ortholog_many2many
ENSMUSG00000058976,ENSGGOG00000014367,ortholog_many2many
ENSMUSG00000058976,ENSGGOG00000026794,ortholog_many2many
ENSMUSG00000058976,ENSGGOG00000022775,ortholog_many2many
ENSMUSG00000058976,ENSGGOG00000024163,ortholog_many2many
ENSMUSG00000058976,ENSGGOG00000009903,ortholog_many2many
ENSMUSG00000058976,ENSGGOG00000021930,ortholog_many2many
ENSMUSG00000058976,ENSGGOG00000024315,ortholog_many2many
ENSMUSG00000024027,ENSGGOG00000014531,ortholog_one2one
ENSMUSG00000072066,,
ENSMUSG00000095190,,
ENSMUSG00000058762,ENSGGOG00000012756,ortholog_many2many
ENSMUSG00000095903,,
ENSMUSG00000050815,ENSGGOG00000023012,ortholog_many2many
ENSMUSG00000028329,ENSGGOG00000001381,ortholog_one2one
ENSMUSG00000083780,ENSGGOG00000024637,ortholog_one2one
ENSMUSG00000074865,ENSGGOG00000001131,ortholog_one2many
ENSMUSG00000028737,ENSGGOG00000005534,ortholog_one2one
ENSMUSG00000095768,,
ENSMUSG00000046650,ENSGGOG00000023705,ortholog_one2one
ENSMUSG00000040963,ENSGGOG00000013515,ortholog_one2one
ENSMUSG00000021342,ENSGGOG00000001363,ortholog_one2many
ENSMUSG00000055820,,
ENSMUSG00000095275,,
ENSMUSG00000096436,ENSGGOG00000005091,ortholog_one2many
ENSMUSG00000059874,,
ENSMUSG00000037816,,
ENSMUSG00000055228,,
ENSMUSG00000045160,ENSGGOG00000024505,ortholog_one2one
ENSMUSG00000061200,,
ENSMUSG00000067513,ENSGGOG00000005091,ortholog_one2many
ENSMUSG00000094353,,
ENSMUSG00000094942,ENSGGOG00000001131,ortholog_one2many
ENSMUSG00000079657,ENSGGOG00000027074,ortholog_one2one
ENSMUSG00000025453,ENSGGOG00000005469,ortholog_one2one
ENSMUSG00000045540,,
ENSMUSG00000095640,ENSGGOG00000005091,ortholog_one2many
ENSMUSG00000095837,,
ENSMUSG00000054763,ENSGGOG00000022211,ortholog_one2one
ENSMUSG00000045835,ENSGGOG00000002579,ortholog_one2one
ENSMUSG00000074656,ENSGGOG00000015546,ortholog_one2one
ENSMUSG00000073950,,
ENSMUSG00000034416,ENSGGOG00000024869,ortholog_one2many
ENSMUSG00000034416,ENSGGOG00000000233,ortholog_one2many
ENSMUSG00000074867,ENSGGOG00000003736,ortholog_one2many
ENSMUSG00000036106,,
ENSMUSG00000096761,,
ENSMUSG00000095839,,
ENSMUSG00000036661,ENSGGOG00000008013,ortholog_one2one
ENSMUSG00000073951,,
ENSMUSG00000048076,ENSGGOG00000011263,ortholog_one2one
ENSMUSG00000025817,ENSGGOG00000006325,ortholog_one2one
ENSMUSG00000096903,,
ENSMUSG00000099269,,
ENSMUSG00000019861,ENSGGOG00000013555,ortholog_one2one
ENSMUSG00000073952,,
ENSMUSG00000074870,ENSGGOG00000000088,ortholog_one2many
ENSMUSG00000075571,ENSGGOG00000008293,ortholog_one2one
ENSMUSG00000062121,ENSGGOG00000002303,ortholog_one2many
ENSMUSG00000098049,ENSGGOG00000010782,ortholog_one2many
ENSMUSG00000045394,ENSGGOG00000022888,ortholog_one2one
ENSMUSG00000096663,,
ENSMUSG00000096194,,
ENSMUSG00000043131,ENSGGOG00000010015,ortholog_one2one
ENSMUSG00000060049,ENSGGOG00000005091,ortholog_one2many
ENSMUSG00000073953,,
ENSMUSG00000055745,ENSGGOG00000002363,ortholog_many2many
ENSMUSG00000078747,,
ENSMUSG00000094762,,
ENSMUSG00000093857,,
ENSMUSG00000098598,ENSGGOG00000000227,ortholog_one2many
ENSMUSG00000064110,,
ENSMUSG00000003581,ENSGGOG00000012657,ortholog_one2one
ENSMUSG00000067519,ENSGGOG00000005091,ortholog_one2many
ENSMUSG00000074871,ENSGGOG00000000088,ortholog_one2many
ENSMUSG00000094545,,
ENSMUSG00000057321,ENSGGOG00000024660,ortholog_many2many
ENSMUSG00000057321,ENSGGOG00000014367,ortholog_many2many
ENSMUSG00000057321,ENSGGOG00000026794,ortholog_many2many
ENSMUSG00000057321,ENSGGOG00000022775,ortholog_many2many
ENSMUSG00000057321,ENSGGOG00000024163,ortholog_many2many
ENSMUSG00000057321,ENSGGOG00000009903,ortholog_many2many
ENSMUSG00000057321,ENSGGOG00000021930,ortholog_many2many
ENSMUSG00000057321,ENSGGOG00000024315,ortholog_many2many
ENSMUSG00000075572,ENSGGOG00000023374,ortholog_one2one
ENSMUSG00000099100,ENSGGOG00000000327,ortholog_one2many
ENSMUSG00000094133,ENSGGOG00000005091,ortholog_one2many
ENSMUSG00000095770,ENSGGOG00000004760,ortholog_one2many
ENSMUSG00000091096,,
ENSMUSG00000059106,,
ENSMUSG00000096386,,
ENSMUSG00000075573,ENSGGOG00000003692,ortholog_one2one
ENSMUSG00000067522,ENSGGOG00000022979,ortholog_one2one
ENSMUSG00000073954,ENSGGOG00000023266,ortholog_one2one
ENSMUSG00000058435,ENSGGOG00000007271,ortholog_many2many
ENSMUSG00000095806,,
ENSMUSG00000067524,ENSGGOG00000027715,ortholog_one2one
ENSMUSG00000042050,ENSGGOG00000016646,ortholog_one2one
ENSMUSG00000075574,,
ENSMUSG00000095300,,
ENSMUSG00000073955,,
ENSMUSG00000048978,ENSGGOG00000023987,ortholog_one2one
ENSMUSG00000098034,ENSGGOG00000012950,ortholog_one2many
ENSMUSG00000094439,ENSGGOG00000005544,ortholog_one2one
ENSMUSG00000067525,,
ENSMUSG00000059867,,
ENSMUSG00000095745,,
ENSMUSG00000091539,,
ENSMUSG00000073956,ENSGGOG00000016459,ortholog_one2one
ENSMUSG00000029622,ENSGGOG00000013186,ortholog_one2one
ENSMUSG00000064370,ENSGGOG00000024015,ortholog_one2one
ENSMUSG00000094757,,
ENSMUSG00000090497,,
ENSMUSG00000048299,,
ENSMUSG00000025041,ENSGGOG00000013257,ortholog_one2one
ENSMUSG00000034384,ENSGGOG00000008873,ortholog_one2one
ENSMUSG00000094886,ENSGGOG00000027939,ortholog_one2many
ENSMUSG00000020441,ENSGGOG00000015702,ortholog_one2one
ENSMUSG00000064368,ENSGGOG00000026221,ortholog_one2one
ENSMUSG00000094298,,
ENSMUSG00000057461,,
ENSMUSG00000064367,ENSGGOG00000022688,ortholog_one2one
ENSMUSG00000096730,,
ENSMUSG00000051362,ENSGGOG00000022234,ortholog_many2many
ENSMUSG00000039483,ENSGGOG00000002672,ortholog_one2one
ENSMUSG00000093976,,
ENSMUSG00000033166,ENSGGOG00000006630,ortholog_one2one
ENSMUSG00000044994,,
ENSMUSG00000094735,,
ENSMUSG00000031444,ENSGGOG00000014085,ortholog_one2one
ENSMUSG00000003585,ENSGGOG00000012672,ortholog_one2one
ENSMUSG00000064363,ENSGGOG00000025053,ortholog_one2one
ENSMUSG00000066268,ENSGGOG00000023457,ortholog_one2one
ENSMUSG00000067526,,
ENSMUSG00000094011,,
ENSMUSG00000065947,ENSGGOG00000023000,ortholog_one2many
ENSMUSG00000041025,,
ENSMUSG00000078080,,
ENSMUSG00000028517,ENSGGOG00000000309,ortholog_one2one
ENSMUSG00000067528,,
ENSMUSG00000028883,ENSGGOG00000015085,ortholog_one2one
ENSMUSG00000064360,ENSGGOG00000026757,ortholog_one2one
ENSMUSG00000096164,,
ENSMUSG00000073959,,
ENSMUSG00000067529,,
ENSMUSG00000019891,ENSGGOG00000001188,ortholog_one2one
ENSMUSG00000064358,ENSGGOG00000023107,ortholog_one2one
ENSMUSG00000064357,ENSGGOG00000025370,ortholog_one2one
ENSMUSG00000096152,,
ENSMUSG00000073960,,
ENSMUSG00000028259,ENSGGOG00000004224,ortholog_one2one
ENSMUSG00000064356,,
ENSMUSG00000021440,ENSGGOG00000000088,ortholog_one2many
ENSMUSG00000064354,ENSGGOG00000028325,ortholog_one2one
ENSMUSG00000073961,,
ENSMUSG00000095076,,
ENSMUSG00000095201,,
ENSMUSG00000095637,,
ENSMUSG00000045792,ENSGGOG00000026188,ortholog_one2one
ENSMUSG00000034687,ENSGGOG00000003170,ortholog_one2one
ENSMUSG00000064351,ENSGGOG00000023924,ortholog_one2one
ENSMUSG00000095728,,
ENSMUSG00000044042,ENSGGOG00000001109,ortholog_one2one
ENSMUSG00000004748,ENSGGOG00000012691,ortholog_one2one
ENSMUSG00000034424,ENSGGOG00000000232,ortholog_one2one
ENSMUSG00000038112,ENSGGOG00000025817,ortholog_one2many
ENSMUSG00000051285,ENSGGOG00000025636,ortholog_one2many
ENSMUSG00000051285,ENSGGOG00000024428,ortholog_one2many
ENSMUSG00000096645,ENSGGOG00000004760,ortholog_one2many
ENSMUSG00000043354,ENSGGOG00000010094,ortholog_one2one
ENSMUSG00000027596,ENSGGOG00000026572,ortholog_one2one
ENSMUSG00000028249,ENSGGOG00000009019,ortholog_one2one
