Ensembl Gene ID,Chimp Ensembl Gene ID,Homology Type
ENSG00000261657,,
ENSG00000223116,ENSPTRG00000035692,ortholog_one2many
ENSG00000223116,ENSPTRG00000034623,ortholog_one2many
ENSG00000233440,,
ENSG00000207157,ENSPTRG00000025592,ortholog_one2one
ENSG00000229483,,
ENSG00000252952,ENSPTRG00000038299,ortholog_one2one
ENSG00000235205,,
ENSG00000232849,,
ENSG00000236803,,
ENSG00000232163,,
ENSG00000252365,ENSPTRG00000037269,ortholog_one2one
ENSG00000229558,,
ENSG00000235784,,
ENSG00000224394,,
ENSG00000212559,ENSPTRG00000026986,ortholog_many2many
ENSG00000232977,,
ENSG00000236520,,
ENSG00000227893,,
ENSG00000212057,ENSPTRG00000032304,ortholog_one2one
ENSG00000222129,ENSPTRG00000037304,ortholog_one2one
ENSG00000232102,,
ENSG00000242037,ENSPTRG00000041660,ortholog_one2one
ENSG00000238230,,
ENSG00000227640,,
ENSG00000205861,,
ENSG00000235768,,
ENSG00000237924,,
ENSG00000260962,,
ENSG00000252335,ENSPTRG00000037933,ortholog_one2one
ENSG00000238463,ENSPTRG00000037880,ortholog_one2one
ENSG00000223298,ENSPTRG00000036085,ortholog_one2one
ENSG00000196593,,
ENSG00000200211,ENSPTRG00000025437,ortholog_one2one
ENSG00000271492,,
ENSG00000223392,,
ENSG00000228741,,
ENSG00000247400,,
ENSG00000225674,,
ENSG00000229622,,
ENSG00000252695,,
ENSG00000227213,,
ENSG00000227714,,
ENSG00000240868,,
ENSG00000232373,,
ENSG00000234627,,
ENSG00000251901,ENSPTRG00000038227,ortholog_one2one
ENSG00000261498,,
ENSG00000226977,,
ENSG00000233545,,
ENSG00000242614,ENSPTRG00000041605,ortholog_one2one
ENSG00000233273,,
ENSG00000205822,,
ENSG00000235137,,
ENSG00000243300,,
ENSG00000266216,,
ENSG00000244615,,
ENSG00000234267,,
ENSG00000243008,,
ENSG00000272329,,
ENSG00000211508,ENSPTRG00000032099,ortholog_one2one
ENSG00000222472,ENSPTRG00000036073,ortholog_one2one
ENSG00000207474,ENSPTRG00000027116,ortholog_one2one
ENSG00000252154,ENSPTRG00000037737,ortholog_one2one
ENSG00000225404,,
ENSG00000238522,ENSPTRG00000038045,ortholog_one2one
ENSG00000233124,,
ENSG00000231417,,
ENSG00000202290,ENSPTRG00000027467,ortholog_one2one
ENSG00000271625,,
ENSG00000226695,,
ENSG00000226134,,
ENSG00000238407,ENSPTRG00000038006,ortholog_one2one
ENSG00000233291,,
ENSG00000270725,,
ENSG00000253771,,
ENSG00000232217,,
ENSG00000222969,ENSPTRG00000035838,ortholog_one2one
ENSG00000263399,,
ENSG00000269189,,
ENSG00000269599,,
ENSG00000251299,,
ENSG00000231194,,
ENSG00000271437,,
ENSG00000232858,,
ENSG00000224418,,
ENSG00000256305,,
ENSG00000217686,,
ENSG00000234056,,
ENSG00000233549,,
ENSG00000238169,,
ENSG00000233662,,
ENSG00000225105,,
ENSG00000243366,ENSPTRG00000042542,ortholog_one2one
ENSG00000235315,,
ENSG00000229918,,
ENSG00000261530,,
ENSG00000221324,ENSPTRG00000034638,ortholog_one2one
ENSG00000260509,,
ENSG00000231981,,
ENSG00000234152,,
ENSG00000265546,ENSPTRG00000039729,ortholog_one2one
ENSG00000260666,,
ENSG00000207298,ENSPTRG00000026999,ortholog_one2one
ENSG00000199767,ENSPTRG00000025956,ortholog_one2one
ENSG00000260992,,
ENSG00000180803,,
ENSG00000230871,,
ENSG00000242381,ENSPTRG00000042238,ortholog_one2one
ENSG00000260334,,
ENSG00000223158,ENSPTRG00000036129,ortholog_one2one
ENSG00000231983,,
ENSG00000234005,,
ENSG00000228889,,
ENSG00000233963,,
ENSG00000201793,ENSPTRG00000027434,ortholog_one2one
ENSG00000218502,,
ENSG00000207719,,
ENSG00000234706,,
ENSG00000228808,,
ENSG00000271559,,
ENSG00000238241,,
ENSG00000227882,,
ENSG00000266207,,
ENSG00000203441,,
ENSG00000234031,,
ENSG00000212197,ENSPTRG00000032928,ortholog_one2one
ENSG00000234168,,
ENSG00000237001,,
ENSG00000234239,,
ENSG00000230256,,
ENSG00000223782,,
ENSG00000263615,,
ENSG00000218198,,
ENSG00000227659,,
ENSG00000232162,,
ENSG00000234303,,
ENSG00000230641,,
ENSG00000234772,,
ENSG00000201245,ENSPTRG00000025503,ortholog_one2one
ENSG00000238305,ENSPTRG00000036865,ortholog_one2one
ENSG00000207500,ENSPTRG00000033437,ortholog_one2one
ENSG00000260738,,
ENSG00000207051,ENSPTRG00000025763,ortholog_one2one
ENSG00000221756,ENSPTRG00000035113,ortholog_one2one
ENSG00000225999,,
ENSG00000252247,ENSPTRG00000037624,ortholog_one2one
ENSG00000229609,,
ENSG00000236554,,
ENSG00000201242,ENSPTRG00000025654,ortholog_one2one
ENSG00000203602,,
ENSG00000252499,ENSPTRG00000038489,ortholog_one2one
ENSG00000228501,,
ENSG00000226703,,
ENSG00000261125,,
ENSG00000270632,,
ENSG00000207330,ENSPTRG00000025924,ortholog_one2one
ENSG00000234650,,
ENSG00000247381,,
ENSG00000260704,,
ENSG00000242360,ENSPTRG00000041981,ortholog_one2one
ENSG00000224356,,
ENSG00000271026,,
ENSG00000235115,,
ENSG00000234354,,
ENSG00000261485,,
ENSG00000237082,,
ENSG00000232587,,
ENSG00000200840,ENSPTRG00000025853,ortholog_one2one
ENSG00000233009,,
ENSG00000235472,,
