Ensembl Gene ID,Rat Ensembl Gene ID,Homology Type
ENSMUSG00000095309,ENSRNOG00000048104,ortholog_many2many
ENSMUSG00000095309,ENSRNOG00000049710,ortholog_many2many
ENSMUSG00000095309,ENSRNOG00000048505,ortholog_many2many
ENSMUSG00000000126,ENSRNOG00000003066,ortholog_one2one
ENSMUSG00000095268,ENSRNOG00000030417,ortholog_one2many
ENSMUSG00000020063,ENSRNOG00000000380,ortholog_one2one
ENSMUSG00000029623,ENSRNOG00000000990,ortholog_one2one
ENSMUSG00000073944,ENSRNOG00000015933,ortholog_one2one
ENSMUSG00000001555,ENSRNOG00000015941,ortholog_one2one
ENSMUSG00000094221,ENSRNOG00000048104,ortholog_many2many
ENSMUSG00000094221,ENSRNOG00000049710,ortholog_many2many
ENSMUSG00000094221,ENSRNOG00000048505,ortholog_many2many
ENSMUSG00000032855,ENSRNOG00000010771,ortholog_one2one
ENSMUSG00000044292,ENSRNOG00000049567,ortholog_one2many
ENSMUSG00000095264,ENSRNOG00000015005,ortholog_many2many
ENSMUSG00000095264,ENSRNOG00000030868,ortholog_many2many
ENSMUSG00000073945,ENSRNOG00000015926,ortholog_one2one
ENSMUSG00000094385,ENSRNOG00000048104,ortholog_many2many
ENSMUSG00000094385,ENSRNOG00000049710,ortholog_many2many
ENSMUSG00000094385,ENSRNOG00000048505,ortholog_many2many
ENSMUSG00000030245,ENSRNOG00000012695,ortholog_one2one
ENSMUSG00000096540,ENSRNOG00000030417,ortholog_one2many
ENSMUSG00000047352,ENSRNOG00000047263,ortholog_one2many
ENSMUSG00000047352,ENSRNOG00000047486,ortholog_one2many
ENSMUSG00000078954,ENSRNOG00000033570,ortholog_one2one
ENSMUSG00000094001,ENSRNOG00000048104,ortholog_many2many
ENSMUSG00000094001,ENSRNOG00000049710,ortholog_many2many
ENSMUSG00000094001,ENSRNOG00000048505,ortholog_many2many
ENSMUSG00000073946,ENSRNOG00000015924,ortholog_one2many
ENSMUSG00000094115,ENSRNOG00000015005,ortholog_many2many
ENSMUSG00000094115,ENSRNOG00000030868,ortholog_many2many
ENSMUSG00000015468,ENSRNOG00000000442,ortholog_one2one
ENSMUSG00000078984,,
