Ensembl Gene ID,Frog Ensembl Gene ID,Homology Type
ENSMUSG00000095309,,
ENSMUSG00000000126,,
ENSMUSG00000095268,,
ENSMUSG00000020063,ENSXETG00000023588,ortholog_one2one
ENSMUSG00000029623,ENSXETG00000006062,ortholog_one2one
ENSMUSG00000073944,,
ENSMUSG00000001555,ENSXETG00000002288,ortholog_one2one
ENSMUSG00000094221,,
ENSMUSG00000032855,ENSXETG00000015945,ortholog_one2one
ENSMUSG00000044292,,
ENSMUSG00000095264,ENSXETG00000010870,ortholog_one2many
ENSMUSG00000073945,,
ENSMUSG00000094385,,
ENSMUSG00000030245,ENSXETG00000008383,ortholog_one2one
ENSMUSG00000096540,,
ENSMUSG00000047352,,
ENSMUSG00000078954,ENSXETG00000002678,ortholog_many2many
ENSMUSG00000094001,,
ENSMUSG00000073946,,
ENSMUSG00000094115,ENSXETG00000010870,ortholog_one2many
ENSMUSG00000015468,ENSXETG00000031777,ortholog_one2one
ENSMUSG00000078984,,
ENSMUSG00000021273,ENSXETG00000033587,ortholog_one2one
ENSMUSG00000017670,ENSXETG00000007361,ortholog_one2one
ENSMUSG00000094680,,
ENSMUSG00000047544,ENSXETG00000016607,ortholog_one2many
ENSMUSG00000094727,,
ENSMUSG00000025816,,
ENSMUSG00000002129,ENSXETG00000016144,ortholog_one2one
ENSMUSG00000043331,,
ENSMUSG00000047714,ENSXETG00000033772,ortholog_one2one
ENSMUSG00000093986,,
ENSMUSG00000073947,ENSXETG00000016607,ortholog_one2many
ENSMUSG00000056296,ENSXETG00000022240,ortholog_one2one
ENSMUSG00000094211,ENSXETG00000024449,ortholog_one2many
ENSMUSG00000074754,,
ENSMUSG00000094010,,
ENSMUSG00000094361,,
ENSMUSG00000061024,,
ENSMUSG00000078624,ENSXETG00000016607,ortholog_one2many
ENSMUSG00000051493,,
ENSMUSG00000071104,,
ENSMUSG00000094589,,
ENSMUSG00000094119,ENSXETG00000014845,ortholog_one2many
ENSMUSG00000095833,,
ENSMUSG00000067855,,
ENSMUSG00000001119,ENSXETG00000011486,ortholog_one2one
ENSMUSG00000095390,,
ENSMUSG00000096737,,
ENSMUSG00000009900,ENSXETG00000024231,ortholog_many2many
ENSMUSG00000056718,,
ENSMUSG00000049606,ENSXETG00000023985,ortholog_one2one
ENSMUSG00000096584,ENSXETG00000014845,ortholog_one2many
ENSMUSG00000041710,ENSXETG00000012403,ortholog_one2one
ENSMUSG00000020747,ENSXETG00000012524,ortholog_one2one
ENSMUSG00000051729,,
ENSMUSG00000095973,,
ENSMUSG00000025579,ENSXETG00000001281,ortholog_one2one
ENSMUSG00000094449,,
ENSMUSG00000045584,ENSXETG00000014845,ortholog_one2many
ENSMUSG00000032413,ENSXETG00000014755,ortholog_one2one
ENSMUSG00000021939,ENSXETG00000000671,ortholog_one2one
ENSMUSG00000041134,ENSXETG00000013630,ortholog_one2one
ENSMUSG00000046396,ENSXETG00000014845,ortholog_one2many
ENSMUSG00000091435,,
ENSMUSG00000028738,,
ENSMUSG00000043461,ENSXETG00000008728,ortholog_one2one
ENSMUSG00000039982,ENSXETG00000011970,ortholog_one2one
ENSMUSG00000093934,,
ENSMUSG00000031636,ENSXETG00000001563,ortholog_one2one
ENSMUSG00000031864,ENSXETG00000004462,ortholog_one2one
ENSMUSG00000073948,ENSXETG00000026659,ortholog_one2many
ENSMUSG00000094085,,
ENSMUSG00000027364,,
ENSMUSG00000034832,ENSXETG00000012090,ortholog_one2one
ENSMUSG00000042402,ENSXETG00000000483,ortholog_one2many
ENSMUSG00000095774,,
ENSMUSG00000091638,,
ENSMUSG00000094601,ENSXETG00000010870,ortholog_one2many
ENSMUSG00000046805,,
ENSMUSG00000073949,,
ENSMUSG00000094309,,
ENSMUSG00000024151,ENSXETG00000022615,ortholog_one2one
ENSMUSG00000025909,ENSXETG00000005667,ortholog_one2one
ENSMUSG00000048285,ENSXETG00000016491,ortholog_one2one
ENSMUSG00000058079,ENSXETG00000026659,ortholog_one2many
ENSMUSG00000006931,ENSXETG00000002284,ortholog_one2one
ENSMUSG00000094254,,
ENSMUSG00000040065,,
ENSMUSG00000094284,,
ENSMUSG00000051427,ENSXETG00000016145,ortholog_one2one
ENSMUSG00000058976,ENSXETG00000024065,ortholog_many2many
ENSMUSG00000058976,ENSXETG00000008252,ortholog_many2many
ENSMUSG00000058976,ENSXETG00000008248,ortholog_many2many
ENSMUSG00000024027,ENSXETG00000032385,ortholog_one2one
ENSMUSG00000072066,,
ENSMUSG00000095190,,
ENSMUSG00000058762,,
ENSMUSG00000095903,,
ENSMUSG00000050815,,
ENSMUSG00000028329,ENSXETG00000010181,ortholog_one2one
ENSMUSG00000083780,ENSXETG00000018366,ortholog_one2many
ENSMUSG00000074865,,
ENSMUSG00000028737,ENSXETG00000018531,ortholog_one2one
ENSMUSG00000095768,,
ENSMUSG00000046650,,
ENSMUSG00000040963,ENSXETG00000033285,ortholog_many2many
ENSMUSG00000021342,ENSXETG00000021991,ortholog_one2many
ENSMUSG00000055820,,
ENSMUSG00000095275,,
ENSMUSG00000096436,,
ENSMUSG00000059874,,
ENSMUSG00000037816,,
ENSMUSG00000055228,,
ENSMUSG00000045160,ENSXETG00000025286,ortholog_one2one
ENSMUSG00000061200,ENSXETG00000026659,ortholog_one2many
ENSMUSG00000067513,,
ENSMUSG00000094353,,
ENSMUSG00000094942,,
ENSMUSG00000079657,ENSXETG00000015963,ortholog_one2one
ENSMUSG00000025453,ENSXETG00000016591,ortholog_one2one
ENSMUSG00000045540,,
ENSMUSG00000095640,,
ENSMUSG00000095837,,
ENSMUSG00000054763,,
ENSMUSG00000045835,ENSXETG00000018516,ortholog_one2many
ENSMUSG00000074656,ENSXETG00000019507,ortholog_one2one
ENSMUSG00000073950,,
ENSMUSG00000034416,ENSXETG00000032436,ortholog_one2one
ENSMUSG00000074867,,
ENSMUSG00000036106,,
ENSMUSG00000096761,,
ENSMUSG00000095839,,
ENSMUSG00000036661,ENSXETG00000023753,ortholog_one2one
ENSMUSG00000073951,,
ENSMUSG00000048076,ENSXETG00000013916,ortholog_one2one
ENSMUSG00000025817,ENSXETG00000021953,ortholog_one2one
ENSMUSG00000096903,,
ENSMUSG00000099269,,
ENSMUSG00000019861,ENSXETG00000012880,ortholog_one2one
ENSMUSG00000073952,,
ENSMUSG00000074870,ENSXETG00000027581,ortholog_one2many
ENSMUSG00000075571,,
ENSMUSG00000062121,,
ENSMUSG00000098049,ENSXETG00000001412,ortholog_many2many
ENSMUSG00000045394,ENSXETG00000022614,ortholog_one2many
ENSMUSG00000096663,,
ENSMUSG00000096194,,
ENSMUSG00000043131,ENSXETG00000012095,ortholog_one2one
ENSMUSG00000060049,,
ENSMUSG00000073953,,
ENSMUSG00000055745,,
ENSMUSG00000078747,,
ENSMUSG00000094762,,
ENSMUSG00000093857,,
ENSMUSG00000098598,ENSXETG00000014200,ortholog_one2many
ENSMUSG00000064110,,
ENSMUSG00000003581,,
ENSMUSG00000067519,,
ENSMUSG00000074871,ENSXETG00000027581,ortholog_one2many
ENSMUSG00000094545,,
ENSMUSG00000057321,ENSXETG00000024065,ortholog_many2many
ENSMUSG00000057321,ENSXETG00000008252,ortholog_many2many
ENSMUSG00000057321,ENSXETG00000008248,ortholog_many2many
ENSMUSG00000075572,,
ENSMUSG00000099100,ENSXETG00000023850,ortholog_one2many
ENSMUSG00000094133,,
ENSMUSG00000095770,ENSXETG00000010870,ortholog_one2many
ENSMUSG00000091096,,
ENSMUSG00000059106,,
ENSMUSG00000096386,,
ENSMUSG00000075573,,
ENSMUSG00000067522,,
ENSMUSG00000073954,,
ENSMUSG00000058435,,
ENSMUSG00000095806,,
ENSMUSG00000067524,,
ENSMUSG00000042050,ENSXETG00000030174,ortholog_one2one
ENSMUSG00000075574,,
ENSMUSG00000095300,,
ENSMUSG00000073955,ENSXETG00000026659,ortholog_one2many
ENSMUSG00000048978,ENSXETG00000021990,ortholog_one2one
ENSMUSG00000098034,ENSXETG00000027588,ortholog_one2many
ENSMUSG00000094439,ENSXETG00000018532,ortholog_one2many
