Ensembl Gene ID,Gene Biotype
ENSMODG00000021562,protein_coding
ENSMODG00000021566,protein_coding
ENSMODG00000021572,protein_coding
ENSMODG00000021575,protein_coding
ENSMODG00000021579,protein_coding
ENSMODG00000021581,protein_coding
ENSMODG00000021584,protein_coding
ENSMODG00000021588,protein_coding
ENSMODG00000021589,protein_coding
ENSMODG00000021591,protein_coding
ENSMODG00000025437,protein_coding
ENSMODG00000008710,protein_coding
ENSMODG00000008731,protein_coding
ENSMODG00000008752,protein_coding
ENSMODG00000008763,protein_coding
ENSMODG00000008851,protein_coding
ENSMODG00000009006,protein_coding
ENSMODG00000008869,protein_coding
ENSMODG00000008798,protein_coding
ENSMODG00000008980,protein_coding
ENSMODG00000008997,protein_coding
ENSMODG00000009016,protein_coding
ENSMODG00000009130,protein_coding
ENSMODG00000009154,protein_coding
ENSMODG00000009175,protein_coding
ENSMODG00000009181,protein_coding
ENSMODG00000025410,protein_coding
ENSMODG00000009196,protein_coding
ENSMODG00000009214,protein_coding
ENSMODG00000009225,protein_coding
ENSMODG00000009236,protein_coding
ENSMODG00000009243,protein_coding
ENSMODG00000009267,protein_coding
ENSMODG00000009313,protein_coding
ENSMODG00000029637,protein_coding
ENSMODG00000025405,protein_coding
ENSMODG00000025404,protein_coding
ENSMODG00000006103,protein_coding
ENSMODG00000006108,protein_coding
ENSMODG00000006132,protein_coding
ENSMODG00000025401,protein_coding
ENSMODG00000028959,protein_coding
ENSMODG00000006160,protein_coding
ENSMODG00000028790,protein_coding
ENSMODG00000006206,protein_coding
ENSMODG00000006229,protein_coding
ENSMODG00000011427,protein_coding
ENSMODG00000004295,protein_coding
ENSMODG00000027717,protein_coding
ENSMODG00000011470,protein_coding
ENSMODG00000025395,protein_coding
ENSMODG00000011480,protein_coding
ENSMODG00000011492,protein_coding
ENSMODG00000011507,protein_coding
ENSMODG00000011584,protein_coding
ENSMODG00000027952,protein_coding
ENSMODG00000011603,protein_coding
ENSMODG00000011621,protein_coding
ENSMODG00000027596,protein_coding
ENSMODG00000025368,protein_coding
ENSMODG00000011644,protein_coding
ENSMODG00000011680,protein_coding
ENSMODG00000011692,protein_coding
ENSMODG00000011695,protein_coding
ENSMODG00000025365,protein_coding
ENSMODG00000012412,protein_coding
ENSMODG00000015426,protein_coding
ENSMODG00000012440,protein_coding
ENSMODG00000012445,protein_coding
ENSMODG00000012456,protein_coding
ENSMODG00000027338,protein_coding
ENSMODG00000012459,protein_coding
ENSMODG00000027904,protein_coding
ENSMODG00000012465,protein_coding
ENSMODG00000012494,protein_coding
ENSMODG00000007462,protein_coding
ENSMODG00000022849,protein_coding
ENSMODG00000029017,protein_coding
ENSMODG00000022848,protein_coding
ENSMODG00000007539,protein_coding
ENSMODG00000022847,protein_coding
ENSMODG00000008043,protein_coding
ENSMODG00000008152,protein_coding
ENSMODG00000008174,protein_coding
ENSMODG00000008192,protein_coding
ENSMODG00000008271,protein_coding
ENSMODG00000008300,protein_coding
ENSMODG00000008330,protein_coding
ENSMODG00000008407,protein_coding
ENSMODG00000008568,protein_coding
ENSMODG00000008581,protein_coding
ENSMODG00000008596,protein_coding
ENSMODG00000008677,protein_coding
ENSMODG00000029555,protein_coding
ENSMODG00000002236,protein_coding
ENSMODG00000002249,protein_coding
ENSMODG00000002278,protein_coding
ENSMODG00000002246,protein_coding
ENSMODG00000002312,protein_coding
ENSMODG00000022844,protein_coding
ENSMODG00000002345,protein_coding
ENSMODG00000002362,protein_coding
ENSMODG00000021343,protein_coding
ENSMODG00000021344,protein_coding
ENSMODG00000005162,protein_coding
ENSMODG00000005172,protein_coding
ENSMODG00000005195,protein_coding
ENSMODG00000005206,protein_coding
ENSMODG00000029416,protein_coding
ENSMODG00000005213,protein_coding
ENSMODG00000028633,protein_coding
ENSMODG00000005221,protein_coding
ENSMODG00000028495,protein_coding
ENSMODG00000011526,protein_coding
ENSMODG00000011534,protein_coding
ENSMODG00000011547,protein_coding
ENSMODG00000011560,protein_coding
ENSMODG00000011597,protein_coding
ENSMODG00000025357,protein_coding
ENSMODG00000011627,protein_coding
ENSMODG00000011643,protein_coding
ENSMODG00000025355,protein_coding
ENSMODG00000011673,protein_coding
ENSMODG00000011609,protein_coding
ENSMODG00000011677,protein_coding
ENSMODG00000015024,protein_coding
ENSMODG00000015007,protein_coding
ENSMODG00000015003,protein_coding
ENSMODG00000014984,protein_coding
ENSMODG00000014970,protein_coding
ENSMODG00000014957,protein_coding
ENSMODG00000014906,protein_coding
ENSMODG00000014931,protein_coding
ENSMODG00000014514,protein_coding
ENSMODG00000003219,protein_coding
ENSMODG00000003195,protein_coding
ENSMODG00000025331,protein_coding
ENSMODG00000002996,protein_coding
ENSMODG00000002991,protein_coding
ENSMODG00000025326,protein_coding
ENSMODG00000029525,protein_coding
ENSMODG00000025325,protein_coding
ENSMODG00000006985,protein_coding
ENSMODG00000006990,protein_coding
ENSMODG00000027962,protein_coding
ENSMODG00000020561,protein_coding
ENSMODG00000007188,protein_coding
ENSMODG00000007190,protein_coding
ENSMODG00000017105,protein_coding
ENSMODG00000025323,protein_coding
ENSMODG00000025322,protein_coding
ENSMODG00000007203,protein_coding
ENSMODG00000007211,protein_coding
ENSMODG00000027344,protein_coding
ENSMODG00000029777,protein_coding
ENSMODG00000028654,protein_coding
ENSMODG00000029194,protein_coding
ENSMODG00000021142,protein_coding
ENSMODG00000020838,protein_coding
ENSMODG00000025439,protein_coding
ENSMODG00000020840,protein_coding
ENSMODG00000025321,protein_coding
ENSMODG00000020842,protein_coding
ENSMODG00000020843,protein_coding
ENSMODG00000029677,protein_coding
ENSMODG00000028965,protein_coding
ENSMODG00000010141,protein_coding
ENSMODG00000010165,protein_coding
ENSMODG00000010181,protein_coding
ENSMODG00000029175,protein_coding
ENSMODG00000010189,protein_coding
ENSMODG00000010197,protein_coding
ENSMODG00000010209,protein_coding
ENSMODG00000010221,protein_coding
ENSMODG00000010232,protein_coding
ENSMODG00000010245,protein_coding
ENSMODG00000025434,protein_coding
ENSMODG00000010283,protein_coding
ENSMODG00000010294,protein_coding
ENSMODG00000010311,protein_coding
ENSMODG00000010345,protein_coding
ENSMODG00000010354,protein_coding
ENSMODG00000029601,protein_coding
ENSMODG00000013156,protein_coding
ENSMODG00000013159,protein_coding
ENSMODG00000029692,protein_coding
ENSMODG00000013187,protein_coding
ENSMODG00000013199,protein_coding
ENSMODG00000027814,protein_coding
ENSMODG00000013204,protein_coding
ENSMODG00000013216,protein_coding
ENSMODG00000013221,protein_coding
ENSMODG00000013228,protein_coding
ENSMODG00000013238,protein_coding
ENSMODG00000013250,protein_coding
ENSMODG00000013255,protein_coding
ENSMODG00000027982,protein_coding
ENSMODG00000013265,protein_coding
ENSMODG00000013269,protein_coding
ENSMODG00000015416,protein_coding
ENSMODG00000015396,protein_coding
ENSMODG00000015393,protein_coding
ENSMODG00000015358,protein_coding
ENSMODG00000015336,protein_coding
ENSMODG00000015331,protein_coding
ENSMODG00000029430,protein_coding
ENSMODG00000015327,protein_coding
ENSMODG00000015325,protein_coding
ENSMODG00000015323,protein_coding
ENSMODG00000015320,protein_coding
ENSMODG00000015308,protein_coding
ENSMODG00000015304,protein_coding
ENSMODG00000015297,protein_coding
ENSMODG00000015295,protein_coding
ENSMODG00000015268,protein_coding
ENSMODG00000025298,protein_coding
ENSMODG00000015264,protein_coding
ENSMODG00000015259,protein_coding
ENSMODG00000015247,protein_coding
ENSMODG00000015195,protein_coding
ENSMODG00000015185,protein_coding
ENSMODG00000015178,protein_coding
ENSMODG00000028321,protein_coding
ENSMODG00000015168,protein_coding
ENSMODG00000025280,protein_coding
ENSMODG00000028264,protein_coding
ENSMODG00000028019,protein_coding
ENSMODG00000028137,protein_coding
ENSMODG00000028534,protein_coding
ENSMODG00000005550,protein_coding
ENSMODG00000027457,protein_coding
ENSMODG00000005570,protein_coding
ENSMODG00000025275,protein_coding
ENSMODG00000005597,protein_coding
ENSMODG00000005605,protein_coding
ENSMODG00000027398,protein_coding
ENSMODG00000028107,protein_coding
ENSMODG00000005620,protein_coding
ENSMODG00000005627,protein_coding
